https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume BTC
1663459200,2022-09-18 00:00:00,DERO/BTC,0.00019431,0.00019579,0.00019431,0.00019448,24.2964,0.004756231416
1663455600,2022-09-17 23:00:00,DERO/BTC,0.00019502,0.0001958,0.00019502,0.0001958,62.5691,0.01224996159
1663452000,2022-09-17 22:00:00,DERO/BTC,0.00019494,0.00019539,0.00019353,0.00019539,12.0561,0.002352098717
1663448400,2022-09-17 21:00:00,DERO/BTC,0.00019392,0.00019578,0.00019392,0.00019441,35.038,0.006845836642
1663444800,2022-09-17 20:00:00,DERO/BTC,0.00019431,0.00019541,0.00019351,0.00019395,48.7755,0.009524534224
1663441200,2022-09-17 19:00:00,DERO/BTC,0.00019414,0.00019414,0.00019305,0.00019358,11.6503,0.002251141848
1663437600,2022-09-17 18:00:00,DERO/BTC,0.00019324,0.00019404,0.00019239,0.00019273,7.9122,0.001534105134
1663434000,2022-09-17 17:00:00,DERO/BTC,0.00019322,0.00019417,0.00019233,0.00019341,86.7739,0.016727273415
1663430400,2022-09-17 16:00:00,DERO/BTC,0.00019353,0.00019574,0.00019233,0.00019319,172.674,0.033604401685
1663426800,2022-09-17 15:00:00,DERO/BTC,0.00019416,0.00019416,0.00019318,0.00019347,16.5996,0.003210584032
1663423200,2022-09-17 14:00:00,DERO/BTC,0.00019393,0.00019431,0.00019289,0.00019289,1738.877,0.335679849658
1663419600,2022-09-17 13:00:00,DERO/BTC,0.00019321,0.00019445,0.00019321,0.00019424,0.823,0.000159747946
1663416000,2022-09-17 12:00:00,DERO/BTC,0.00019414,0.0001953,0.00019376,0.0001953,4.661,0.000905520568
1663412400,2022-09-17 11:00:00,DERO/BTC,0.0001932,0.00019403,0.00019245,0.00019245,1.9336,0.000373284327
1663408800,2022-09-17 10:00:00,DERO/BTC,0.00019326,0.00019446,0.00019323,0.00019446,101.2343,0.019572139243
1663405200,2022-09-17 09:00:00,DERO/BTC,0.0001935,0.00019405,0.00019113,0.00019248,407.2177,0.078242613829
1663401600,2022-09-17 08:00:00,DERO/BTC,0.00019323,0.00019436,0.00019323,0.00019323,17.4749,0.003376848043
1663398000,2022-09-17 07:00:00,DERO/BTC,0.00019443,0.00019446,0.00019329,0.00019329,23.4387,0.0045570213
1663394400,2022-09-17 06:00:00,DERO/BTC,0.0001932,0.00019443,0.0001932,0.00019443,1.4764,0.000286158024
1663390800,2022-09-17 05:00:00,DERO/BTC,0.00019396,0.00019443,0.00019396,0.00019443,6.6196,0.001285657052
1663387200,2022-09-17 04:00:00,DERO/BTC,0.00019501,0.00019507,0.00019153,0.0001932,176.9677,0.034113545115
1663383600,2022-09-17 03:00:00,DERO/BTC,0.00019538,0.00019538,0.00019395,0.00019536,27.5274,0.00534172694
1663380000,2022-09-17 02:00:00,DERO/BTC,0.00019453,0.0001954,0.00019447,0.0001954,30.0646,0.005861234199
1663376400,2022-09-17 01:00:00,DERO/BTC,0.00019417,0.0001954,0.00019377,0.00019377,30.8549,0.006005407967
1663372800,2022-09-17 00:00:00,DERO/BTC,0.00019401,0.00019505,0.00019181,0.00019416,1267.3894,0.244753878266
