https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IDEA,Volume USDT
1663459200,2022-09-18 00:00:00,IDEA/USDT,0.01949,0.01949,0.01927,0.0193,195043.3668,3775.985678328
1663372800,2022-09-17 00:00:00,IDEA/USDT,0.01877,0.0199,0.01846,0.01945,9940176.5758,188351.322832276
1663286400,2022-09-16 00:00:00,IDEA/USDT,0.01878,0.0227,0.01821,0.01875,4539429.248,86415.254537106
1663200000,2022-09-15 00:00:00,IDEA/USDT,0.01885,0.01928,0.01821,0.01878,4016584.7774,75629.538176419
1663113600,2022-09-14 00:00:00,IDEA/USDT,0.01941,0.01949,0.01837,0.01877,5808951.7799,109578.28285568
1663027200,2022-09-13 00:00:00,IDEA/USDT,0.02007,0.02293,0.0193,0.0194,3960868.8426,79659.059911738
1662940800,2022-09-12 00:00:00,IDEA/USDT,0.01952,0.022,0.01857,0.02006,3206671.3534,61512.804961211
1662854400,2022-09-11 00:00:00,IDEA/USDT,0.02023,0.02046,0.01919,0.01952,1601719.5535,31815.139780138
1662768000,2022-09-10 00:00:00,IDEA/USDT,0.01908,0.024,0.01871,0.0202,5377890.782,107104.604112589
1662681600,2022-09-09 00:00:00,IDEA/USDT,0.01753,0.01979,0.0173,0.01908,7270495.6244,133654.872889919
1662595200,2022-09-08 00:00:00,IDEA/USDT,0.01913,0.0194,0.01745,0.01751,8882246.1494,161515.30218157
1662508800,2022-09-07 00:00:00,IDEA/USDT,0.01728,0.03,0.01666,0.01932,13265761.9443,298142.06379678
1662422400,2022-09-06 00:00:00,IDEA/USDT,0.0185,0.02001,0.017,0.01727,1982760.0292,37110.897735718
1662336000,2022-09-05 00:00:00,IDEA/USDT,0.02077,0.0211,0.01841,0.01847,7437977.1768,151433.981906763
1662249600,2022-09-04 00:00:00,IDEA/USDT,0.0219,0.0221,0.02051,0.02078,4459346.95787755,94140.11069282508
1662163200,2022-09-03 00:00:00,IDEA/USDT,0.02213,0.02276,0.02177,0.02191,5634962.7379,125077.88682288
1662076800,2022-09-02 00:00:00,IDEA/USDT,0.02143,0.02282,0.02041,0.02216,7071391.5292,151375.173014661
1661990400,2022-09-01 00:00:00,IDEA/USDT,0.02126,0.02216,0.02042,0.02144,6677944.0372,141457.387126349
1661904000,2022-08-31 00:00:00,IDEA/USDT,0.02022,0.02159,0.02002,0.02124,5899282.5625,121915.552898532
