https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume BRL,tradecount
1663545600000,2022-09-19 00:00:00,BTC/BRL,102612.00000000,102796.00000000,102456.00000000,102517.00000000,3.14900000,322909.70144000,177
1663459200000,2022-09-18 00:00:00,BTC/BRL,105902.00000000,105950.00000000,102150.00000000,102614.00000000,194.95026000,20319071.94980000,15579
1663372800000,2022-09-17 00:00:00,BTC/BRL,104343.00000000,106336.00000000,104186.00000000,105900.00000000,188.04126000,19797805.44615000,16053
1663286400000,2022-09-16 00:00:00,BTC/BRL,103780.00000000,104825.00000000,102665.00000000,104310.00000000,645.75133000,67107781.13594000,33207
1663200000000,2022-09-15 00:00:00,BTC/BRL,105034.00000000,105467.00000000,102300.00000000,103747.00000000,523.10583000,54538410.91230000,37268
1663113600000,2022-09-14 00:00:00,BTC/BRL,105037.00000000,106943.00000000,102261.00000000,105034.00000000,482.89763000,50641608.18641000,35664
1663027200000,2022-09-13 00:00:00,BTC/BRL,114283.00000000,116182.00000000,103527.00000000,105036.00000000,869.96193000,95917530.28224000,53417
1662940800000,2022-09-12 00:00:00,BTC/BRL,112684.00000000,115869.00000000,111536.00000000,114314.00000000,756.99987000,86386347.39981000,51937
1662854400000,2022-09-11 00:00:00,BTC/BRL,112034.00000000,112905.00000000,110471.00000000,112656.00000000,231.12962000,25824965.85465000,18572
1662768000000,2022-09-10 00:00:00,BTC/BRL,110455.00000000,112756.00000000,109359.00000000,112000.00000000,269.39000000,29836649.33483000,22741
1662681600000,2022-09-09 00:00:00,BTC/BRL,100904.00000000,111500.00000000,100790.00000000,110400.00000000,1018.50537000,109864701.59486000,63392
1662595200000,2022-09-08 00:00:00,BTC/BRL,101236.00000000,101670.00000000,99439.00000000,100895.00000000,544.37252000,54748816.02404000,38915
1662508800000,2022-09-07 00:00:00,BTC/BRL,98767.00000000,102313.00000000,97723.00000000,101224.00000000,344.77406000,34369461.33220000,29478
1662422400000,2022-09-06 00:00:00,BTC/BRL,102439.00000000,104343.00000000,98186.00000000,98753.00000000,727.97140000,74191953.16233000,52909
1662336000000,2022-09-05 00:00:00,BTC/BRL,103948.00000000,104147.00000000,101961.00000000,102509.00000000,272.28358000,27961152.69335000,22337
1662249600000,2022-09-04 00:00:00,BTC/BRL,103159.00000000,104116.00000000,101927.00000000,103911.00000000,129.63147000,13360599.12835000,16593
1662163200000,2022-09-03 00:00:00,BTC/BRL,103691.00000000,104105.00000000,101500.00000000,103139.00000000,201.73635000,20783004.90615000,20025
1662076800000,2022-09-02 00:00:00,BTC/BRL,105352.00000000,106206.00000000,102633.00000000,103691.00000000,550.67904000,57658997.18389000,42777
1661990400000,2022-09-01 00:00:00,BTC/BRL,103627.00000000,105511.00000000,102262.00000000,105350.00000000,599.18100000,62163980.32336000,41596
