https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ALGO
1663549200000,2022-09-19 01:00:00,ALGO/USDT,0.29859058,0.30058753,0.2984458,0.30042956,2185.02418988,7273.0
1663545600000,2022-09-19 00:00:00,ALGO/USDT,0.29288207,0.30015167,0.29275091,0.29885726,8915.968631343118,29833.53535177
1663542000000,2022-09-18 23:00:00,ALGO/USDT,0.29234002,0.29497184,0.29169461,0.29317804,9964.53766839031,33988.0083392
1663538400000,2022-09-18 22:00:00,ALGO/USDT,0.29151386,0.29245948,0.28983825,0.29228338,8060.269659925569,27576.90040373
1663534800000,2022-09-18 21:00:00,ALGO/USDT,0.30126052,0.30148476,0.29157301,0.29265787,12666.649270831938,43281.42370076
1663531200000,2022-09-18 20:00:00,ALGO/USDT,0.30268509,0.30271422,0.30074532,0.30146742,9938.77790256,32968.0
1663527600000,2022-09-18 19:00:00,ALGO/USDT,0.30313964,0.30357994,0.30167445,0.30250535,10730.331684227247,35471.54350899
1663524000000,2022-09-18 18:00:00,ALGO/USDT,0.30455289,0.30642498,0.30334613,0.30334613,9668.24785536,31872.0
1663520400000,2022-09-18 17:00:00,ALGO/USDT,0.31107306,0.31107306,0.30352633,0.30352633,9176.642445213358,30233.43129808
1663516800000,2022-09-18 16:00:00,ALGO/USDT,0.3123752,0.3132792,0.30794919,0.3108765,9803.267030397377,31534.28139598
1663513200000,2022-09-18 15:00:00,ALGO/USDT,0.31382341,0.31619453,0.31138083,0.3125933,10269.9402782,32854.0
1663509600000,2022-09-18 14:00:00,ALGO/USDT,0.31563057,0.31578091,0.3114885,0.31368535,8793.03945727175,28031.39980006
1663506000000,2022-09-18 13:00:00,ALGO/USDT,0.31165906,0.31720647,0.31101001,0.31567596,8307.239987113171,26315.71940769
1663502400000,2022-09-18 12:00:00,ALGO/USDT,0.30883732,0.31143218,0.30691856,0.31143218,9709.20964368,31176.0
1663498800000,2022-09-18 11:00:00,ALGO/USDT,0.3078697,0.30942161,0.3078697,0.3086721,9015.6946968,29208.0
1663495200000,2022-09-18 10:00:00,ALGO/USDT,0.30578975,0.31060884,0.30578975,0.30783889,10371.70788188,33692.0
1663491600000,2022-09-18 09:00:00,ALGO/USDT,0.31291157,0.31579969,0.30605475,0.30650812,9085.837146323485,29643.05528455
1663488000000,2022-09-18 08:00:00,ALGO/USDT,0.31072331,0.31284723,0.31057629,0.3126781,8892.565164,28440.0
1663484400000,2022-09-18 07:00:00,ALGO/USDT,0.30943979,0.31151642,0.30943979,0.31104488,9842.576680210577,31643.59008324
1663480800000,2022-09-18 06:00:00,ALGO/USDT,0.30951686,0.31015645,0.30846422,0.30934354,9323.614295599999,30140.0
1663477200000,2022-09-18 05:00:00,ALGO/USDT,0.30881369,0.31049149,0.30881369,0.3096093,10464.1751214,33798.0
