https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WOO,Volume USDT
1663462800,2022-09-18 01:00:00,WOO/USDT,0.14886,0.14931,0.14886,0.14931,10802.8979,1612.342059722
1663459200,2022-09-18 00:00:00,WOO/USDT,0.15081,0.15081,0.14854,0.14876,180814.29059524,26972.9191172762086
1663455600,2022-09-17 23:00:00,WOO/USDT,0.1503,0.15103,0.15019,0.15052,26890.90456593,4048.7328078155976
1663452000,2022-09-17 22:00:00,WOO/USDT,0.14936,0.1502,0.14936,0.15004,68410.53883849,10259.5601625370072
1663448400,2022-09-17 21:00:00,WOO/USDT,0.14965,0.15012,0.14883,0.14913,51309.98745834,7669.497093213718
1663444800,2022-09-17 20:00:00,WOO/USDT,0.14913,0.15016,0.14906,0.15016,64507.51146029,9648.0681276226768
1663441200,2022-09-17 19:00:00,WOO/USDT,0.14995,0.14995,0.14865,0.14926,63572.59255376,9480.2157915014269
1663437600,2022-09-17 18:00:00,WOO/USDT,0.14977,0.15038,0.14964,0.15001,72271.72720832,10839.5410585249938
1663434000,2022-09-17 17:00:00,WOO/USDT,0.15027,0.15063,0.14938,0.14966,129275.09073007,19367.4688816476839
1663430400,2022-09-17 16:00:00,WOO/USDT,0.14993,0.15158,0.14974,0.1502,367728.58431624,55398.7388569558506
1663426800,2022-09-17 15:00:00,WOO/USDT,0.14972,0.15,0.14928,0.14984,123206.8746977,18469.3865292312689
1663423200,2022-09-17 14:00:00,WOO/USDT,0.14809,0.14991,0.14809,0.1496,49252.69831747,7344.2762645594477
1663419600,2022-09-17 13:00:00,WOO/USDT,0.14848,0.14938,0.14806,0.14813,34239.01793408,5091.0765563300466
1663416000,2022-09-17 12:00:00,WOO/USDT,0.14808,0.14875,0.14743,0.1484,74395.17754646,11015.4693376415602
1663412400,2022-09-17 11:00:00,WOO/USDT,0.1478,0.14842,0.14773,0.14806,23667.82686655,3503.2606907809671
1663408800,2022-09-17 10:00:00,WOO/USDT,0.15001,0.15006,0.14748,0.14784,85530.7349511,12683.0695980401248
1663405200,2022-09-17 09:00:00,WOO/USDT,0.1484,0.15052,0.14838,0.15028,301651.85305734,45108.0197863735366
1663401600,2022-09-17 08:00:00,WOO/USDT,0.14832,0.14907,0.14812,0.14832,45763.13245071,6797.7576634886837
1663398000,2022-09-17 07:00:00,WOO/USDT,0.1475,0.14833,0.14723,0.14811,73713.06490571,10889.9704160373414
1663394400,2022-09-17 06:00:00,WOO/USDT,0.14717,0.14774,0.14717,0.14764,175430.83351094,25839.1102549371682
1663390800,2022-09-17 05:00:00,WOO/USDT,0.14829,0.14829,0.14644,0.14688,53844.3731,7924.870709813
1663387200,2022-09-17 04:00:00,WOO/USDT,0.14803,0.14914,0.14795,0.14856,85145.33183372,12669.5045507425592
1663383600,2022-09-17 03:00:00,WOO/USDT,0.14788,0.14815,0.14763,0.14777,37428.65627482,5537.8385867214588
1663380000,2022-09-17 02:00:00,WOO/USDT,0.14765,0.14802,0.14724,0.14788,32201.0512,4753.732626361
1663376400,2022-09-17 01:00:00,WOO/USDT,0.14729,0.14787,0.14664,0.14728,25613.4993983,3772.8132297377945
1663372800,2022-09-17 00:00:00,WOO/USDT,0.14596,0.14958,0.14588,0.14721,233042.23040322,34555.7229140170733
1663369200,2022-09-16 23:00:00,WOO/USDT,0.1452,0.14679,0.14476,0.14617,134710.2716467,19720.7156838624329
1663365600,2022-09-16 22:00:00,WOO/USDT,0.14476,0.14617,0.14476,0.14531,34973.9842316,5084.2595825986072
1663362000,2022-09-16 21:00:00,WOO/USDT,0.14501,0.14567,0.14471,0.14476,91101.7906,13228.200917646
1663358400,2022-09-16 20:00:00,WOO/USDT,0.14364,0.14515,0.14364,0.14515,128352.76080775,18573.830475780334
1663354800,2022-09-16 19:00:00,WOO/USDT,0.14331,0.14415,0.14331,0.14379,27794.34208878,3995.6053939905439
1663351200,2022-09-16 18:00:00,WOO/USDT,0.14332,0.14469,0.14214,0.14335,212906.46871698,30563.8035446130692
1663347600,2022-09-16 17:00:00,WOO/USDT,0.14349,0.14452,0.14232,0.14318,174548.88173892,24985.7564261964456
1663344000,2022-09-16 16:00:00,WOO/USDT,0.14407,0.14434,0.1413,0.14338,124489.58774242,17767.3707856223685
1663340400,2022-09-16 15:00:00,WOO/USDT,0.14461,0.14524,0.14336,0.144,66150.84045575,9557.39984452862
1663336800,2022-09-16 14:00:00,WOO/USDT,0.14256,0.14591,0.14249,0.14465,109102.02720324,15803.6929292446671
1663333200,2022-09-16 13:00:00,WOO/USDT,0.14388,0.14484,0.14164,0.14252,240552.99695912,34461.6855464840609
1663329600,2022-09-16 12:00:00,WOO/USDT,0.14654,0.14654,0.14387,0.14387,104216.29264235,15108.1087704369766
1663326000,2022-09-16 11:00:00,WOO/USDT,0.14502,0.14668,0.14453,0.14648,80179.9849949,11668.0581877692132
1663322400,2022-09-16 10:00:00,WOO/USDT,0.14355,0.14535,0.14317,0.14499,137799.92520371,19906.5320908270799
1663318800,2022-09-16 09:00:00,WOO/USDT,0.14155,0.14368,0.14147,0.14361,69194.31857706,9873.106939933183
1663315200,2022-09-16 08:00:00,WOO/USDT,0.14361,0.144,0.1412,0.14147,183712.9090825,26133.6253968769031
1663311600,2022-09-16 07:00:00,WOO/USDT,0.14453,0.14475,0.14333,0.1435,40717.40340544,5867.272253843774
1663308000,2022-09-16 06:00:00,WOO/USDT,0.14354,0.14564,0.14344,0.14435,115234.96158312,16651.6257875609704
1663304400,2022-09-16 05:00:00,WOO/USDT,0.14416,0.14463,0.14351,0.14351,35905.61619321,5174.5016914534622
1663300800,2022-09-16 04:00:00,WOO/USDT,0.14372,0.14467,0.14367,0.14412,121337.31149839,17488.8671852619224
1663297200,2022-09-16 03:00:00,WOO/USDT,0.14282,0.14375,0.14232,0.14373,53436.23745667,7650.4679373243736
1663293600,2022-09-16 02:00:00,WOO/USDT,0.14306,0.14347,0.14071,0.14285,234771.095813,33268.9865458697238
1663290000,2022-09-16 01:00:00,WOO/USDT,0.14347,0.14428,0.14237,0.14314,96039.04466632,13747.9793731169391
1663286400,2022-09-16 00:00:00,WOO/USDT,0.14184,0.14346,0.14034,0.14342,132964.50818075,18882.8638119555202
1663282800,2022-09-15 23:00:00,WOO/USDT,0.14237,0.14262,0.14106,0.14172,79243.53837348,11237.650437073457
1663279200,2022-09-15 22:00:00,WOO/USDT,0.14347,0.14353,0.14115,0.14234,16544.69996801,2353.8651921564361
1663275600,2022-09-15 21:00:00,WOO/USDT,0.14459,0.145,0.14237,0.14349,95171.1594346,13702.4295545379199
