https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USDT,tradecount
1597190400000,2020-08-12 00:00:00,DAI/USDT,1.01760000,1.01920000,1.01540000,1.01890000,747400.22000000,760496.38742000,2095
1597104000000,2020-08-11 00:00:00,DAI/USDT,1.01520000,1.02260000,1.01360000,1.01760000,2530342.09000000,2573756.94467700,7154
1597017600000,2020-08-10 00:00:00,DAI/USDT,1.01680000,1.01900000,1.01300000,1.01610000,1393787.58000000,1415039.57363100,1786
1596931200000,2020-08-09 00:00:00,DAI/USDT,1.01710000,1.01850000,1.01340000,1.01680000,485475.15000000,493504.48113700,1119
1596844800000,2020-08-08 00:00:00,DAI/USDT,1.01750000,1.01860000,1.01290000,1.01790000,1018178.21000000,1033981.22459800,1306
1596758400000,2020-08-07 00:00:00,DAI/USDT,1.01390000,1.01960000,1.01350000,1.01750000,760257.15000000,772566.54726700,1325
1596672000000,2020-08-06 00:00:00,DAI/USDT,1.01470000,1.01700000,1.01280000,1.01390000,897824.33000000,910794.09739500,1597
1596585600000,2020-08-05 00:00:00,DAI/USDT,1.01460000,1.01890000,1.01210000,1.01470000,825417.02000000,837772.86149800,1436
1596499200000,2020-08-04 00:00:00,DAI/USDT,1.01370000,1.01840000,1.01230000,1.01470000,905220.22000000,918805.59384500,1881
1596412800000,2020-08-03 00:00:00,DAI/USDT,1.01810000,1.02240000,1.01080000,1.01370000,1381117.87000000,1401292.76418000,2157
