https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDTBULL,Volume USD
1663545600000.0,2022-09-19 00:00:00,USDTBULL/USD,10900.0,10900.0,10900.0,10900.0,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,USDTBULL/USD,10900.0,10900.0,10900.0,10900.0,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,USDTBULL/USD,10915.0,10915.0,10900.0,10900.0,0.01,109.0
1663286400000.0,2022-09-16 00:00:00,USDTBULL/USD,10815.0,10920.0,10805.0,10915.0,0.2692006962895099,2938.3256
1663200000000.0,2022-09-15 00:00:00,USDTBULL/USD,10820.0,10830.0,10805.0,10815.0,0.0,0.0
1663113600000.0,2022-09-14 00:00:00,USDTBULL/USD,10910.0,10910.0,10805.0,10820.0,0.004636987060998151,50.1722
1663027200000.0,2022-09-13 00:00:00,USDTBULL/USD,10815.0,10910.0,10810.0,10910.0,1e-05,0.1091
1662940800000.0,2022-09-12 00:00:00,USDTBULL/USD,10860.0,10900.0,10810.0,10815.0,0.001083994452149792,11.7234
1662854400000.0,2022-09-11 00:00:00,USDTBULL/USD,10860.0,10860.0,10860.0,10860.0,0.0,0.0
1662768000000.0,2022-09-10 00:00:00,USDTBULL/USD,10860.0,10860.0,10860.0,10860.0,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,USDTBULL/USD,10850.0,10860.0,10850.0,10860.0,1e-05,0.1086
1662595200000.0,2022-09-08 00:00:00,USDTBULL/USD,10850.0,10850.0,10850.0,10850.0,0.0,0.0
1662508800000.0,2022-09-07 00:00:00,USDTBULL/USD,10835.0,10850.0,10835.0,10850.0,0.0009199999999999999,9.982
1662422400000.0,2022-09-06 00:00:00,USDTBULL/USD,10830.0,10835.0,10830.0,10835.0,0.0,0.0
1662336000000.0,2022-09-05 00:00:00,USDTBULL/USD,10830.0,10835.0,10825.0,10830.0,0.0018708633425669437,20.26145
1662249600000.0,2022-09-04 00:00:00,USDTBULL/USD,10830.0,10830.0,10825.0,10830.0,0.0,0.0
