https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XTM,Volume USDT
1663372800,2022-09-17 00:00:00,XTM/USDT,0.02767,0.02789,0.02766,0.02781,112404.4861,3125.176304093
1663286400,2022-09-16 00:00:00,XTM/USDT,0.0274,0.02805,0.027,0.02768,2983371.7872,82506.973639546
1663200000,2022-09-15 00:00:00,XTM/USDT,0.02803,0.02875,0.02701,0.02739,2950386.6013,82538.395687615
1663113600,2022-09-14 00:00:00,XTM/USDT,0.02882,0.02901,0.02708,0.02802,3278464.6603,93088.841886406
1663027200,2022-09-13 00:00:00,XTM/USDT,0.0305,0.03209,0.0283,0.02883,3184957.2776,95570.631532721
1662940800,2022-09-12 00:00:00,XTM/USDT,0.0308,0.03209,0.03,0.03051,2685727.044,82814.194254926
1662854400,2022-09-11 00:00:00,XTM/USDT,0.03033,0.0316,0.03028,0.03095,2562977.9218,78820.715177038
1662768000,2022-09-10 00:00:00,XTM/USDT,0.02969,0.03045,0.02877,0.03032,2207094.4698,65541.534139507
1662681600,2022-09-09 00:00:00,XTM/USDT,0.02875,0.03099,0.02841,0.02969,1839078.6278,53694.536394515
1662595200,2022-09-08 00:00:00,XTM/USDT,0.02762,0.02924,0.02741,0.02874,3250107.8244,91831.612297247
1662508800,2022-09-07 00:00:00,XTM/USDT,0.02695,0.02765,0.02601,0.02761,3395869.4775,91366.247005081
1662422400,2022-09-06 00:00:00,XTM/USDT,0.02915,0.02985,0.02671,0.02693,2917635.9477,82253.971405714
1662336000,2022-09-05 00:00:00,XTM/USDT,0.02889,0.03292,0.0279,0.02913,2277377.0452,65974.337823373
1662249600,2022-09-04 00:00:00,XTM/USDT,0.02877,0.02971,0.02852,0.02891,2652802.8731,76654.101896727
1662163200,2022-09-03 00:00:00,XTM/USDT,0.02896,0.029,0.028,0.02877,2799390.2023,79938.507266975
1662076800,2022-09-02 00:00:00,XTM/USDT,0.0299,0.03128,0.02896,0.02897,2859807.4083,85269.526865275
1661990400,2022-09-01 00:00:00,XTM/USDT,0.02927,0.03029,0.029,0.0299,2413502.5608,71517.55737893
1661904000,2022-08-31 00:00:00,XTM/USDT,0.02913,0.031,0.0287,0.02926,3287096.1905,97467.580219251
