https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume METIS,Volume USDT
1663459200,2022-09-18 00:00:00,METIS/USDT,25.09,25.2,24.99,25.03,149.2229,3736.950969
1663372800,2022-09-17 00:00:00,METIS/USDT,24.55,25.57,24.31,25.09,9270.0896,230924.851184
1663286400,2022-09-16 00:00:00,METIS/USDT,25.7,26,24.17,24.55,10558.2503,263726.149051
1663200000,2022-09-15 00:00:00,METIS/USDT,27.33,28.37,25.23,25.75,15187.8677,404682.588359
1663113600,2022-09-14 00:00:00,METIS/USDT,27.8,29.13,26.12,27.36,14868.2551,405651.9373379706
1663027200,2022-09-13 00:00:00,METIS/USDT,29.71,30.14,27,27.76,16314.0406,466894.912376
1662940800,2022-09-12 00:00:00,METIS/USDT,32,32.8,29.18,29.78,12610.256,389564.839785
1662854400,2022-09-11 00:00:00,METIS/USDT,32.3,32.55,30.89,32.04,10217.9852,322857.461556
1662768000,2022-09-10 00:00:00,METIS/USDT,32.01,32.72,30.2,32.3,11960.2051,379998.063467
1662681600,2022-09-09 00:00:00,METIS/USDT,29.19,32.95,28.88,32.1,17593.3735,549948.668606
1662595200,2022-09-08 00:00:00,METIS/USDT,29.13,30.2,28.34,29.2,12026.0144,350035.314723
1662508800,2022-09-07 00:00:00,METIS/USDT,28.68,29.74,27.29,29.14,16822.0327,477053.274665
1662422400,2022-09-06 00:00:00,METIS/USDT,30.36,32.47,28,28.69,14859.14387191,449118.4604709968
1662336000,2022-09-05 00:00:00,METIS/USDT,30.25,32.95,29.54,30.35,7066.9419,213549.849085
1662249600,2022-09-04 00:00:00,METIS/USDT,30.88,30.92,29.8,30.24,7564.7978,228522.180199
1662163200,2022-09-03 00:00:00,METIS/USDT,31.57,31.64,30.06,30.88,7797.2441,240009.341502
1662076800,2022-09-02 00:00:00,METIS/USDT,30.56,33.68,30.46,31.51,10237.0909,321444.894665
1661990400,2022-09-01 00:00:00,METIS/USDT,31.11,31.33,29.65,30.61,6830.8058,206842.577137
1661904000,2022-08-31 00:00:00,METIS/USDT,30.96,32.59,30.66,31.09,6872.474,217425.898941
1661817600,2022-08-30 00:00:00,METIS/USDT,32.42,33.86,29.85,30.96,23349.5839,754358.298765
1661731200,2022-08-29 00:00:00,METIS/USDT,29.14,33.32,28.78,32.43,30164.8893,939910.781189
1661644800,2022-08-28 00:00:00,METIS/USDT,29.95,31.01,29,29.15,17015.688,517535.537532
1661558400,2022-08-27 00:00:00,METIS/USDT,31.16,32.7,29,29.91,15381.4211,470756.356879
1661472000,2022-08-26 00:00:00,METIS/USDT,35.33,36.9,31.03,31.16,17344.3401,584197.538192
1661385600,2022-08-25 00:00:00,METIS/USDT,35.49,37.49,35.23,35.27,10851.3225,395620.494052
1661299200,2022-08-24 00:00:00,METIS/USDT,34.58,37.09,33.89,35.49,14771.2326,518166.222958
1661212800,2022-08-23 00:00:00,METIS/USDT,32.55,35.88,31.79,34.52,13959.8017,470219.713407
1661126400,2022-08-22 00:00:00,METIS/USDT,34.96,35.11,31.49,32.5,11491.6892,375654.087494
1661040000,2022-08-21 00:00:00,METIS/USDT,32.14,35.9,31.72,34.8,8060.5614,271447.976336
1660953600,2022-08-20 00:00:00,METIS/USDT,32.51,36,31.49,32.2,9011.872,302343.812256
1660867200,2022-08-19 00:00:00,METIS/USDT,38,38.01,32.26,32.48,15756.3664,537692.806966
1660780800,2022-08-18 00:00:00,METIS/USDT,38.68,39.8,37.94,38,9369.8656,360704.108675
1660694400,2022-08-17 00:00:00,METIS/USDT,38.64,43.37,34.94,38.63,24131.0489,943802.87351
1660608000,2022-08-16 00:00:00,METIS/USDT,40.6,40.7,38,38.74,10861.5257,427166.627809
1660521600,2022-08-15 00:00:00,METIS/USDT,42.95,45,39.2,40.65,13390.8539,567662.742841
1660435200,2022-08-14 00:00:00,METIS/USDT,47.46,48.55,42.8,43.02,13363.4844,606314.699045
1660348800,2022-08-13 00:00:00,METIS/USDT,48.8,50,46.39,47.46,10426.4154,499737.750306
1660262400,2022-08-12 00:00:00,METIS/USDT,44.5,49.99,43.84,48.8,15351.4926,711466.73837
1660176000,2022-08-11 00:00:00,METIS/USDT,47.54,50.16,44.39,44.47,25238.7669,1202887.272557
1660089600,2022-08-10 00:00:00,METIS/USDT,42.93,47.95,41.39,47.55,21656.597,968772.440107
1660003200,2022-08-09 00:00:00,METIS/USDT,45.47,45.48,41.46,42.93,15710.7837,675589.506988
1659916800,2022-08-08 00:00:00,METIS/USDT,44.34,47.98,43.41,45.48,12367.2976,566783.014069
1659830400,2022-08-07 00:00:00,METIS/USDT,41.76,46.8,40.86,44.25,13878.4746,608712.076221
1659744000,2022-08-06 00:00:00,METIS/USDT,47.9,48.6,41.6,41.6,16772.2098,751671.708617
1659657600,2022-08-05 00:00:00,METIS/USDT,45.47,50,44.91,47.9,22901.96295051,1077062.6584053576
1659571200,2022-08-04 00:00:00,METIS/USDT,35.18,47.79,34.93,45.46,47681.08392354,2034268.2644130242
1659484800,2022-08-03 00:00:00,METIS/USDT,33.22,37.75,32.52,35.19,12756.4738,450437.541029
1659398400,2022-08-02 00:00:00,METIS/USDT,33.65,34.42,31.46,33.14,8870.70870646,289518.0541647252
1659312000,2022-08-01 00:00:00,METIS/USDT,34.36,35.9,32.47,33.6,7084.4827,238942.737332
1659225600,2022-07-31 00:00:00,METIS/USDT,34.49,35.89,33.74,34.35,10625.1919,369138.001379
1659139200,2022-07-30 00:00:00,METIS/USDT,36.7,38.19,33.72,34.44,16260.5296,590318.145662
1659052800,2022-07-29 00:00:00,METIS/USDT,36.25,42,31.89,36.7,29171.1481,1061429.178385
1658966400,2022-07-28 00:00:00,METIS/USDT,34.11,40.3,30.66,36.1,38259.2837,1357262.088713
1658880000,2022-07-27 00:00:00,METIS/USDT,28,37.01,27.48,34.1,22780.0423,732456.694705
1658793600,2022-07-26 00:00:00,METIS/USDT,27.53,29.07,25.74,28,12399.7343,328985.796474
1658707200,2022-07-25 00:00:00,METIS/USDT,30.61,31.03,27.1,27.52,10747.1113,310896.459359
1658620800,2022-07-24 00:00:00,METIS/USDT,29.62,31.98,28.86,30.62,8107.3302,248624.464842
1658534400,2022-07-23 00:00:00,METIS/USDT,30.29,33.37,26.52,29.63,15688.0313,465092.087721
1658448000,2022-07-22 00:00:00,METIS/USDT,33.05,36,28.1,30.42,31701.4927,1019588.208839
1658361600,2022-07-21 00:00:00,METIS/USDT,30.2,34.21,28.22,33.06,21908.6898,685402.545704
1658275200,2022-07-20 00:00:00,METIS/USDT,31.31,39,28.84,30.17,48195.64029904,1614092.82123815
1658188800,2022-07-19 00:00:00,METIS/USDT,29.66,32.99,27.97,31.29,36593.01262101,1093037.733271971
1658102400,2022-07-18 00:00:00,METIS/USDT,23.78,34.2,23.54,29.54,50685.32238466,1454419.6286451536
1658016000,2022-07-17 00:00:00,METIS/USDT,24.6,26,23.68,23.78,15158.62192077,374976.6198089481
1657929600,2022-07-16 00:00:00,METIS/USDT,23.62,25.35,22.81,24.55,16291.34550438,392716.4389935454
1657843200,2022-07-15 00:00:00,METIS/USDT,22.48,24.28,21.89,23.6,14849.22873012,346139.4357198482
1657756800,2022-07-14 00:00:00,METIS/USDT,21.62,25,20.12,22.4,13554.83850642,293835.3299187371
1657670400,2022-07-13 00:00:00,METIS/USDT,19.65,21.7,19.07,21.68,11600.20090164,232010.1134417924
1657584000,2022-07-12 00:00:00,METIS/USDT,20.05,20.9,19.23,19.66,11594.33519622,229376.8841580463
1657497600,2022-07-11 00:00:00,METIS/USDT,21.84,21.9,19.64,20,11773.63309221,245483.5593178613
1657411200,2022-07-10 00:00:00,METIS/USDT,22.61,22.67,21.08,21.97,11628.50101261,254878.1764444058
1657324800,2022-07-09 00:00:00,METIS/USDT,22.44,23.23,21.93,22.51,9476.25592685,212458.3539041983
1657238400,2022-07-08 00:00:00,METIS/USDT,21.81,23.87,21.57,22.49,16793.10809453,382411.7711907031
1657152000,2022-07-07 00:00:00,METIS/USDT,20.29,22.61,19.68,21.81,14124.68639533,297921.2175447742
1657065600,2022-07-06 00:00:00,METIS/USDT,19.42,20.7,18.88,20.27,14415.69568551,283869.7060353491
1656979200,2022-07-05 00:00:00,METIS/USDT,20.46,20.79,18.7,19.34,13344.15740166,261725.8356309338
1656892800,2022-07-04 00:00:00,METIS/USDT,19.58,22,18.5,20.46,17745.1792733,344257.0999229829
1656806400,2022-07-03 00:00:00,METIS/USDT,19.82,20.25,18.71,19.57,12930.55379578,248996.4268980136
1656720000,2022-07-02 00:00:00,METIS/USDT,19.02,20.05,18.61,19.83,21320.21389344,409752.1350513856
1656633600,2022-07-01 00:00:00,METIS/USDT,19.31,19.88,18.59,19,21237.71527071,408089.7801572188
1656547200,2022-06-30 00:00:00,METIS/USDT,19.21,19.45,17.61,19.4,29551.16497498,547917.6264545863
