https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLATO,Volume USDT
1663459200,2022-09-18 00:00:00,PLATO/USDT,0.000956,0.000964,0.000954,0.00096,4261992.3326,4082.3927561364
1663372800,2022-09-17 00:00:00,PLATO/USDT,0.000946,0.000983,0.000908,0.000958,156125833.2171,147239.4297132318
1663286400,2022-09-16 00:00:00,PLATO/USDT,0.000918,0.000984,0.000909,0.000948,156483647.3337,146617.372510849
1663200000,2022-09-15 00:00:00,PLATO/USDT,0.000948,0.001064,0.0009,0.000918,250706371.5888,240736.81378931
1663113600,2022-09-14 00:00:00,PLATO/USDT,0.00088,0.001049,0.000871,0.000948,233092519.9107,217165.4849181455
1663027200,2022-09-13 00:00:00,PLATO/USDT,0.000989,0.00099,0.000875,0.00088,161042243.3023,149326.6077694264
1662940800,2022-09-12 00:00:00,PLATO/USDT,0.000974,0.00107,0.000932,0.000988,235128711.137,230145.3465366822
1662854400,2022-09-11 00:00:00,PLATO/USDT,0.000943,0.001138,0.000908,0.000975,273035441.359,270113.4511079392
1662768000,2022-09-10 00:00:00,PLATO/USDT,0.000978,0.001019,0.000927,0.000943,181101865.489,174423.568279663
1662681600,2022-09-09 00:00:00,PLATO/USDT,0.001093,0.001106,0.000965,0.000979,181670958.318,185535.8634628942
1662595200,2022-09-08 00:00:00,PLATO/USDT,0.000974,0.00134,0.000944,0.001092,420459284.7228,461106.175215932
1662508800,2022-09-07 00:00:00,PLATO/USDT,0.000938,0.001079,0.000857,0.000976,265799860.6694,246604.4051064626
1662422400,2022-09-06 00:00:00,PLATO/USDT,0.001036,0.001089,0.0009,0.000938,282176627.9713,281845.4956422256
1662336000,2022-09-05 00:00:00,PLATO/USDT,0.001331,0.001372,0.001018,0.001036,293109695.77,341695.8990115038
1662249600,2022-09-04 00:00:00,PLATO/USDT,0.001396,0.001465,0.001303,0.00133,183904784.7807,249558.904116896
1662163200,2022-09-03 00:00:00,PLATO/USDT,0.001336,0.001549,0.00129,0.001394,224050174.7,308468.2079511907
1662076800,2022-09-02 00:00:00,PLATO/USDT,0.001219,0.00172,0.00121,0.001336,517204906.5325,740767.9085369626
1661990400,2022-09-01 00:00:00,PLATO/USDT,0.00136,0.001552,0.001065,0.001219,469200189.6566465,591780.3195518527775
1661904000,2022-08-31 00:00:00,PLATO/USDT,0.000903,0.002304,0.000897,0.00136,601077169.9058,750057.342161547
1661817600,2022-08-30 00:00:00,PLATO/USDT,0.001009,0.001009,0.000799,0.000905,155140659.4475,143262.6014558177
