https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume DOT
1663545600000,2022-09-19 00:00:00,DOT/BTC,0.00033182,0.00033591,0.00033122,0.00033591,0.005072241,15.1
1663459200000,2022-09-18 00:00:00,DOT/BTC,0.00035028,0.00035187,0.00032766,0.00033222,0.1485352466534538,447.09905079
1663372800000,2022-09-17 00:00:00,DOT/BTC,0.00034764,0.00035676,0.00034764,0.00035134,0.1769549417951546,503.65726019
1663286400000,2022-09-16 00:00:00,DOT/BTC,0.00035173,0.00035219,0.0003458,0.00034836,0.113144048817648,324.7905868
1663200000000,2022-09-15 00:00:00,DOT/BTC,0.00035465,0.00035501,0.00034741,0.00035103,0.15647145592222378,445.74952546
1663113600000,2022-09-14 00:00:00,DOT/BTC,0.00035271,0.0003591,0.00035059,0.00035624,0.1232673800521992,346.02341133
1663027200000,2022-09-13 00:00:00,DOT/BTC,0.00034239,0.0003537,0.0003386,0.00035017,0.19163782167723872,547.27081611
1662940800000,2022-09-12 00:00:00,DOT/BTC,0.00035244,0.0003614,0.00034218,0.00034227,0.21719933904762628,634.58479869
1662854400000,2022-09-11 00:00:00,DOT/BTC,0.00035936,0.00036414,0.00035224,0.00035301,0.1239476912217138,351.11665738
1662768000000,2022-09-10 00:00:00,DOT/BTC,0.00036217,0.00036764,0.00035654,0.00035941,0.21947025351276803,610.6403648
1662681600000,2022-09-09 00:00:00,DOT/BTC,0.00038236,0.00038615,0.00036211,0.00036246,0.3968306451680424,1094.82603644
1662595200000,2022-09-08 00:00:00,DOT/BTC,0.00037267,0.00038475,0.00036783,0.00038246,0.4875541322173002,1274.78463687
1662508800000,2022-09-07 00:00:00,DOT/BTC,0.00036538,0.000379,0.00036483,0.00037276,0.268271470768392,719.6895342
1662422400000,2022-09-06 00:00:00,DOT/BTC,0.00037227,0.00038452,0.00036397,0.00036585,0.40135417739735846,1097.04572201
1662336000000,2022-09-05 00:00:00,DOT/BTC,0.00036862,0.00038296,0.00036785,0.00037155,0.2925801706564125,787.45840575
