https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume URUS,Volume USDT
1663462800,2022-09-18 01:00:00,URUS/USDT,17.163,17.167,17.115,17.131,133.8356,2292.7143878
1663459200,2022-09-18 00:00:00,URUS/USDT,17.133,17.272,17.071,17.169,339.3623,5827.9841791
1663455600,2022-09-17 23:00:00,URUS/USDT,17.149,17.319,17.111,17.135,434.2573,7448.0293529
1663452000,2022-09-17 22:00:00,URUS/USDT,17.226,17.29,16.968,17.151,487.7183,8382.0953905
1663448400,2022-09-17 21:00:00,URUS/USDT,17.319,17.346,17.222,17.228,374.2537,6466.7979159
1663444800,2022-09-17 20:00:00,URUS/USDT,17.463,17.463,17.131,17.321,396.0726,6880.6809935
1663441200,2022-09-17 19:00:00,URUS/USDT,17.543,17.573,17.254,17.469,377.5236,6607.1492517
1663437600,2022-09-17 18:00:00,URUS/USDT,17.479,17.541,17.479,17.537,575.6979,10081.5103435
1663434000,2022-09-17 17:00:00,URUS/USDT,17.521,17.521,17.451,17.473,373.9209,6533.6706359
1663430400,2022-09-17 16:00:00,URUS/USDT,17.483,17.583,17.397,17.525,592.4403,10371.7868395
1663426800,2022-09-17 15:00:00,URUS/USDT,17.416,17.567,17.416,17.485,597.651,10443.4215628
1663423200,2022-09-17 14:00:00,URUS/USDT,17.392,17.583,17.135,17.418,437.4504,7601.2523392
1663419600,2022-09-17 13:00:00,URUS/USDT,17.339,17.404,17.273,17.388,479.4719,8319.7128121
1663416000,2022-09-17 12:00:00,URUS/USDT,17.337,17.385,17.272,17.343,626.7377,10864.9051119
1663412400,2022-09-17 11:00:00,URUS/USDT,17.349,17.369,17.313,17.333,616.9943,10692.9546925
1663408800,2022-09-17 10:00:00,URUS/USDT,17.301,17.393,17.293,17.343,375.4053,6514.1480137
1663405200,2022-09-17 09:00:00,URUS/USDT,17.333,17.446,17.227,17.305,301.7486,5223.3886342
1663401600,2022-09-17 08:00:00,URUS/USDT,17.23,17.445,17.227,17.335,352.4426,6107.0829274
1663398000,2022-09-17 07:00:00,URUS/USDT,17.254,17.443,17.162,17.237,527.6324,9091.8427101
1663394400,2022-09-17 06:00:00,URUS/USDT,17.298,17.316,17.24,17.258,622.701,10754.1479832
1663390800,2022-09-17 05:00:00,URUS/USDT,17.258,17.322,17.224,17.302,454.2177,7853.401305
1663387200,2022-09-17 04:00:00,URUS/USDT,17.192,17.288,17.192,17.256,449.4233,7751.86363
1663383600,2022-09-17 03:00:00,URUS/USDT,17.252,17.254,17.186,17.198,416.794,7170.3952913
1663380000,2022-09-17 02:00:00,URUS/USDT,17.262,17.403,17.223,17.246,379.6033,6551.8235833
1663376400,2022-09-17 01:00:00,URUS/USDT,17.263,17.263,17.258,17.26,377.5875,6517.6624538
1663372800,2022-09-17 00:00:00,URUS/USDT,17.261,17.263,17.258,17.261,592.4496,10226.4650067
1663369200,2022-09-16 23:00:00,URUS/USDT,17.259,17.404,17.258,17.261,419.1728,7235.3931049
1663365600,2022-09-16 22:00:00,URUS/USDT,17.239,17.413,17.239,17.259,78.1278,1348.9966829
1663362000,2022-09-16 21:00:00,URUS/USDT,17.177,17.451,17.158,17.352,306.0751,5278.6319775
1663358400,2022-09-16 20:00:00,URUS/USDT,16.973,17.578,16.957,17.176,450.3685,7697.9753091
1663354800,2022-09-16 19:00:00,URUS/USDT,16.959,17.001,16.955,16.976,541.4448,9188.5238028
1663351200,2022-09-16 18:00:00,URUS/USDT,16.969,17.023,16.958,16.958,592.333,10063.7498453
1663347600,2022-09-16 17:00:00,URUS/USDT,17.076,17.183,16.897,16.967,619.5517,10555.1979568
1663344000,2022-09-16 16:00:00,URUS/USDT,17.097,17.133,17.073,17.074,203.6311,3482.5020054
1663340400,2022-09-16 15:00:00,URUS/USDT,17.162,17.22,17.088,17.095,375.4152,6434.8461101
1663336800,2022-09-16 14:00:00,URUS/USDT,17.178,17.22,17.114,17.156,342.2745,5867.511387
1663333200,2022-09-16 13:00:00,URUS/USDT,17.119,17.47,17.047,17.182,586.3867,10101.9843599
1663329600,2022-09-16 12:00:00,URUS/USDT,17.212,17.213,17.046,17.121,403.6483,6925.4573549
1663326000,2022-09-16 11:00:00,URUS/USDT,17.04,17.225,17.038,17.21,646.9725,11080.2361645
1663322400,2022-09-16 10:00:00,URUS/USDT,17.048,17.144,17.042,17.043,544.3337,9301.8070667
1663318800,2022-09-16 09:00:00,URUS/USDT,17.119,17.172,16.995,17.042,515.2787,8814.6252605
1663315200,2022-09-16 08:00:00,URUS/USDT,17.126,17.224,17.087,17.121,545.4959,9332.0088841
1663311600,2022-09-16 07:00:00,URUS/USDT,17.136,17.224,17.094,17.122,545.0732,9327.8642284
1663308000,2022-09-16 06:00:00,URUS/USDT,17.118,17.17,17.112,17.13,544.5332,9333.163121
1663304400,2022-09-16 05:00:00,URUS/USDT,17.102,17.224,17.028,17.114,389.8381,6655.9080644
1663300800,2022-09-16 04:00:00,URUS/USDT,17.165,17.224,17.086,17.108,376.3284,6441.7296994
1663297200,2022-09-16 03:00:00,URUS/USDT,17.112,17.536,17.004,17.159,580.6644,9983.3429579
1663293600,2022-09-16 02:00:00,URUS/USDT,16.976,17.116,16.917,17.116,541.7309,9209.1196867
1663290000,2022-09-16 01:00:00,URUS/USDT,17.042,17.195,16.97,16.978,371.5217,6310.4449089
1663286400,2022-09-16 00:00:00,URUS/USDT,17.321,17.379,16.867,17.044,569.2761,9712.4901404
1663282800,2022-09-15 23:00:00,URUS/USDT,17.385,17.389,17.27,17.323,407.6194,7063.4148615
1663279200,2022-09-15 22:00:00,URUS/USDT,17.327,17.413,17.266,17.381,378.1583,6570.7877045
1663275600,2022-09-15 21:00:00,URUS/USDT,17.4,17.454,17.265,17.321,373.2495,6467.5458419
1663272000,2022-09-15 20:00:00,URUS/USDT,17.264,17.474,17.255,17.394,644.1331,11176.6952046
