https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume SGD
1663473600000,2022-09-18 04:00:00,ETH/SGD,2043.0,2058.68,1877.0,1907.52,558.022094,1064438.30474688
1663387200000,2022-09-17 04:00:00,ETH/SGD,2032.06,2088.45,2005.0,2043.0,228.94733,467739.39519
1663300800000,2022-09-16 04:00:00,ETH/SGD,2074.9,2074.9,1988.0,2032.06,394.596295,801843.3472177
1663214400000,2022-09-15 04:00:00,ETH/SGD,2280.41,2339.26,2050.0,2074.9,978.499772,2030289.1769228
1663128000000,2022-09-14 04:00:00,ETH/SGD,2255.8,2318.02,2200.0,2280.41,220.860448,503652.37422367994
1663041600000,2022-09-13 04:00:00,ETH/SGD,2400.0,2455.0,2199.35,2255.8,1127.655842,2543766.0483836
1662955200000,2022-09-12 04:00:00,ETH/SGD,2421.25,2468.61,2360.44,2400.0,534.209998,1282103.9952
1662868800000,2022-09-11 04:00:00,ETH/SGD,2472.3,2508.23,2408.96,2421.25,1020.066581,2469836.20924625
1662782400000,2022-09-10 04:00:00,ETH/SGD,2433.64,2507.0,2399.66,2472.3,689.486853,1704618.3466719
1662696000000,2022-09-09 04:00:00,ETH/SGD,2339.45,2447.74,2339.45,2433.64,1364.442256,3320561.25189184
1662609600000,2022-09-08 04:00:00,ETH/SGD,2297.4,2348.11,2248.48,2339.45,901.586412,2109216.3315534
1662523200000,2022-09-07 04:00:00,ETH/SGD,2134.9,2331.14,2134.9,2297.4,355.349295,816379.470333
1662436800000,2022-09-06 04:00:00,ETH/SGD,2304.0,2372.32,2100.0,2134.9,1659.685444,3543262.4543956
1662350400000,2022-09-05 04:00:00,ETH/SGD,2218.4,2350.0,2196.8,2304.0,515.659084,1188078.529536
1662264000000,2022-09-04 04:00:00,ETH/SGD,2181.16,2237.49,2170.0,2218.4,380.688229,844518.7672136
1662177600000,2022-09-03 04:00:00,ETH/SGD,2195.65,2209.15,2159.8,2181.16,274.570167,598881.4654537201
1662091200000,2022-09-02 04:00:00,ETH/SGD,2250.2,2310.0,2180.0,2195.65,634.816647,1393835.17098555
1662004800000,2022-09-01 04:00:00,ETH/SGD,2170.07,2253.17,2130.0,2250.2,816.697359,1837732.3972218
1661918400000,2022-08-31 04:00:00,ETH/SGD,2247.0,2247.0,2145.41,2170.07,234.734716,509390.76515012
1661832000000,2022-08-30 04:00:00,ETH/SGD,2163.41,2259.0,2070.0,2247.0,1228.453497,2760335.0077589997
1661745600000,2022-08-29 04:00:00,ETH/SGD,2040.87,2180.0,2022.0,2163.41,852.531696,1844375.59644336
1661659200000,2022-08-28 04:00:00,ETH/SGD,2086.65,2100.63,1995.0,2040.87,1047.317351,2137438.5621353695
1661572800000,2022-08-27 04:00:00,ETH/SGD,2099.35,2111.72,2028.93,2086.65,1448.118273,3021715.9943554504
1661486400000,2022-08-26 04:00:00,ETH/SGD,2352.38,2368.49,2074.0,2099.35,2051.357155,4306516.64334925
1661400000000,2022-08-25 04:00:00,ETH/SGD,2324.77,2394.7,2324.77,2352.38,528.416756,1243037.00847928
1661313600000,2022-08-24 04:00:00,ETH/SGD,2253.74,2359.58,2253.74,2324.77,102.259862,237730.65938174
1661227200000,2022-08-23 04:00:00,ETH/SGD,2258.79,2331.62,2193.0,2253.74,923.902517,2082236.0586635799
