https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RUB,Volume USDT
1663545600000,2022-09-19 00:00:00,USDT/RUB,65.054386,65.260454,64.8,65.222683,1330436.3290180059,20398.36860158
1663459200000,2022-09-18 00:00:00,USDT/RUB,63.314952,65.219434,63.0484,65.062396,8363575.329919236,128546.99248886
1663372800000,2022-09-17 00:00:00,USDT/RUB,63.082125,63.432199,63.0006,63.314952,4977146.391590147,78609.33688444
1663286400000,2022-09-16 00:00:00,USDT/RUB,61.947394,63.800003,61.924112,63.05691,8413603.071380837,133428.72448683
1663200000000,2022-09-15 00:00:00,USDT/RUB,62.00166,62.41,61.749201,61.947325,7558095.422458938,122008.42284084
1663113600000,2022-09-14 00:00:00,USDT/RUB,62.59,64.609,61.563,61.993186,15553047.141472917,250883.17192591
1663027200000,2022-09-13 00:00:00,USDT/RUB,62.478252,63.95,61.621692,62.589997,13609030.279670473,217431.3937045
1662940800000,2022-09-12 00:00:00,USDT/RUB,63.08552,63.499999,62.25,62.4716,9210706.224631846,147438.29555561
1662854400000,2022-09-11 00:00:00,USDT/RUB,63.427484,63.449999,63.000001,63.098349,6140289.941485359,97313.00483766
1662768000000,2022-09-10 00:00:00,USDT/RUB,63.330962,63.45,63.0,63.422164,5592975.1617270745,88186.4447534
1662681600000,2022-09-09 00:00:00,USDT/RUB,63.862624,63.998251,62.600687,63.349507,9225669.645453002,145631.27769018
1662595200000,2022-09-08 00:00:00,USDT/RUB,65.127984,65.39628,62.9,63.901509,11181334.912220538,174977.63491345
1662508800000,2022-09-07 00:00:00,USDT/RUB,63.467339,65.147901,62.840019,65.108561,11518805.81345824,176916.91594072
1662422400000,2022-09-06 00:00:00,USDT/RUB,63.1799,64.39,62.58,63.489007,9475574.904957322,149247.48948991
1662336000000,2022-09-05 00:00:00,USDT/RUB,62.631132,63.999996,62.5442,63.347699,9574985.4921431,151149.69672605
1662249600000,2022-09-04 00:00:00,USDT/RUB,62.735677,63.0196,62.502366,62.705211,6960379.841364526,111001.61741525
1662163200000,2022-09-03 00:00:00,USDT/RUB,62.9895,63.37,62.594446,62.737156,12780876.990179997,203721.0132729
1662076800000,2022-09-02 00:00:00,USDT/RUB,62.549692,63.4,62.208469,63.107451,13675411.547295427,216700.42650424
1661990400000,2022-09-01 00:00:00,USDT/RUB,62.944201,63.53,62.2,62.343573,10694371.977265561,171539.28564963
1661904000000,2022-08-31 00:00:00,USDT/RUB,62.09741,63.5977,61.9,63.000453,7778200.237031306,123462.60807095
1661817600000,2022-08-30 00:00:00,USDT/RUB,63.332475,63.585901,62.0,62.057185,6825223.090310826,109982.80199643
1661731200000,2022-08-29 00:00:00,USDT/RUB,62.014037,63.5,61.550001,63.415785,8248235.02080823,130065.96103491
1661644800000,2022-08-28 00:00:00,USDT/RUB,61.81618,62.212443,61.100301,62.035894,7600008.200277954,122509.85212332
1661558400000,2022-08-27 00:00:00,USDT/RUB,61.899344,62.408999,61.219701,61.852489,6930736.986429918,112052.67724036
1661472000000,2022-08-26 00:00:00,USDT/RUB,61.682655,62.405576,60.4,61.836193,8230586.668002151,133103.06260287
1661385600000,2022-08-25 00:00:00,USDT/RUB,62.133763,62.198699,60.4,61.76071,7875302.9546952965,127513.15447467
1661299200000,2022-08-24 00:00:00,USDT/RUB,62.307349,62.749998,61.409,62.123995,6820042.054651594,109781.12490434
1661212800000,2022-08-23 00:00:00,USDT/RUB,61.967652,62.8,61.609,62.173706,6977071.7144538555,112219.00966389
1661126400000,2022-08-22 00:00:00,USDT/RUB,62.160444,62.160444,61.825713,62.015567,274170.82170699997,4421.0
1661040000000,2022-08-21 00:00:00,USDT/RUB,62.71181,62.921099,61.450594,62.134031,6905954.714615563,111146.09181908
1660953600000,2022-08-20 00:00:00,USDT/RUB,63.224105,63.7382,61.8,62.605958,9943972.462704467,158834.28319561
1660867200000,2022-08-19 00:00:00,USDT/RUB,62.669514,64.4446,61.8,63.316509,14943095.251718065,236006.30369116
