https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GOVI,Volume BTC
1663459200,2022-09-18 00:00:00,GOVI/BTC,0.00001236,0.00001249,0.00001236,0.00001244,13007.2912,0.161947677429
1663372800,2022-09-17 00:00:00,GOVI/BTC,0.00001227,0.00001285,0.000012,0.00001236,265062.6409,3.263153827963
1663286400,2022-09-16 00:00:00,GOVI/BTC,0.00001168,0.000013,0.00001127,0.00001239,256433.2897,3.024006537518
1663200000,2022-09-15 00:00:00,GOVI/BTC,0.00001165,0.00001282,0.00001139,0.00001171,335913.1765,3.932110223572
1663113600,2022-09-14 00:00:00,GOVI/BTC,0.00001189,0.00001193,0.00001152,0.00001164,395122.3245,4.606921756876
1663027200,2022-09-13 00:00:00,GOVI/BTC,0.00001119,0.00001202,0.00001104,0.0000119,355087.4424,4.072201776872
1662940800,2022-09-12 00:00:00,GOVI/BTC,0.00001165,0.00001169,0.00001105,0.0000112,254348.4559,2.883765943919
1662854400,2022-09-11 00:00:00,GOVI/BTC,0.00001182,0.00001196,0.00001157,0.00001165,276105.8867,3.240400946453
1662768000,2022-09-10 00:00:00,GOVI/BTC,0.00001183,0.00001226,0.00001174,0.00001182,390266.5237,4.668573303483
1662681600,2022-09-09 00:00:00,GOVI/BTC,0.00001225,0.00001227,0.00001168,0.00001186,322277.0185,3.83280140306
1662595200,2022-09-08 00:00:00,GOVI/BTC,0.00001224,0.00001245,0.00001215,0.00001225,213617.4453,2.625217769547
1662508800,2022-09-07 00:00:00,GOVI/BTC,0.00001265,0.00001269,0.00001196,0.00001224,261361.3185,3.189946766483
1662422400,2022-09-06 00:00:00,GOVI/BTC,0.00001203,0.00001275,0.00001193,0.00001265,325070.2618,4.003625405731
1662336000,2022-09-05 00:00:00,GOVI/BTC,0.00001205,0.00001226,0.00001196,0.00001203,316069.002,3.81812627132
1662249600,2022-09-04 00:00:00,GOVI/BTC,0.00001211,0.00001231,0.00001196,0.00001205,271013.8393,3.287076617652
1662163200,2022-09-03 00:00:00,GOVI/BTC,0.00001214,0.0000123,0.00001204,0.00001209,435486.6295,5.301980712309
1662076800,2022-09-02 00:00:00,GOVI/BTC,0.00001192,0.00001218,0.00001182,0.00001213,378387.0603,4.534746108263
1661990400,2022-09-01 00:00:00,GOVI/BTC,0.00001199,0.00001214,0.00001181,0.00001192,386736.9338,4.627122532071
1661904000,2022-08-31 00:00:00,GOVI/BTC,0.00001183,0.0000122,0.00001164,0.00001201,274013.9236,3.272372014146
1661817600,2022-08-30 00:00:00,GOVI/BTC,0.00001178,0.00001207,0.00001159,0.00001183,17103.2033,0.201658417566
1661731200,2022-08-29 00:00:00,GOVI/BTC,0.00001124,0.00001187,0.00001124,0.00001172,1976.6886,0.022718398759
1661644800,2022-08-28 00:00:00,GOVI/BTC,0.00001161,0.00001252,0.00001089,0.0000114,7332.8391,0.085967987546
1661558400,2022-08-27 00:00:00,GOVI/BTC,0.00001178,0.00001181,0.00001118,0.00001181,6799.4024,0.078095493384
1661472000,2022-08-26 00:00:00,GOVI/BTC,0.00001206,0.00001235,0.00001172,0.00001188,6205.8235,0.074494401811
1661385600,2022-08-25 00:00:00,GOVI/BTC,0.00001262,0.00001262,0.00001183,0.00001192,36732.7704,0.441536396285
