https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume XRD
1663545600000,2022-09-19 00:00:00,XRD/BTC,3e-06,3e-06,2.99e-06,2.99e-06,0.0016796280162259002,561.74850041
1663459200000,2022-09-18 00:00:00,XRD/BTC,2.96e-06,3.02e-06,2.9e-06,3.01e-06,0.7173275012284227,238314.78446127
1663372800000,2022-09-17 00:00:00,XRD/BTC,3.01e-06,3.03e-06,2.93e-06,2.96e-06,0.8488508529768992,286773.93681652
1663286400000,2022-09-16 00:00:00,XRD/BTC,3.02e-06,3.07e-06,2.99e-06,3.01e-06,0.5325344041635198,176921.72895798
1663200000000,2022-09-15 00:00:00,XRD/BTC,3.19e-06,3.23e-06,2.92e-06,3.02e-06,2.2453673378491317,743499.11849309
1663113600000,2022-09-14 00:00:00,XRD/BTC,3.31e-06,3.57e-06,3.1e-06,3.19e-06,1.6198086537063892,507777.00743147
1663027200000,2022-09-13 00:00:00,XRD/BTC,2.94e-06,3.36e-06,2.83e-06,3.31e-06,2.0461942902016483,618185.58616364
1662940800000,2022-09-12 00:00:00,XRD/BTC,2.96e-06,3.06e-06,2.86e-06,2.94e-06,1.6841988577441944,572856.75433476
1662854400000,2022-09-11 00:00:00,XRD/BTC,2.73e-06,3.05e-06,2.73e-06,2.97e-06,2.7930042372761297,940405.46709634
1662768000000,2022-09-10 00:00:00,XRD/BTC,2.81e-06,2.84e-06,2.7e-06,2.73e-06,1.2636620560206553,462879.87400024
1662681600000,2022-09-09 00:00:00,XRD/BTC,3.06e-06,3.08e-06,2.81e-06,2.81e-06,2.124975724945031,756219.11919752
1662595200000,2022-09-08 00:00:00,XRD/BTC,3.03e-06,3.15e-06,3.01e-06,3.08e-06,2.0128795360025045,653532.31688393
1662508800000,2022-09-07 00:00:00,XRD/BTC,3.03e-06,3.05e-06,2.98e-06,3.03e-06,0.8032706676495734,265105.83090745
1662422400000,2022-09-06 00:00:00,XRD/BTC,2.9e-06,3.03e-06,2.84e-06,3.03e-06,1.5201612040596433,501703.36767645
1662336000000,2022-09-05 00:00:00,XRD/BTC,2.81e-06,2.93e-06,2.81e-06,2.9e-06,1.043275645074434,359750.22243946
1662249600000,2022-09-04 00:00:00,XRD/BTC,2.82e-06,2.97e-06,2.81e-06,2.81e-06,1.2648666439177936,450130.47826256
1662163200000,2022-09-03 00:00:00,XRD/BTC,2.87e-06,2.92e-06,2.82e-06,2.82e-06,1.8237376509398942,646715.4790567
1662076800000,2022-09-02 00:00:00,XRD/BTC,2.87e-06,2.97e-06,2.8e-06,2.87e-06,0.9257594433176272,322564.26596433
1661990400000,2022-09-01 00:00:00,XRD/BTC,2.91e-06,2.96e-06,2.87e-06,2.87e-06,0.5921688025312976,206330.59321648
1661904000000,2022-08-31 00:00:00,XRD/BTC,2.97e-06,3e-06,2.87e-06,2.9e-06,1.9638028659899502,677173.4020655
1661817600000,2022-08-30 00:00:00,XRD/BTC,2.92e-06,3.04e-06,2.87e-06,2.97e-06,2.211319035824135,744551.86391385
1661731200000,2022-08-29 00:00:00,XRD/BTC,2.84e-06,3e-06,2.8e-06,2.92e-06,1.9102032305909074,654179.18855853
1661644800000,2022-08-28 00:00:00,XRD/BTC,2.84e-06,2.88e-06,2.79e-06,2.85e-06,1.436835867330903,504152.93590558
1661558400000,2022-08-27 00:00:00,XRD/BTC,2.93e-06,2.94e-06,2.73e-06,2.87e-06,3.382006878620484,1178399.60927543
1661472000000,2022-08-26 00:00:00,XRD/BTC,2.82e-06,2.97e-06,2.8e-06,2.95e-06,1.849513984294776,626953.89298128
1661385600000,2022-08-25 00:00:00,XRD/BTC,2.86e-06,2.87e-06,2.8e-06,2.82e-06,1.2015063862144013,426066.09440227
1661299200000,2022-08-24 00:00:00,XRD/BTC,2.88e-06,2.92e-06,2.8e-06,2.86e-06,1.2575691127664521,439709.47998827
1661212800000,2022-08-23 00:00:00,XRD/BTC,2.81e-06,2.91e-06,2.8e-06,2.88e-06,1.357128623844576,471225.2166127
1661126400000,2022-08-22 00:00:00,XRD/BTC,2.84e-06,2.9e-06,2.81e-06,2.81e-06,0.28640803331130704,101924.5670147
1661040000000,2022-08-21 00:00:00,XRD/BTC,2.82e-06,2.99e-06,2.76e-06,2.84e-06,0.6503037094642772,228980.17938883
1660953600000,2022-08-20 00:00:00,XRD/BTC,2.86e-06,2.87e-06,2.79e-06,2.82e-06,0.283450372399998,100514.3164539
1660867200000,2022-08-19 00:00:00,XRD/BTC,2.61e-06,2.87e-06,2.61e-06,2.86e-06,2.0167512801798364,705157.79027267
1660780800000,2022-08-18 00:00:00,XRD/BTC,2.63e-06,2.64e-06,2.56e-06,2.61e-06,0.5346833598424223,204859.52484384
1660694400000,2022-08-17 00:00:00,XRD/BTC,2.61e-06,2.66e-06,2.57e-06,2.62e-06,0.4776141390849578,182295.47293319
1660608000000,2022-08-16 00:00:00,XRD/BTC,2.65e-06,2.67e-06,2.6e-06,2.61e-06,0.7222859761807152,276737.92190832
1660521600000,2022-08-15 00:00:00,XRD/BTC,2.67e-06,2.69e-06,2.57e-06,2.65e-06,0.7266963829419936,274225.05016679
1660435200000,2022-08-14 00:00:00,XRD/BTC,2.64e-06,2.68e-06,2.61e-06,2.67e-06,3.376096638917809,1264455.67000667
