https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRV,Volume EUR
1663545600,2022-09-19 00:00:00,CRV/EUR,0.93096,0.93096,0.93096,0.93096,122.59063460,114.126977187216
1663459200,2022-09-18 00:00:00,CRV/EUR,1.06923,1.07345,0.90019,0.94115,73880.49979507,69532.63238213013
1663372800,2022-09-17 00:00:00,CRV/EUR,1.04956,1.08566,1.04413,1.07252,3903.75850060,4186.859067063511
1663286400,2022-09-16 00:00:00,CRV/EUR,1.04303,1.07246,1.02690,1.05558,10971.23604614,11581.017345584462
1663200000,2022-09-15 00:00:00,CRV/EUR,1.06978,1.09082,1.02230,1.04743,30378.52879861,31819.382419528076
1663113600,2022-09-14 00:00:00,CRV/EUR,1.07298,1.12645,1.02896,1.06793,46752.61006785,49928.514869759056
1663027200,2022-09-13 00:00:00,CRV/EUR,1.11108,1.13094,1.04767,1.05452,29114.16157640,30701.465665545325
1662940800,2022-09-12 00:00:00,CRV/EUR,1.15850,1.18770,1.11901,1.13824,43202.80547023,49175.16129843459
1662854400,2022-09-11 00:00:00,CRV/EUR,1.23314,1.23911,1.14970,1.15532,20569.72122421,23764.610324754296
1662768000,2022-09-10 00:00:00,CRV/EUR,1.19148,1.27115,1.16100,1.25080,25401.62046367,31772.346875958432
1662681600,2022-09-09 00:00:00,CRV/EUR,1.12906,1.24230,1.12906,1.19284,59572.88118562,71060.91559345495
1662595200,2022-09-08 00:00:00,CRV/EUR,1.16194,1.16194,1.11447,1.12932,37023.23342702,41811.07797380223
1662508800,2022-09-07 00:00:00,CRV/EUR,1.03804,1.18280,1.03000,1.16612,52411.43186988,61118.01893210447
1662422400,2022-09-06 00:00:00,CRV/EUR,1.16493,1.19999,1.03596,1.04575,74923.04461100,78350.77390195325
1662336000,2022-09-05 00:00:00,CRV/EUR,1.10234,1.15725,1.07216,1.15725,15898.04310955,18398.010388526738
1662249600,2022-09-04 00:00:00,CRV/EUR,1.07262,1.10279,1.05800,1.09563,29713.94677033,32555.491499976662
1662163200,2022-09-03 00:00:00,CRV/EUR,1.10068,1.10102,1.06610,1.07818,49142.69671515,52984.67274434042
1662076800,2022-09-02 00:00:00,CRV/EUR,1.14095,1.17780,1.08924,1.09228,33899.41907191,37027.65746386585
1661990400,2022-09-01 00:00:00,CRV/EUR,1.14842,1.16493,1.07248,1.15615,52077.63355979,60209.55604015121
1661904000,2022-08-31 00:00:00,CRV/EUR,1.06856,1.18153,1.06856,1.13926,54227.48684704,61779.20666535879
1661817600,2022-08-30 00:00:00,CRV/EUR,1.06950,1.11440,1.02151,1.05868,53144.12850092,56262.62596135399
1661731200,2022-08-29 00:00:00,CRV/EUR,0.99801,1.07571,0.98724,1.07113,35347.18811915,37861.433610065134
1661644800,2022-08-28 00:00:00,CRV/EUR,1.04132,1.06136,0.99536,0.99603,34297.01318914,34160.85404677912
1661558400,2022-08-27 00:00:00,CRV/EUR,1.06271,1.06610,1.02419,1.04436,36015.81559810,37613.47717803172
1661472000,2022-08-26 00:00:00,CRV/EUR,1.18021,1.20062,1.05629,1.05693,76248.43658106,80589.26007561974
1661385600,2022-08-25 00:00:00,CRV/EUR,1.19107,1.22824,1.17221,1.18505,26542.70549279,31454.433144230785
1661299200,2022-08-24 00:00:00,CRV/EUR,1.18926,1.22673,1.14475,1.17933,21289.45364878,25107.291371615716
1661212800,2022-08-23 00:00:00,CRV/EUR,1.11710,1.20000,0.86100,1.18909,126992.50351105,151005.51599995446
1661126400,2022-08-22 00:00:00,CRV/EUR,1.02183,1.11122,0.97536,1.11122,62584.02377548,69544.61889978888
1661040000,2022-08-21 00:00:00,CRV/EUR,0.99653,1.04688,0.99038,1.02944,37193.85658040,38288.84371812698
1660953600,2022-08-20 00:00:00,CRV/EUR,1.05063,1.08884,0.96945,0.99552,53103.29651632,52865.393747926886
1660867200,2022-08-19 00:00:00,CRV/EUR,1.10544,1.10572,1.00219,1.05543,164592.24160948,173715.5895618935
1660780800,2022-08-18 00:00:00,CRV/EUR,1.16297,1.19583,1.08289,1.10513,79255.75825474,87587.9161200608
1660694400,2022-08-17 00:00:00,CRV/EUR,1.26465,1.31010,1.14805,1.16427,99027.19443158,115294.39166085565
1660608000,2022-08-16 00:00:00,CRV/EUR,1.31460,1.32032,1.26084,1.26503,39379.68169283,49816.47873188074
1660521600,2022-08-15 00:00:00,CRV/EUR,1.35105,1.42435,1.29083,1.30035,56551.14120365,73536.27646416627
1660435200,2022-08-14 00:00:00,CRV/EUR,1.39821,1.44900,1.33310,1.35712,49729.20864796,67488.50364031948
1660348800,2022-08-13 00:00:00,CRV/EUR,1.38387,1.43335,1.37692,1.39688,53662.17686566,74959.62162010313
1660262400,2022-08-12 00:00:00,CRV/EUR,1.31084,1.38344,1.29694,1.38343,33279.54067590,46039.91495726034
1660176000,2022-08-11 00:00:00,CRV/EUR,1.35000,1.38913,1.31100,1.31129,56708.98374720,74361.9232978659
1660089600,2022-08-10 00:00:00,CRV/EUR,1.25100,1.34622,1.22100,1.34362,138640.34376657,186279.9386916388
1660003200,2022-08-09 00:00:00,CRV/EUR,1.39918,1.39918,1.20592,1.27185,163638.11192895,208123.13265683505
1659916800,2022-08-08 00:00:00,CRV/EUR,1.39132,1.46599,1.37326,1.38833,64390.66069011,89395.48595590043
1659830400,2022-08-07 00:00:00,CRV/EUR,1.34541,1.39913,1.33234,1.37619,23214.84970885,31948.044020822283
1659744000,2022-08-06 00:00:00,CRV/EUR,1.41806,1.42343,1.34365,1.35235,31453.01834577,42535.48935990206
1659657600,2022-08-05 00:00:00,CRV/EUR,1.29735,1.42239,1.29457,1.40686,110265.33431282,155127.88823133396
1659571200,2022-08-04 00:00:00,CRV/EUR,1.31019,1.36738,1.26826,1.29946,72262.55526950,93902.30007050447
1659484800,2022-08-03 00:00:00,CRV/EUR,1.31593,1.40607,1.27448,1.31352,65482.56176029,86012.65452337613
1659398400,2022-08-02 00:00:00,CRV/EUR,1.27299,1.35805,1.19100,1.33089,131077.03522184,174449.11540639462
1659312000,2022-08-01 00:00:00,CRV/EUR,1.28624,1.32869,1.24073,1.27520,51353.94019351,65486.54453476395
1659225600,2022-07-31 00:00:00,CRV/EUR,1.33370,1.39926,1.28100,1.29399,72182.07531897,93402.88364199399
1659139200,2022-07-30 00:00:00,CRV/EUR,1.42109,1.44729,1.31963,1.32599,78639.20555598,104274.80017517394
1659052800,2022-07-29 00:00:00,CRV/EUR,1.51736,1.53108,1.37643,1.40738,112412.97327238,158207.77032408217
1658966400,2022-07-28 00:00:00,CRV/EUR,1.29849,1.55000,1.23266,1.50891,121793.88766941,183776.01504324944
1658880000,2022-07-27 00:00:00,CRV/EUR,1.15342,1.30795,1.11181,1.28886,91799.22078313,118316.34369854492
1658793600,2022-07-26 00:00:00,CRV/EUR,1.15000,1.16635,1.08000,1.15682,51010.70309750,59010.20155724995
1658707200,2022-07-25 00:00:00,CRV/EUR,1.34560,1.35516,1.15000,1.15511,135551.51397876,156576.90931200547
1658620800,2022-07-24 00:00:00,CRV/EUR,1.38035,1.41213,1.33832,1.35029,52641.25207198,71080.95626027387
1658534400,2022-07-23 00:00:00,CRV/EUR,1.41693,1.46487,1.32610,1.36811,54288.08830674,74272.07649333405
1658448000,2022-07-22 00:00:00,CRV/EUR,1.37296,1.51572,1.35269,1.42703,186445.69277628,266063.5969625348
1658361600,2022-07-21 00:00:00,CRV/EUR,1.13558,1.40000,1.08322,1.37606,191190.51900651,263089.62558409816
1658275200,2022-07-20 00:00:00,CRV/EUR,1.21013,1.24811,1.12000,1.14123,75387.09040439,86034.00918220199
1658188800,2022-07-19 00:00:00,CRV/EUR,1.32336,1.35263,1.20607,1.22261,61608.74751522,75323.47079958313
1658102400,2022-07-18 00:00:00,CRV/EUR,1.06980,1.36332,1.06980,1.32141,81396.61622273,107558.30264287764
1658016000,2022-07-17 00:00:00,CRV/EUR,1.16290,1.16936,1.06702,1.06875,35576.37220990,38022.24779933063
1657929600,2022-07-16 00:00:00,CRV/EUR,1.10374,1.18734,1.08076,1.15706,46872.41435533,54234.19575397813
1657843200,2022-07-15 00:00:00,CRV/EUR,1.14571,1.17476,1.08997,1.09682,57349.72830513,62902.32899963268
1657756800,2022-07-14 00:00:00,CRV/EUR,1.03646,1.16719,1.00994,1.16560,84192.67871104,98134.98630558823
1657670400,2022-07-13 00:00:00,CRV/EUR,0.87320,1.04807,0.87000,1.04807,225920.67760593,236780.68457844705
1657584000,2022-07-12 00:00:00,CRV/EUR,0.87550,0.91506,0.87272,0.87272,73940.12091440,64529.02232441517
1657497600,2022-07-11 00:00:00,CRV/EUR,0.93167,0.93167,0.87914,0.87914,65753.84867422,57806.83852345378
1657411200,2022-07-10 00:00:00,CRV/EUR,0.99587,0.99977,0.93269,0.93387,49028.83485098,45786.55800228469
1657324800,2022-07-09 00:00:00,CRV/EUR,1.00534,1.03352,0.99289,0.99602,43645.13924779,43471.431593583795
1657238400,2022-07-08 00:00:00,CRV/EUR,1.02393,1.04331,0.97431,1.00383,54875.89309153,55086.06776207056
1657152000,2022-07-07 00:00:00,CRV/EUR,0.94718,1.04208,0.91974,1.04208,59622.76818735,62131.69427267368
1657065600,2022-07-06 00:00:00,CRV/EUR,0.93811,0.98471,0.90154,0.94377,109217.95647437,103076.63078181617
1656979200,2022-07-05 00:00:00,CRV/EUR,0.82843,0.98389,0.80349,0.94045,133833.33326636,125863.55827034825
1656892800,2022-07-04 00:00:00,CRV/EUR,0.75707,0.84598,0.74527,0.81710,113697.34647468,92902.10180446104
1656806400,2022-07-03 00:00:00,CRV/EUR,0.75130,0.78518,0.72393,0.76427,46661.36493192,35661.8813765185
