https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/GBP,1167.70756217,1181.4407484,1165.820985,1181.4407484,64753.48228400111,54.80891223
1663459200000,2022-09-18 00:00:00,ETH/GBP,1287.7,1287.7,1160.8101267,1169.4236075,1903260.170996454,1627.51988141
1663372800000,2022-09-17 00:00:00,ETH/GBP,1254.6,1290.7,1222.641147,1287.6,24499116.948490474,19026.96252601
1663286400000,2022-09-16 00:00:00,ETH/GBP,1286.8,1299.0,1234.585812,1255.2,16323752.41187832,13004.9015391
1663200000000,2022-09-15 00:00:00,ETH/GBP,1411.6542885,1437.2,1272.6,1285.318932,13637941.988777932,10610.55092961
1663113600000,2022-09-14 00:00:00,ETH/GBP,1366.2406361,1431.2,1352.0,1414.6157165,4793944.960179048,3388.86731164
1663027200000,2022-09-13 00:00:00,ETH/GBP,1468.86855245,1503.71840225,1360.408485,1368.68548085,14469686.18162023,10571.95855737
1662940800000,2022-09-12 00:00:00,ETH/GBP,1520.2,1534.1,1447.919523,1468.9,3068844.3983194767,2089.2126069299998
1662854400000,2022-09-11 00:00:00,ETH/GBP,1531.7,1539.6092695,1479.5,1519.9,2249510.3464683644,1480.03838836
1662768000000,2022-09-10 00:00:00,ETH/GBP,1482.8,1541.7,1472.4,1530.7,1686795.5632362932,1101.97658799
1662681600000,2022-09-09 00:00:00,ETH/GBP,1417.5956034,1512.9,1413.9461455,1482.459001,6933327.925873329,4676.9104044
1662595200000,2022-09-08 00:00:00,ETH/GBP,1415.2,1444.6,1388.0,1420.53625235,14510714.967478275,10214.95575595
1662508800000,2022-09-07 00:00:00,ETH/GBP,1354.424667,1436.3659945,1300.1973615,1413.91949014,5812656.651523837,4111.02378322
1662422400000,2022-09-06 00:00:00,ETH/GBP,1400.0,1456.7,1349.3209053,1352.94803881,11338778.266956117,8380.7936016
1662336000000,2022-09-05 00:00:00,ETH/GBP,1377.9,1408.95807752,1352.8,1398.3,2324641.132666914,1662.47667358
1662249600000,2022-09-04 00:00:00,ETH/GBP,1351.7,1376.1,1340.7,1374.74748048,2087589.4542592599,1518.52575393
1662163200000,2022-09-03 00:00:00,ETH/GBP,1367.246297,1375.239349,1331.1,1353.779742,1206940.2082191156,891.5336599999999
