https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume BTC
1659139200,2022-07-30 00:00:00,LSK/BTC,3.522e-05,3.641e-05,3.388e-05,3.471e-05,0.01085033,309.64133941
1659052800,2022-07-29 00:00:00,LSK/BTC,3.469e-05,3.522e-05,3.422e-05,3.522e-05,0.00162423,46.65998671
1658966400,2022-07-28 00:00:00,LSK/BTC,3.531e-05,3.579e-05,3.445e-05,3.445e-05,0.00354629,100.65389507
1658880000,2022-07-27 00:00:00,LSK/BTC,3.501e-05,3.577e-05,3.404e-05,3.546e-05,0.00464676,132.90046479
1658793600,2022-07-26 00:00:00,LSK/BTC,3.497e-05,3.497e-05,3.448e-05,3.477e-05,0.00103697,29.85964462
1658707200,2022-07-25 00:00:00,LSK/BTC,3.502e-05,3.503e-05,3.452e-05,3.487e-05,0.00153549,44.13599666
1658620800,2022-07-24 00:00:00,LSK/BTC,3.472e-05,3.498e-05,3.453e-05,3.498e-05,0.00290984,83.72271163
1658534400,2022-07-23 00:00:00,LSK/BTC,3.504e-05,3.589e-05,3.328e-05,3.496e-05,0.01626364,472.58579452
1658448000,2022-07-22 00:00:00,LSK/BTC,3.637e-05,3.653e-05,3.394e-05,3.504e-05,0.02671589,758.64885705
1658361600,2022-07-21 00:00:00,LSK/BTC,3.601e-05,3.637e-05,3.565e-05,3.637e-05,0.00464393,128.06629608
1658275200,2022-07-20 00:00:00,LSK/BTC,3.62e-05,3.635e-05,3.551e-05,3.589e-05,0.00370202,102.90502341
1658188800,2022-07-19 00:00:00,LSK/BTC,3.986e-05,3.986e-05,3.521e-05,3.62e-05,0.04163578,1105.5348491
1658102400,2022-07-18 00:00:00,LSK/BTC,2.945e-05,4.3e-05,2.85e-05,3.966e-05,0.27714814,7598.0300962
1658016000,2022-07-17 00:00:00,LSK/BTC,2.901e-05,2.945e-05,2.901e-05,2.945e-05,0.00139492,47.69952817
1657929600,2022-07-16 00:00:00,LSK/BTC,2.982e-05,3.002e-05,2.851e-05,2.886e-05,0.00810931,276.88319602
1657843200,2022-07-15 00:00:00,LSK/BTC,3.074e-05,3.117e-05,2.982e-05,2.982e-05,0.00895021,291.33425688
1657756800,2022-07-14 00:00:00,LSK/BTC,3.099e-05,3.099e-05,2.965e-05,3.057e-05,0.0099903,329.44641498
1657670400,2022-07-13 00:00:00,LSK/BTC,2.979e-05,3.121e-05,2.957e-05,3.099e-05,0.00743864,242.88859799
1657584000,2022-07-12 00:00:00,LSK/BTC,3.254e-05,3.26e-05,2.727e-05,2.98e-05,0.23830568,8157.17933004
1657497600,2022-07-11 00:00:00,LSK/BTC,3.336e-05,3.437e-05,3.233e-05,3.254e-05,0.01253685,378.2648664
1657411200,2022-07-10 00:00:00,LSK/BTC,3.482e-05,3.482e-05,3.305e-05,3.328e-05,0.01143079,340.62714777
1657324800,2022-07-09 00:00:00,LSK/BTC,3.519e-05,3.519e-05,3.343e-05,3.482e-05,0.00759584,221.97749237
1657238400,2022-07-08 00:00:00,LSK/BTC,3.375e-05,3.598e-05,3.367e-05,3.525e-05,0.00785143,225.23725902
1657152000,2022-07-07 00:00:00,LSK/BTC,3.369e-05,3.401e-05,3.359e-05,3.375e-05,0.00158784,46.99406084
1657065600,2022-07-06 00:00:00,LSK/BTC,3.496e-05,3.528e-05,3.37e-05,3.391e-05,0.00424601,123.24845269
1656979200,2022-07-05 00:00:00,LSK/BTC,3.64e-05,3.701e-05,3.263e-05,3.473e-05,0.03243046,922.04883297
1656892800,2022-07-04 00:00:00,LSK/BTC,3.699e-05,3.701e-05,3.629e-05,3.629e-05,0.01412636,386.15624973
1656806400,2022-07-03 00:00:00,LSK/BTC,3.957e-05,3.957e-05,3.676e-05,3.676e-05,0.02621472,676.63929498
1656720000,2022-07-02 00:00:00,LSK/BTC,3.896e-05,3.957e-05,3.896e-05,3.957e-05,0.01786832,451.79777771
1656633600,2022-07-01 00:00:00,LSK/BTC,3.959e-05,4.001e-05,3.842e-05,3.896e-05,0.004576,117.11166363
1656547200,2022-06-30 00:00:00,LSK/BTC,3.846e-05,4.024e-05,3.846e-05,3.969e-05,0.0045494,115.54006579
1656460800,2022-06-29 00:00:00,LSK/BTC,3.766e-05,3.862e-05,3.741e-05,3.818e-05,0.00393792,103.90967604
1656374400,2022-06-28 00:00:00,LSK/BTC,3.976e-05,4.1e-05,3.7e-05,3.788e-05,0.0733193,1881.69442953
1656288000,2022-06-27 00:00:00,LSK/BTC,3.83e-05,4.008e-05,3.733e-05,3.976e-05,0.0160077,411.56089759
1656201600,2022-06-26 00:00:00,LSK/BTC,3.315e-05,3.895e-05,3.314e-05,3.83e-05,0.03566125,1008.0838335
1656115200,2022-06-25 00:00:00,LSK/BTC,3.646e-05,3.647e-05,3.289e-05,3.345e-05,0.01583357,453.1774922
1656028800,2022-06-24 00:00:00,LSK/BTC,4.364e-05,4.364e-05,3.44e-05,3.645e-05,0.04731387,1240.14371387
1655942400,2022-06-23 00:00:00,LSK/BTC,3.675e-05,4.425e-05,3.559e-05,4.364e-05,0.06358457,1659.38965983
1655856000,2022-06-22 00:00:00,LSK/BTC,3.628e-05,3.887e-05,3.617e-05,3.675e-05,0.07240163,1909.06963842
1655769600,2022-06-21 00:00:00,LSK/BTC,3.745e-05,3.745e-05,3.56e-05,3.615e-05,0.00845373,234.32335483
1655683200,2022-06-20 00:00:00,LSK/BTC,3.915e-05,4.021e-05,3.654e-05,3.762e-05,0.00886717,229.8759595
1655596800,2022-06-19 00:00:00,LSK/BTC,3.88e-05,3.951e-05,3.643e-05,3.88e-05,0.01070591,283.1105829
1655510400,2022-06-18 00:00:00,LSK/BTC,3.739e-05,4.116e-05,3.739e-05,3.864e-05,0.01394123,352.61553206
1655424000,2022-06-17 00:00:00,LSK/BTC,3.92e-05,3.953e-05,3.679e-05,3.739e-05,0.00882531,233.36784191
1655337600,2022-06-16 00:00:00,LSK/BTC,3.575e-05,4.095e-05,3.575e-05,3.92e-05,0.02766885,719.4535786
1655251200,2022-06-15 00:00:00,LSK/BTC,3.43e-05,3.709e-05,3.43e-05,3.575e-05,0.02544066,709.4943255
1655164800,2022-06-14 00:00:00,LSK/BTC,3.399e-05,3.43e-05,3.371e-05,3.43e-05,0.00206572,60.91465278
1655078400,2022-06-13 00:00:00,LSK/BTC,3.827e-05,3.932e-05,3.399e-05,3.44e-05,0.04310562,1199.73918193
1654992000,2022-06-12 00:00:00,LSK/BTC,3.62e-05,3.902e-05,3.62e-05,3.827e-05,0.02142953,565.9794244
1654905600,2022-06-11 00:00:00,LSK/BTC,3.622e-05,3.622e-05,3.587e-05,3.587e-05,0.00020551,5.7009235
1654819200,2022-06-10 00:00:00,LSK/BTC,3.625e-05,3.625e-05,3.586e-05,3.622e-05,0.00082661,22.89458242
1654732800,2022-06-09 00:00:00,LSK/BTC,3.666e-05,3.666e-05,3.581e-05,3.586e-05,0.00232754,64.31068358
1654646400,2022-06-08 00:00:00,LSK/BTC,3.666e-05,3.695e-05,3.538e-05,3.695e-05,0.03432177,960.50239166
1654560000,2022-06-07 00:00:00,LSK/BTC,3.858e-05,3.932e-05,3.634e-05,3.634e-05,0.0103425,272.08349197
1654473600,2022-06-06 00:00:00,LSK/BTC,4.004e-05,4.004e-05,3.83e-05,3.83e-05,0.00406642,103.60600886
1654387200,2022-06-05 00:00:00,LSK/BTC,3.634e-05,4.044e-05,3.634e-05,4.004e-05,0.02245063,574.34631579
1654300800,2022-06-04 00:00:00,LSK/BTC,3.643e-05,3.643e-05,3.6e-05,3.6e-05,0.02141211,594.5581774
1654214400,2022-06-03 00:00:00,LSK/BTC,3.644e-05,3.714e-05,3.601e-05,3.638e-05,0.00613948,166.15638063
1654128000,2022-06-02 00:00:00,LSK/BTC,3.606e-05,3.644e-05,3.6e-05,3.644e-05,0.00628438,174.39170054
1654041600,2022-06-01 00:00:00,LSK/BTC,3.635e-05,3.64e-05,3.601e-05,3.64e-05,0.00147759,40.87854158
1653955200,2022-05-31 00:00:00,LSK/BTC,3.714e-05,3.714e-05,3.601e-05,3.601e-05,0.0030935,84.73354871
1653868800,2022-05-30 00:00:00,LSK/BTC,3.552e-05,3.762e-05,3.552e-05,3.714e-05,0.01013606,279.79747995
