https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOTA,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,IOTA/USDT,0.25170000,0.25250000,0.25110000,0.25150000,131857.00000000,33201.73820000,186
1663459200000,2022-09-18 00:00:00,IOTA/USDT,0.27040000,0.27180000,0.24460000,0.25170000,13501529.00000000,3487803.94660000,16210
1663372800000,2022-09-17 00:00:00,IOTA/USDT,0.26260000,0.27120000,0.26240000,0.27040000,5067950.00000000,1350366.15960000,7828
1663286400000,2022-09-16 00:00:00,IOTA/USDT,0.26240000,0.26440000,0.25570000,0.26260000,13115443.00000000,3414019.57200000,17215
1663200000000,2022-09-15 00:00:00,IOTA/USDT,0.27130000,0.27250000,0.25780000,0.26220000,15961433.00000000,4229195.03820000,20407
1663113600000,2022-09-14 00:00:00,IOTA/USDT,0.26780000,0.27370000,0.26460000,0.27190000,10840513.00000000,2925348.47230000,15054
1663027200000,2022-09-13 00:00:00,IOTA/USDT,0.29190000,0.29360000,0.26700000,0.26790000,18237549.00000000,5138287.91950000,24908
1662940800000,2022-09-12 00:00:00,IOTA/USDT,0.29230000,0.29970000,0.28720000,0.29170000,13865818.00000000,4071893.04630000,20817
1662854400000,2022-09-11 00:00:00,IOTA/USDT,0.29500000,0.29780000,0.28640000,0.29230000,8388078.00000000,2451504.40770000,12022
1662768000000,2022-09-10 00:00:00,IOTA/USDT,0.29220000,0.30020000,0.29040000,0.29490000,10272441.00000000,3028374.58610000,15448
1662681600000,2022-09-09 00:00:00,IOTA/USDT,0.27970000,0.29690000,0.27830000,0.29220000,11753191.00000000,3405938.85250000,18084
1662595200000,2022-09-08 00:00:00,IOTA/USDT,0.27620000,0.28220000,0.26850000,0.27940000,11953974.00000000,3276564.95470000,16001
1662508800000,2022-09-07 00:00:00,IOTA/USDT,0.25950000,0.27960000,0.25540000,0.27620000,9188616.00000000,2453422.69130000,12552
1662422400000,2022-09-06 00:00:00,IOTA/USDT,0.28230000,0.28820000,0.25900000,0.25930000,15369565.00000000,4223044.39970000,20058
1662336000000,2022-09-05 00:00:00,IOTA/USDT,0.29060000,0.29360000,0.27860000,0.28220000,7471522.00000000,2110943.07110000,11838
1662249600000,2022-09-04 00:00:00,IOTA/USDT,0.28050000,0.29450000,0.28050000,0.29080000,8026497.00000000,2322940.70080000,13566
1662163200000,2022-09-03 00:00:00,IOTA/USDT,0.28100000,0.28270000,0.27690000,0.28040000,2976798.00000000,833052.29700000,4551
1662076800000,2022-09-02 00:00:00,IOTA/USDT,0.28430000,0.28770000,0.27730000,0.28100000,7440472.00000000,2101974.82940000,10757
1661990400000,2022-09-01 00:00:00,IOTA/USDT,0.28100000,0.28430000,0.27420000,0.28420000,7341484.00000000,2053423.08540000,11703
1661904000000,2022-08-31 00:00:00,IOTA/USDT,0.28810000,0.29680000,0.27910000,0.28090000,14329576.00000000,4124697.61630000,22304
1661817600000,2022-08-30 00:00:00,IOTA/USDT,0.29090000,0.29640000,0.28080000,0.28790000,10390767.00000000,3002870.08600000,15481
1661731200000,2022-08-29 00:00:00,IOTA/USDT,0.27330000,0.29220000,0.26950000,0.29100000,7999716.00000000,2246711.79480000,12230
1661644800000,2022-08-28 00:00:00,IOTA/USDT,0.27990000,0.28540000,0.27200000,0.27310000,4879798.00000000,1365991.77780000,7972
1661558400000,2022-08-27 00:00:00,IOTA/USDT,0.27920000,0.28200000,0.27280000,0.27960000,7696381.00000000,2141503.81300000,10116
1661472000000,2022-08-26 00:00:00,IOTA/USDT,0.30520000,0.30850000,0.27620000,0.27920000,15981946.00000000,4712556.88540000,23014
1661385600000,2022-08-25 00:00:00,IOTA/USDT,0.29830000,0.30710000,0.29800000,0.30560000,7387556.00000000,2233688.58580000,11310
