https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNB,Volume USDT
1663459200,2022-09-18 00:00:00,UNB/USDT,0.001809,0.001809,0.001807,0.001807,459683.0081,830.7241133799
1663372800,2022-09-17 00:00:00,UNB/USDT,0.001668,0.00181,0.001589,0.001809,22455030.5658,37477.0817794387
1663286400,2022-09-16 00:00:00,UNB/USDT,0.001928,0.001938,0.001654,0.00167,24830439.3845,44012.1199075306
1663200000,2022-09-15 00:00:00,UNB/USDT,0.00187,0.00198,0.00179,0.001933,35885472.5249,66820.5403757216
1663113600,2022-09-14 00:00:00,UNB/USDT,0.00199,0.002038,0.001838,0.00187,29307002.6136,57170.9596970975
1663027200,2022-09-13 00:00:00,UNB/USDT,0.002085,0.00228,0.001809,0.001992,51920815.8106,103851.480727174
1662940800,2022-09-12 00:00:00,UNB/USDT,0.002142,0.002261,0.001973,0.002089,40341989.2049,84354.0671947084
1662854400,2022-09-11 00:00:00,UNB/USDT,0.001865,0.002379,0.001791,0.002141,88544306.818,187237.6561898168
1662768000,2022-09-10 00:00:00,UNB/USDT,0.001763,0.001906,0.001763,0.001879,24259471.961,44407.7977762482
1662681600,2022-09-09 00:00:00,UNB/USDT,0.001757,0.00183,0.00171,0.001762,20653829.8202,36715.2771801694
1662595200,2022-09-08 00:00:00,UNB/USDT,0.001745,0.001857,0.00173,0.001753,30845231.6822,54982.3465549458
1662508800,2022-09-07 00:00:00,UNB/USDT,0.00172,0.001764,0.001603,0.00173,23895241.3231,40256.8658269104
1662422400,2022-09-06 00:00:00,UNB/USDT,0.001827,0.001865,0.001719,0.00172,11886510.4717,21340.1544467702
1662336000,2022-09-05 00:00:00,UNB/USDT,0.001726,0.001832,0.001716,0.001814,8678685.1275,15350.7309322652
1662249600,2022-09-04 00:00:00,UNB/USDT,0.001735,0.001751,0.001726,0.001726,2217155.818,3851.5296622805
1662163200,2022-09-03 00:00:00,UNB/USDT,0.001725,0.001758,0.001711,0.00175,5406682.7522,9407.1265760852
1662076800,2022-09-02 00:00:00,UNB/USDT,0.001774,0.001787,0.001697,0.001711,6887872.7343,11976.5671241777
1661990400,2022-09-01 00:00:00,UNB/USDT,0.001663,0.001825,0.00166,0.001787,24785748.1742,43294.4114815172
1661904000,2022-08-31 00:00:00,UNB/USDT,0.001756,0.001764,0.001655,0.001672,11547695.4233,19778.820101316
1661817600,2022-08-30 00:00:00,UNB/USDT,0.00177,0.001923,0.001674,0.001751,62457151.8186,111931.1338299623
1661731200,2022-08-29 00:00:00,UNB/USDT,0.001725,0.001769,0.001649,0.001769,13339596.5735,22731.8356909135
1661644800,2022-08-28 00:00:00,UNB/USDT,0.001755,0.001766,0.001724,0.001724,4898423.9123,8567.6846119973
1661558400,2022-08-27 00:00:00,UNB/USDT,0.001891,0.001902,0.001734,0.001764,30827990.2507,55469.3665162016
1661472000,2022-08-26 00:00:00,UNB/USDT,0.002048,0.002156,0.001869,0.001891,27237605.4578,55344.7821375278
1661385600,2022-08-25 00:00:00,UNB/USDT,0.001809,0.002086,0.001809,0.002062,59320193.1786,118927.3430639646
1661299200,2022-08-24 00:00:00,UNB/USDT,0.001804,0.001874,0.001793,0.001809,22519468.6983,41093.0707926827
1661212800,2022-08-23 00:00:00,UNB/USDT,0.001795,0.002099,0.001777,0.00179,111776470.5499,214676.5986791463
1661126400,2022-08-22 00:00:00,UNB/USDT,0.001728,0.001891,0.001686,0.001782,25710106.5261,45845.0071765858
1661040000,2022-08-21 00:00:00,UNB/USDT,0.001633,0.001866,0.00161,0.00173,10302980.624,17529.8258842541
1660953600,2022-08-20 00:00:00,UNB/USDT,0.001557,0.001671,0.00153,0.001618,12461606.6647,20116.3547324876
