https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FLY,Volume USDT
1663459200,2022-09-18 00:00:00,FLY/USDT,0.00236,0.00237,0.00235,0.002354,21003921.5292,49527.2052900222
1663372800,2022-09-17 00:00:00,FLY/USDT,0.00237,0.002688,0.002192,0.002361,741494933.7343,1745070.0463560616
1663286400,2022-09-16 00:00:00,FLY/USDT,0.002424,0.002431,0.002179,0.002378,620008015.0518,1427078.2868180114
1663200000,2022-09-15 00:00:00,FLY/USDT,0.002601,0.003,0.002288,0.002415,817646693.5088,2090610.6129121529
1663113600,2022-09-14 00:00:00,FLY/USDT,0.002087,0.00347,0.002065,0.002606,1192336531.8302,3038801.4603404373
1663027200,2022-09-13 00:00:00,FLY/USDT,0.002462,0.002507,0.002058,0.00208,688835184.1743,1554004.884422897
1662940800,2022-09-12 00:00:00,FLY/USDT,0.00289,0.002905,0.002349,0.002463,699364923.3342,1836874.3593222539
1662854400,2022-09-11 00:00:00,FLY/USDT,0.003189,0.003723,0.002814,0.00289,928905685.266,2910715.9238129838
1662768000,2022-09-10 00:00:00,FLY/USDT,0.002151,0.004481,0.002017,0.003186,1613975091.1521,4885055.0728308293
1662681600,2022-09-09 00:00:00,FLY/USDT,0.002833,0.002907,0.002,0.002146,888757149.5674,2160045.473691881
1662595200,2022-09-08 00:00:00,FLY/USDT,0.004223,0.004223,0.0023,0.002805,1360131858.4676,4469200.8634973538
1662508800,2022-09-07 00:00:00,FLY/USDT,0.000535,0.008781,0.0005,0.004221,4961065997.5883595,15425405.19049206947283
1662422400,2022-09-06 00:00:00,FLY/USDT,0.000485,0.000668,0.000432,0.00053,862655723.1675,427482.9014073135
1662336000,2022-09-05 00:00:00,FLY/USDT,0.000518,0.000574,0.000466,0.000485,1078459021.1015,548163.5332642991
1662249600,2022-09-04 00:00:00,FLY/USDT,0.000405,0.001111,0.000403,0.000518,1795072054.9569687,929761.9973640390897
1662163200,2022-09-03 00:00:00,FLY/USDT,0.000327,0.000478,0.000323,0.000403,761095139.9542,286158.6773174038
1662076800,2022-09-02 00:00:00,FLY/USDT,0.00036,0.000389,0.000322,0.000327,398917893.2565,133127.1388995975
1661990400,2022-09-01 00:00:00,FLY/USDT,0.00038,0.00038,0.000357,0.00036,32385752.7941,11793.6800040879
1661904000,2022-08-31 00:00:00,FLY/USDT,0.000381,0.000383,0.000377,0.000378,28170812.3513,10705.5457594517
1661817600,2022-08-30 00:00:00,FLY/USDT,0.000403,0.000433,0.000373,0.00038,123983427.8496,50233.2852241238
1661731200,2022-08-29 00:00:00,FLY/USDT,0.000395,0.000404,0.000393,0.000404,37102842.4124,14784.290458955
1661644800,2022-08-28 00:00:00,FLY/USDT,0.000398,0.000399,0.000391,0.000399,28604344.0126,11327.9532859569
1661558400,2022-08-27 00:00:00,FLY/USDT,0.000417,0.000448,0.000371,0.000393,31025692.5049,12291.5022707451
1661472000,2022-08-26 00:00:00,FLY/USDT,0.000469,0.000479,0.000409,0.000422,42457133.4223,18540.737009034
1661385600,2022-08-25 00:00:00,FLY/USDT,0.000503,0.000506,0.000444,0.000469,35479112.6815,16917.9929170628
1661299200,2022-08-24 00:00:00,FLY/USDT,0.000567,0.000584,0.000473,0.000505,87180436.0714,44441.2544062698
1661212800,2022-08-23 00:00:00,FLY/USDT,0.000554,0.000578,0.000554,0.000567,5542559.1199,3128.6426569867
1661126400,2022-08-22 00:00:00,FLY/USDT,0.000573,0.000573,0.000554,0.000554,1730031.2147,983.0557276747
1661040000,2022-08-21 00:00:00,FLY/USDT,0.000562,0.000587,0.000548,0.000568,12387446.516,6925.5039731295
1660953600,2022-08-20 00:00:00,FLY/USDT,0.000554,0.000577,0.000533,0.000567,10839780.6787,6058.5715839296
1660867200,2022-08-19 00:00:00,FLY/USDT,0.000603,0.00061,0.00054,0.000554,26723485.3964,15149.8955217005
1660780800,2022-08-18 00:00:00,FLY/USDT,0.000599,0.00067,0.000583,0.000604,27093269.5823,16702.9405733746
1660694400,2022-08-17 00:00:00,FLY/USDT,0.000609,0.000626,0.000584,0.00059,16263770.2265,9816.283836637
