https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BUX,Volume USDT
1663459200,2022-09-18 00:00:00,BUX/USDT,0.1712,0.1712,0.1712,0.1712,95.4728,16.34494336
1663372800,2022-09-17 00:00:00,BUX/USDT,0.1695,0.1731,0.1684,0.1716,16503.6904,2815.76431135
1663286400,2022-09-16 00:00:00,BUX/USDT,0.1669,0.1713,0.1626,0.1676,23900.7159,3991.36559937
1663200000,2022-09-15 00:00:00,BUX/USDT,0.1755,0.1772,0.1638,0.1653,101764.0528,17175.30393141
1663113600,2022-09-14 00:00:00,BUX/USDT,0.169,0.1801,0.169,0.177,60138.5033,10476.95802996
1663027200,2022-09-13 00:00:00,BUX/USDT,0.1857,0.1857,0.1669,0.1698,90145.5828,16123.89744997
1662940800,2022-09-12 00:00:00,BUX/USDT,0.1846,0.1969,0.1815,0.1867,125386.3771,23496.98184264
1662854400,2022-09-11 00:00:00,BUX/USDT,0.184,0.1852,0.1815,0.1841,30519.7225,5569.61613472
1662768000,2022-09-10 00:00:00,BUX/USDT,0.185,0.1878,0.1815,0.1852,23226.9316,4273.69844084
1662681600,2022-09-09 00:00:00,BUX/USDT,0.171,0.192,0.171,0.1853,130723.5506,23698.1928811
1662595200,2022-09-08 00:00:00,BUX/USDT,0.1678,0.1765,0.1633,0.1712,78797.6629,13370.93113584
1662508800,2022-09-07 00:00:00,BUX/USDT,0.1561,0.171,0.1536,0.169,96069.0732,15670.28460684
1662422400,2022-09-06 00:00:00,BUX/USDT,0.1664,0.1702,0.1502,0.1553,89432.3469,14564.79499236
1662336000,2022-09-05 00:00:00,BUX/USDT,0.1686,0.1728,0.1615,0.1645,40443.6598,6732.8108759
1662249600,2022-09-04 00:00:00,BUX/USDT,0.1584,0.1717,0.1561,0.168,51787.2613,8533.72200883
1662163200,2022-09-03 00:00:00,BUX/USDT,0.1575,0.1611,0.1555,0.1595,22124.7217,3520.43998894
1662076800,2022-09-02 00:00:00,BUX/USDT,0.161,0.1699,0.1541,0.1586,86280.0587,13939.7588389
1661990400,2022-09-01 00:00:00,BUX/USDT,0.1639,0.1644,0.1589,0.1607,37899.7339,6112.82459241
1661904000,2022-08-31 00:00:00,BUX/USDT,0.1598,0.1683,0.1567,0.161,60162.029,9677.85033933
1661817600,2022-08-30 00:00:00,BUX/USDT,0.1587,0.1624,0.1542,0.1593,69417.7217,10942.96583657
1661731200,2022-08-29 00:00:00,BUX/USDT,0.1572,0.1628,0.156,0.157,58558.5958,9332.94790867
1661644800,2022-08-28 00:00:00,BUX/USDT,0.1596,0.1648,0.157,0.157,30175.5555,4890.97686946
1661558400,2022-08-27 00:00:00,BUX/USDT,0.1577,0.1631,0.156,0.1581,70459.4936,11155.70516983
1661472000,2022-08-26 00:00:00,BUX/USDT,0.1729,0.1729,0.1563,0.1577,126259.3468,21093.06632139
1661385600,2022-08-25 00:00:00,BUX/USDT,0.1612,0.1782,0.1602,0.1744,180472.4936,30734.89405794
1661299200,2022-08-24 00:00:00,BUX/USDT,0.1749,0.1776,0.1488,0.1605,389708.5002,63056.32965675
1661212800,2022-08-23 00:00:00,BUX/USDT,0.1762,0.1773,0.1613,0.1755,190814.2435,32600.69448915
1661126400,2022-08-22 00:00:00,BUX/USDT,0.1567,0.1937,0.1567,0.1763,1089517.0525,190328.42871505
1661040000,2022-08-21 00:00:00,BUX/USDT,0.1577,0.1606,0.1552,0.1583,42405.4576,6706.37574994
1660953600,2022-08-20 00:00:00,BUX/USDT,0.1647,0.1712,0.156,0.156,121031.1692,19807.04413708
1660867200,2022-08-19 00:00:00,BUX/USDT,0.1956,0.2077,0.164,0.1652,796774.2747,144576.6692077
1660780800,2022-08-18 00:00:00,BUX/USDT,0.1532,0.22,0.1518,0.1961,1417900.5154,265175.54254558
1660694400,2022-08-17 00:00:00,BUX/USDT,0.1672,0.1672,0.1519,0.1532,163873.6161,25942.00683816
1660608000,2022-08-16 00:00:00,BUX/USDT,0.1387,0.18,0.1387,0.1672,742860.411,115915.68750613
1660521600,2022-08-15 00:00:00,BUX/USDT,0.1369,0.141,0.1333,0.1383,77736.9421,10667.62428193
1660435200,2022-08-14 00:00:00,BUX/USDT,0.1366,0.139,0.136,0.1375,41394.3828,5699.8291955
1660348800,2022-08-13 00:00:00,BUX/USDT,0.1352,0.1389,0.1348,0.1365,16338.4707,2222.53146776
1660262400,2022-08-12 00:00:00,BUX/USDT,0.1345,0.1375,0.1318,0.1344,65597.9225,8838.77293872
1660176000,2022-08-11 00:00:00,BUX/USDT,0.1357,0.1397,0.1335,0.1348,126259.3327,17280.20796487
