https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BIFI,Volume USDT
1663459200,2022-09-18 00:00:00,BIFI/USDT,0.00828,0.0083,0.00826,0.00827,84746.882,701.75553724
1663372800,2022-09-17 00:00:00,BIFI/USDT,0.00813,0.00913,0.00792,0.00829,2106270.7574,17413.186346589
1663286400,2022-09-16 00:00:00,BIFI/USDT,0.00869,0.00904,0.00812,0.00815,3025184.2307,25458.865732848
1663200000,2022-09-15 00:00:00,BIFI/USDT,0.00949,0.0095,0.00869,0.0087,2055826.9548,18885.263875211
1663113600,2022-09-14 00:00:00,BIFI/USDT,0.0092,0.00962,0.00894,0.00948,2171234.8384,19832.485256608
1663027200,2022-09-13 00:00:00,BIFI/USDT,0.00964,0.00987,0.00902,0.00918,2461397.364,23250.884625554
1662940800,2022-09-12 00:00:00,BIFI/USDT,0.00967,0.01008,0.00935,0.00964,2770747.3384,26914.702820983
1662854400,2022-09-11 00:00:00,BIFI/USDT,0.00982,0.0102,0.00951,0.00966,2980609.6752,28982.977175792
1662768000,2022-09-10 00:00:00,BIFI/USDT,0.00954,0.01027,0.00952,0.00984,2534709.6004,24646.043294859
1662681600,2022-09-09 00:00:00,BIFI/USDT,0.00978,0.0098,0.00932,0.00955,2864875.7282,27553.559498494
1662595200,2022-09-08 00:00:00,BIFI/USDT,0.00936,0.01036,0.00902,0.00978,2750535.8109,26278.961248156
1662508800,2022-09-07 00:00:00,BIFI/USDT,0.00905,0.0094,0.0088,0.00935,2715505.2529,24539.401543569
1662422400,2022-09-06 00:00:00,BIFI/USDT,0.00919,0.00997,0.00894,0.00908,2815834.7979,26414.828529458
1662336000,2022-09-05 00:00:00,BIFI/USDT,0.00913,0.00941,0.009,0.00914,2305059.444,21186.33637977
1662249600,2022-09-04 00:00:00,BIFI/USDT,0.00921,0.01005,0.00903,0.00915,4653731.939,43650.365034715
1662163200,2022-09-03 00:00:00,BIFI/USDT,0.00979,0.01057,0.0089,0.00923,14820559.8874,141919.562825706
1662076800,2022-09-02 00:00:00,BIFI/USDT,0.00929,0.0136,0.00929,0.0098,5423286.2644,56705.157605567
1661990400,2022-09-01 00:00:00,BIFI/USDT,0.00923,0.00929,0.0089,0.00928,1281207.4981,11681.683978357
1661904000,2022-08-31 00:00:00,BIFI/USDT,0.00913,0.00955,0.00891,0.00924,1873038.6784,17249.602475744
