https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNBBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BNBBULL/USDT,15.275,15.405,15.275,15.35,0.060000000000000005,0.921
1663459200000.0,2022-09-18 00:00:00,BNBBULL/USDT,17.69,17.9,14.905,15.275,367.88456301145663,5619.4367
1663372800000.0,2022-09-17 00:00:00,BNBBULL/USDT,16.94,17.835,16.94,17.69,59.56254663651781,1053.66145
1663286400000.0,2022-09-16 00:00:00,BNBBULL/USDT,16.225,17.2,15.86,16.94,68.13453659976386,1154.19905
1663200000000.0,2022-09-15 00:00:00,BNBBULL/USDT,17.92,18.0,15.55,16.225,482.17740832049304,7823.32845
1663113600000.0,2022-09-14 00:00:00,BNBBULL/USDT,17.53,18.415,16.905,17.92,1679.0093498883925,30087.84755
1663027200000.0,2022-09-13 00:00:00,BNBBULL/USDT,20.99,21.92,17.15,17.53,1720.0485111237879,30152.4504
1662940800000.0,2022-09-12 00:00:00,BNBBULL/USDT,21.255,22.295,20.395,20.99,173.7803549309195,3647.64965
1662854400000.0,2022-09-11 00:00:00,BNBBULL/USDT,21.63,21.885,20.425,21.255,92.00253116913667,1955.5138
1662768000000.0,2022-09-10 00:00:00,BNBBULL/USDT,21.045,22.015,20.43,21.63,3706.965753582987,80181.66925
1662681600000.0,2022-09-09 00:00:00,BNBBULL/USDT,18.455,21.37,18.42,21.045,390.03401758137323,8208.2659
1662595200000.0,2022-09-08 00:00:00,BNBBULL/USDT,18.12,18.81,17.54,18.455,247.55535627201303,4568.6341
1662508800000.0,2022-09-07 00:00:00,BNBBULL/USDT,15.28,18.465,14.715,18.12,306.0644674392936,5545.88815
1662422400000.0,2022-09-06 00:00:00,BNBBULL/USDT,18.045,19.875,15.235,15.28,874.4344306282723,13361.3581
1662336000000.0,2022-09-05 00:00:00,BNBBULL/USDT,18.49,18.955,17.42,18.045,348.18792740371293,6283.05115
1662249600000.0,2022-09-04 00:00:00,BNBBULL/USDT,18.21,18.75,17.785,18.49,177.17719848566796,3276.0064
1662163200000.0,2022-09-03 00:00:00,BNBBULL/USDT,18.12,18.38,17.6,18.21,143.82897858319603,2619.1257
1662076800000.0,2022-09-02 00:00:00,BNBBULL/USDT,18.29,19.275,17.54,18.12,183.31527317880796,3321.67275
1661990400000.0,2022-09-01 00:00:00,BNBBULL/USDT,18.445,18.715,16.93,18.29,1114.7038518316022,20387.93345
1661904000000.0,2022-08-31 00:00:00,BNBBULL/USDT,19.025,20.605,18.255,18.445,874.8291081593928,16136.2229
1661817600000.0,2022-08-30 00:00:00,BNBBULL/USDT,19.92,21.065,18.015,19.025,426.2155873850197,8108.75155
1661731200000.0,2022-08-29 00:00:00,BNBBULL/USDT,18.05,19.92,17.27,19.92,711.7816767068273,14178.691
1661644800000.0,2022-08-28 00:00:00,BNBBULL/USDT,18.185,19.39,17.94,18.05,185.1924404432133,3342.72355
1661558400000.0,2022-08-27 00:00:00,BNBBULL/USDT,18.25,19.485,17.35,18.185,313.002089634314,5691.943
1661472000000.0,2022-08-26 00:00:00,BNBBULL/USDT,23.82,23.82,18.145,18.25,676.9633452054795,12354.58105
1661385600000.0,2022-08-25 00:00:00,BNBBULL/USDT,23.22,24.985,22.515,23.82,852.6490910999161,20310.10135
1661299200000.0,2022-08-24 00:00:00,BNBBULL/USDT,23.11,23.4,22.18,23.22,262.2152239448751,6088.6375
1661212800000.0,2022-08-23 00:00:00,BNBBULL/USDT,23.64,23.64,22.105,23.11,486.8773712678494,11251.73605
1661126400000.0,2022-08-22 00:00:00,BNBBULL/USDT,23.9,24.3,20.82,23.64,155.75479483925548,3682.04335
1661040000000.0,2022-08-21 00:00:00,BNBBULL/USDT,19.945,24.26,19.9,23.9,2032.3402761506277,48572.9326
1660953600000.0,2022-08-20 00:00:00,BNBBULL/USDT,19.18,21.05,18.805,19.945,386.4213010779644,7707.17285
1660867200000.0,2022-08-19 00:00:00,BNBBULL/USDT,23.67,23.67,18.83,19.18,2718.7898826903024,52146.38995
1660780800000.0,2022-08-18 00:00:00,BNBBULL/USDT,25.7,26.58,23.19,23.67,1470.4124461343474,34804.6626
1660694400000.0,2022-08-17 00:00:00,BNBBULL/USDT,28.36,30.24,25.32,25.62,490.48330601092897,12566.1823
1660608000000.0,2022-08-16 00:00:00,BNBBULL/USDT,29.03,29.79,27.26,28.36,67.31364950634698,1909.0151
1660521600000.0,2022-08-15 00:00:00,BNBBULL/USDT,28.65,31.13,27.75,29.03,183.12743368928693,5316.1894
1660435200000.0,2022-08-14 00:00:00,BNBBULL/USDT,30.37,32.41,28.26,28.65,782.8603860383944,22428.95006
1660348800000.0,2022-08-13 00:00:00,BNBBULL/USDT,31.51,33.04,30.12,30.37,564.1551020744155,17133.39045
1660262400000.0,2022-08-12 00:00:00,BNBBULL/USDT,30.21,31.51,28.81,31.51,549.5478041891463,17316.25131
1660176000000.0,2022-08-11 00:00:00,BNBBULL/USDT,31.69,33.35,29.98,30.21,118.64368156239657,3584.22562
1660089600000.0,2022-08-10 00:00:00,BNBBULL/USDT,30.69,33.91,27.65,31.69,358.49321236983275,11360.6499
1660003200000.0,2022-08-09 00:00:00,BNBBULL/USDT,30.57,31.53,27.35,30.69,121.02673835125447,3714.3106
1659916800000.0,2022-08-08 00:00:00,BNBBULL/USDT,30.25,33.04,29.87,30.57,152.17215570821065,4651.9028
1659830400000.0,2022-08-07 00:00:00,BNBBULL/USDT,28.0,30.85,26.39,30.25,57.02894545454546,1725.1256
1659744000000.0,2022-08-06 00:00:00,BNBBULL/USDT,28.2,30.06,27.53,28.0,57.622210714285714,1613.4219
1659657600000.0,2022-08-05 00:00:00,BNBBULL/USDT,27.4,29.77,26.44,28.2,249.6991241134752,7041.5153
1659571200000.0,2022-08-04 00:00:00,BNBBULL/USDT,23.95,27.49,23.87,27.4,263.13147810218976,7209.8025
