https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ILV,Volume USDT
1663459200,2022-09-18 00:00:00,ILV/USDT,64.234,64.234,63.164,63.272,38.33016807,2435.01871070838
1663372800,2022-09-17 00:00:00,ILV/USDT,64.26,64.9,62.838,64.061,1530.25731285,97492.58522870143
1663286400,2022-09-16 00:00:00,ILV/USDT,65.519,67.34,63.31,64.065,2313.61633851,150065.16492479865
1663200000,2022-09-15 00:00:00,ILV/USDT,71.535,79,65.181,65.635,4898.75670724,341062.24359999544
1663113600,2022-09-14 00:00:00,ILV/USDT,69.506,72.643,68.743,71.581,1834.25747648,129394.73426278722
1663027200,2022-09-13 00:00:00,ILV/USDT,75.813,77.287,69.458,69.841,1990.75292695,144518.77620090396
1662940800,2022-09-12 00:00:00,ILV/USDT,77.839,78.681,74.2,75.849,1506.3321836,115420.11014101628
1662854400,2022-09-11 00:00:00,ILV/USDT,80.202,81.286,75.893,77.85,1999.96519144,157762.43332604383
1662768000,2022-09-10 00:00:00,ILV/USDT,79.3,80.599,77.376,80.182,1135.0196489,89448.91094155465
1662681600,2022-09-09 00:00:00,ILV/USDT,75.29,81.102,74.838,78.973,2798.81908372,219472.43870206655
1662595200,2022-09-08 00:00:00,ILV/USDT,73.839,76.247,72.2,75.19,2021.50240684,150157.47961097909
1662508800,2022-09-07 00:00:00,ILV/USDT,72.718,75.123,68.971,73.689,2162.61911575,154831.49061295897
1662422400,2022-09-06 00:00:00,ILV/USDT,75.692,78.881,72.509,72.509,3026.51604326,230746.06909902549
1662336000,2022-09-05 00:00:00,ILV/USDT,75.658,76.216,73.541,75.13,1342.48602277,100531.49779383905
1662249600,2022-09-04 00:00:00,ILV/USDT,74.766,75.963,74,75.658,1208.47170155,90740.15218565555
1662163200,2022-09-03 00:00:00,ILV/USDT,76.571,84.136,74.307,74.807,3134.66357741,239518.51810464509
1662076800,2022-09-02 00:00:00,ILV/USDT,78.658,80.504,75.401,76.57,835.43882155,64767.35364358449
1661990400,2022-09-01 00:00:00,ILV/USDT,77.798,87.619,75.476,78.657,4130.1062458,322817.13919847827
