https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT
1663459200,2022-09-18 00:00:00,DASH/USDT,44.54,44.54,43.95,44.24,33.63424214,1485.7585515678
1663372800,2022-09-17 00:00:00,DASH/USDT,43.82,44.74,43.76,44.6,2926.6876346,128969.669597613
1663286400,2022-09-16 00:00:00,DASH/USDT,43.86,44.47,42.65,43.77,4450.01008539,193881.280031719
1663200000,2022-09-15 00:00:00,DASH/USDT,45.49,45.66,43.24,43.86,12552.85238983,553806.1820317446
1663113600,2022-09-14 00:00:00,DASH/USDT,43.81,45.75,43.63,45.58,8683.44224043,387861.8632883436
1663027200,2022-09-13 00:00:00,DASH/USDT,47.03,48.21,43.27,43.81,9244.34888487,421814.7021743053
1662940800,2022-09-12 00:00:00,DASH/USDT,48.27,49.89,46.81,47.11,5789.74606867,279855.4164418594
1662854400,2022-09-11 00:00:00,DASH/USDT,48.82,49.08,47.14,48.31,6281.29429712,301973.8865046989
1662768000,2022-09-10 00:00:00,DASH/USDT,49.03,50.13,48.48,48.72,8077.679131,397162.1847061528
1662681600,2022-09-09 00:00:00,DASH/USDT,46.23,49.6,46.23,49.02,7063.39353491,339783.5055759886
1662595200,2022-09-08 00:00:00,DASH/USDT,44.97,46.5,44.16,46.27,4575.53825745,207552.9427414447
1662508800,2022-09-07 00:00:00,DASH/USDT,42.7,45.63,42.21,44.85,4226.63923545,184957.6632996664
1662422400,2022-09-06 00:00:00,DASH/USDT,47.61,48.8,42.62,42.7,8212.91223582,370139.8166012661
1662336000,2022-09-05 00:00:00,DASH/USDT,47.62,48.53,46.09,47.52,5438.32156169,256868.6942681191
1662249600,2022-09-04 00:00:00,DASH/USDT,46.75,47.6,45.95,47.59,3783.8870609,177131.5323021176
1662163200,2022-09-03 00:00:00,DASH/USDT,45.72,46.91,45.1,46.72,4867.27181007,225375.6242720025
1662076800,2022-09-02 00:00:00,DASH/USDT,44.8,46.38,44.21,45.69,8565.99456887,389654.4944676498
1661990400,2022-09-01 00:00:00,DASH/USDT,44.51,44.86,43.14,44.78,7873.90087464,345768.6929364079
1661904000,2022-08-31 00:00:00,DASH/USDT,45.7,46.4,44.2,44.47,4979.46598264,224670.9012231466
1661817600,2022-08-30 00:00:00,DASH/USDT,47.49,48.22,45.1,45.56,5795.87846834,270379.0966300568
1661731200,2022-08-29 00:00:00,DASH/USDT,44.2,47.65,43.59,47.48,4521.86279074,207622.5709924368
