https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STETH,Volume USD
1663545600000.0,2022-09-19 00:00:00,STETH/USD,1324.8,1331.2,1320.7,1325.5,0.07006981516408901,92.87754
1663459200000.0,2022-09-18 00:00:00,STETH/USD,1456.2,1458.2,1314.8,1324.8,285.8684148626208,378718.47601
1663372800000.0,2022-09-17 00:00:00,STETH/USD,1416.1,1468.4,1400.0,1456.2,1114.4402305040517,1622847.86366
1663286400000.0,2022-09-16 00:00:00,STETH/USD,1453.3,1473.5,1390.8,1416.1,995.6287481886873,1409909.87031
1663200000000.0,2022-09-15 00:00:00,STETH/USD,1590.2,1631.3,1436.7,1453.3,1851.26918773137,2690449.51053
1663113600000.0,2022-09-14 00:00:00,STETH/USD,1529.1,1599.7,1506.4,1590.2,754.076480983524,1199132.42006
1663027200000.0,2022-09-13 00:00:00,STETH/USD,1672.0,1712.6,1516.0,1529.1,482.1530753972925,737260.26759
1662940800000.0,2022-09-12 00:00:00,STETH/USD,1722.0,1738.0,1649.8,1672.0,736.9749083492824,1232222.04676
1662854400000.0,2022-09-11 00:00:00,STETH/USD,1725.6,1742.6,1676.7,1722.0,136.11313413472706,234386.81698
1662768000000.0,2022-09-10 00:00:00,STETH/USD,1669.5,1740.0,1657.7,1725.6,356.9562885720909,615963.77156
1662681600000.0,2022-09-09 00:00:00,STETH/USD,1576.0,1688.5,1572.3,1669.5,1138.693452195268,1901048.71844
1662595200000.0,2022-09-08 00:00:00,STETH/USD,1566.3,1599.0,1531.0,1576.0,412.78221649746195,650544.7732
1662508800000.0,2022-09-07 00:00:00,STETH/USD,1496.0,1592.9,1428.5,1566.3,342.50913944327397,536472.06511
1662422400000.0,2022-09-06 00:00:00,STETH/USD,1564.3,1627.1,1489.8,1496.0,742.2407485294118,1110392.1598
1662336000000.0,2022-09-05 00:00:00,STETH/USD,1528.1,1578.4,1509.3,1564.3,86.23385351914594,134895.61706
1662249600000.0,2022-09-04 00:00:00,STETH/USD,1507.9,1531.0,1493.0,1528.1,145.77508491590865,222758.90726
1662163200000.0,2022-09-03 00:00:00,STETH/USD,1523.9,1531.0,1487.0,1507.9,146.99702792625504,221656.81841
1662076800000.0,2022-09-02 00:00:00,STETH/USD,1542.4,1594.5,1499.0,1523.9,305.2853525296935,465224.34872
1661990400000.0,2022-09-01 00:00:00,STETH/USD,1509.3,1552.4,1471.7,1542.4,106.79792018283194,164725.11209
1661904000000.0,2022-08-31 00:00:00,STETH/USD,1481.9,1572.8,1480.1,1509.3,97.39826258530445,147003.19772
1661817600000.0,2022-08-30 00:00:00,STETH/USD,1511.9,1560.3,1433.0,1481.9,129.92143825494298,192530.57935
1661731200000.0,2022-08-29 00:00:00,STETH/USD,1384.4,1518.3,1380.0,1511.9,205.2258288114293,310280.93058
1661644800000.0,2022-08-28 00:00:00,STETH/USD,1446.4,1466.3,1382.0,1384.4,135.9242877925455,188173.58402
1661558400000.0,2022-08-27 00:00:00,STETH/USD,1464.6,1475.3,1406.0,1446.4,81.18620689297565,117427.72965
1661472000000.0,2022-08-26 00:00:00,STETH/USD,1652.8,1656.6,1443.0,1464.6,269.73817032636896,395058.52426
1661385600000.0,2022-08-25 00:00:00,STETH/USD,1614.3,1677.0,1613.4,1652.8,474.43136127783157,784140.15392
1661299200000.0,2022-08-24 00:00:00,STETH/USD,1620.3,1648.3,1563.0,1614.3,159.50581719011336,257490.24069
1661212800000.0,2022-08-23 00:00:00,STETH/USD,1584.9,1626.4,1525.8,1620.4,193.38099334115032,313354.56161
1661126400000.0,2022-08-22 00:00:00,STETH/USD,1574.3,1586.5,1491.4,1585.9,149.4168547638565,236960.18997
1661040000000.0,2022-08-21 00:00:00,STETH/USD,1533.4,1599.5,1520.3,1574.3,82.73001321222131,130241.8598
1660953600000.0,2022-08-20 00:00:00,STETH/USD,1564.5,1609.3,1483.0,1533.4,134.42820854962827,206132.21499
1660867200000.0,2022-08-19 00:00:00,STETH/USD,1794.8,1796.0,1561.0,1564.5,556.5381480536913,870703.93263
1660780800000.0,2022-08-18 00:00:00,STETH/USD,1786.0,1828.9,1773.5,1794.8,66.89749280699799,120067.62009
1660694400000.0,2022-08-17 00:00:00,STETH/USD,1824.6,1903.4,1771.1,1786.0,235.47006154535273,420549.52992
1660608000000.0,2022-08-16 00:00:00,STETH/USD,1852.6,1867.1,1804.3,1824.5,558.955614321732,1019814.51833
1660521600000.0,2022-08-15 00:00:00,STETH/USD,1888.7,1960.8,1827.7,1852.6,271.60269883946887,503171.15987
1660435200000.0,2022-08-14 00:00:00,STETH/USD,1934.1,1979.1,1859.4,1888.7,68.89385295706042,130119.82008
