https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume BCH
1663549200000,2022-09-19 01:00:00,BCH/USDT,112.5326,113.1262,112.3962,113.1228,440.3870604,3.893
1663545600000,2022-09-19 00:00:00,BCH/USDT,111.6101,113.2594,111.6101,112.6127,1605.9193148861152,14.26055245
1663542000000,2022-09-18 23:00:00,BCH/USDT,112.3591,113.144,111.4905,111.8358,1621.25897194863,14.49677985
1663538400000,2022-09-18 22:00:00,BCH/USDT,112.5403,112.6047,111.3976,112.3994,1859.7532080267779,16.54593537
1663534800000,2022-09-18 21:00:00,BCH/USDT,115.2899,115.449,111.0,112.6727,32434.897638678234,287.86829142
1663531200000,2022-09-18 20:00:00,BCH/USDT,116.1138,116.1163,115.2486,115.3591,3685.4024036567157,31.94721876
1663527600000,2022-09-18 19:00:00,BCH/USDT,115.4889,116.2022,115.1646,116.0854,1904.868502728402,16.40919963
1663524000000,2022-09-18 18:00:00,BCH/USDT,115.5681,116.4456,114.6182,115.5403,1826.431526833111,15.80774437
1663520400000,2022-09-18 17:00:00,BCH/USDT,116.8363,117.0428,115.2159,115.6999,1884.0040387349227,16.28354077
1663516800000,2022-09-18 16:00:00,BCH/USDT,117.8951,118.1746,116.3629,117.0578,1762.224528516956,15.05431102
1663513200000,2022-09-18 15:00:00,BCH/USDT,118.2427,118.6161,118.0064,118.0064,1907.9274752,16.168
1663509600000,2022-09-18 14:00:00,BCH/USDT,119.8102,119.8102,118.0177,118.2562,1567.2499744041402,13.2530047
1663506000000,2022-09-18 13:00:00,BCH/USDT,120.0007,120.115,119.6538,119.7276,1469.735105481804,12.27565829
1663502400000,2022-09-18 12:00:00,BCH/USDT,119.7029,120.3152,119.2743,120.052,1732.6393707837601,14.43240738
1663498800000,2022-09-18 11:00:00,BCH/USDT,119.9188,120.1266,119.7124,119.7775,1547.737027093425,12.92176767
1663495200000,2022-09-18 10:00:00,BCH/USDT,119.7047,120.4494,119.3077,119.9001,1661.986152518424,13.86142424
1663491600000,2022-09-18 09:00:00,BCH/USDT,121.3231,121.5643,119.6684,119.7829,1836.1016610708768,15.32857913
1663488000000,2022-09-18 08:00:00,BCH/USDT,121.4235,121.7094,121.2097,121.3242,1622.104554,13.37
1663484400000,2022-09-18 07:00:00,BCH/USDT,121.206,121.6092,121.1026,121.3062,1480.2995586,12.203
