https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume LINK
1663549200000,2022-09-19 01:00:00,LINK/BTC,0.00039781,0.00039829,0.00039384,0.00039829,0.00035846099999999997,0.9
1663545600000,2022-09-19 00:00:00,LINK/BTC,0.00039052,0.0004004,0.00038381,0.00039051,0.002421162,6.2
1663542000000,2022-09-18 23:00:00,LINK/BTC,0.00038818,0.00039056,0.0003838,0.00038774,0.0018223780000000001,4.7
1663538400000,2022-09-18 22:00:00,LINK/BTC,0.00038711,0.00039045,0.00038472,0.00038579,0.0018517919999999999,4.8
1663534800000,2022-09-18 21:00:00,LINK/BTC,0.00039545,0.00039545,0.00038266,0.00038479,0.0018854710000000001,4.9
1663531200000,2022-09-18 20:00:00,LINK/BTC,0.00039711,0.00039711,0.00039462,0.00039462,0.0018152519999999998,4.6
1663527600000,2022-09-18 19:00:00,LINK/BTC,0.00039856,0.00040019,0.00039771,0.00039771,0.0021278654625339,5.35029409
1663524000000,2022-09-18 18:00:00,LINK/BTC,0.00039561,0.00039956,0.00039466,0.00039898,0.0024337779999999997,6.1
1663520400000,2022-09-18 17:00:00,LINK/BTC,0.00039662,0.00039808,0.00039393,0.00039584,0.002295872,5.8
1663516800000,2022-09-18 16:00:00,LINK/BTC,0.00039788,0.00039788,0.00039469,0.00039778,0.0017900099999999999,4.5
1663513200000,2022-09-18 15:00:00,LINK/BTC,0.00039838,0.00039864,0.00039769,0.00039806,0.00179127,4.5
1663509600000,2022-09-18 14:00:00,LINK/BTC,0.00039998,0.00039998,0.00039593,0.00039801,0.0025472640000000005,6.4
1663506000000,2022-09-18 13:00:00,LINK/BTC,0.00039855,0.00039977,0.0003979,0.00039942,0.001557738,3.9
1663502400000,2022-09-18 12:00:00,LINK/BTC,0.00039696,0.00039918,0.00039599,0.00039918,0.002235408,5.6
1663498800000,2022-09-18 11:00:00,LINK/BTC,0.00039751,0.00039873,0.00039675,0.00039862,0.00259103,6.5
1663495200000,2022-09-18 10:00:00,LINK/BTC,0.00039604,0.00039769,0.00039516,0.00039659,0.002260563,5.7
1663491600000,2022-09-18 09:00:00,LINK/BTC,0.00039701,0.00039825,0.00039559,0.00039559,0.0021361860000000004,5.4
1663488000000,2022-09-18 08:00:00,LINK/BTC,0.00040021,0.00040021,0.00039686,0.0003974,0.00309972,7.8
1663484400000,2022-09-18 07:00:00,LINK/BTC,0.00040288,0.00040296,0.00039934,0.00039939,0.006886344736760701,17.24215613
1663480800000,2022-09-18 06:00:00,LINK/BTC,0.00040207,0.0004023,0.00039791,0.00039791,0.001392685,3.5
1663477200000,2022-09-18 05:00:00,LINK/BTC,0.00040255,0.00040377,0.00039848,0.00040234,0.002373806,5.9
1663473600000,2022-09-18 04:00:00,LINK/BTC,0.00039765,0.00040149,0.00039765,0.00040055,0.00304418,7.6
1663470000000,2022-09-18 03:00:00,LINK/BTC,0.00039913,0.00039913,0.00039694,0.00039814,0.0019907,5.0
1663466400000,2022-09-18 02:00:00,LINK/BTC,0.0004005,0.00040081,0.00039944,0.00039987,0.002079324,5.2
1663462800000,2022-09-18 01:00:00,LINK/BTC,0.0004021,0.00040303,0.00039914,0.00040132,0.002287524,5.7
1663459200000,2022-09-18 00:00:00,LINK/BTC,0.00040265,0.00040655,0.00039893,0.00040014,0.00260091,6.5
1663455600000,2022-09-17 23:00:00,LINK/BTC,0.000401,0.00040449,0.000401,0.00040247,0.002213585,5.5
1663452000000,2022-09-17 22:00:00,LINK/BTC,0.00039713,0.00040064,0.0003964,0.00040064,0.00220352,5.5
1663448400000,2022-09-17 21:00:00,LINK/BTC,0.00040151,0.00040198,0.00039756,0.00039756,0.002146824,5.4
1663444800000,2022-09-17 20:00:00,LINK/BTC,0.00040095,0.00040296,0.00040073,0.00040086,0.002284902,5.7
1663441200000,2022-09-17 19:00:00,LINK/BTC,0.00039783,0.00040116,0.00039744,0.00040116,0.001925568,4.8
1663437600000,2022-09-17 18:00:00,LINK/BTC,0.00039681,0.00039852,0.00039681,0.0003978,0.0021879,5.5
1663434000000,2022-09-17 17:00:00,LINK/BTC,0.00039757,0.00040143,0.0003972,0.00039735,0.0024238349999999996,6.1
