https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTA,Volume USDT
1663545600000.0,2022-09-19 00:00:00,MTA/USDT,0.143,0.143,0.143,0.143,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,MTA/USDT,0.146,0.1465,0.1425,0.143,23117.36013986014,3305.7825
1663372800000.0,2022-09-17 00:00:00,MTA/USDT,0.144,0.1515,0.1435,0.146,14165.681506849316,2068.1895
1663286400000.0,2022-09-16 00:00:00,MTA/USDT,0.145,0.1475,0.1435,0.144,5623.875,809.838
1663200000000.0,2022-09-15 00:00:00,MTA/USDT,0.153,0.157,0.1445,0.145,13144.251724137932,1905.9165
1663113600000.0,2022-09-14 00:00:00,MTA/USDT,0.1525,0.1565,0.1485,0.153,21132.23202614379,3233.2315
1663027200000.0,2022-09-13 00:00:00,MTA/USDT,0.1575,0.162,0.15,0.1525,14455.370491803278,2204.444
1662940800000.0,2022-09-12 00:00:00,MTA/USDT,0.158,0.1615,0.1555,0.1575,18560.86349206349,2923.336
1662854400000.0,2022-09-11 00:00:00,MTA/USDT,0.16,0.1625,0.156,0.158,5887.205696202532,930.1785
1662768000000.0,2022-09-10 00:00:00,MTA/USDT,0.164,0.165,0.158,0.16,6784.040625,1085.4465
1662681600000.0,2022-09-09 00:00:00,MTA/USDT,0.1625,0.171,0.1595,0.164,23403.728658536584,3838.2115
1662595200000.0,2022-09-08 00:00:00,MTA/USDT,0.1505,0.176,0.1505,0.1625,59369.049230769226,9647.4705
1662508800000.0,2022-09-07 00:00:00,MTA/USDT,0.1435,0.154,0.142,0.1505,15676.661129568107,2359.3375
1662422400000.0,2022-09-06 00:00:00,MTA/USDT,0.145,0.15,0.1435,0.1435,2975.205574912892,426.942
1662336000000.0,2022-09-05 00:00:00,MTA/USDT,0.144,0.148,0.1415,0.145,10757.279310344828,1559.8055
1662249600000.0,2022-09-04 00:00:00,MTA/USDT,0.1415,0.1455,0.141,0.144,465.75,67.068
1662163200000.0,2022-09-03 00:00:00,MTA/USDT,0.143,0.1435,0.14,0.1415,161.8374558303887,22.9
1662076800000.0,2022-09-02 00:00:00,MTA/USDT,0.142,0.147,0.14,0.143,3845.0419580419584,549.841
1661990400000.0,2022-09-01 00:00:00,MTA/USDT,0.1385,0.146,0.1375,0.142,14327.647887323945,2034.526
1661904000000.0,2022-08-31 00:00:00,MTA/USDT,0.136,0.143,0.136,0.1385,23917.776173285198,3312.612
1661817600000.0,2022-08-30 00:00:00,MTA/USDT,0.1395,0.141,0.135,0.136,5549.268382352941,754.7005
1661731200000.0,2022-08-29 00:00:00,MTA/USDT,0.135,0.1395,0.135,0.1395,2025.2795698924729,282.5265
1661644800000.0,2022-08-28 00:00:00,MTA/USDT,0.136,0.1375,0.134,0.1355,997.3616236162362,135.1425
1661558400000.0,2022-08-27 00:00:00,MTA/USDT,0.135,0.1375,0.134,0.136,11537.430147058823,1569.0905
1661472000000.0,2022-08-26 00:00:00,MTA/USDT,0.141,0.1425,0.135,0.135,15181.896296296296,2049.556
1661385600000.0,2022-08-25 00:00:00,MTA/USDT,0.142,0.145,0.14,0.141,2474.067375886525,348.8435
1661299200000.0,2022-08-24 00:00:00,MTA/USDT,0.1405,0.142,0.139,0.142,236.41197183098595,33.5705
1661212800000.0,2022-08-23 00:00:00,MTA/USDT,0.139,0.1465,0.1365,0.1405,13354.775800711743,1876.346
1661126400000.0,2022-08-22 00:00:00,MTA/USDT,0.1365,0.139,0.129,0.139,7225.661870503596,1004.367
1661040000000.0,2022-08-21 00:00:00,MTA/USDT,0.138,0.139,0.135,0.1365,3158.3846153846152,431.1195
1660953600000.0,2022-08-20 00:00:00,MTA/USDT,0.1415,0.145,0.136,0.138,3324.2644927536226,458.7485
1660867200000.0,2022-08-19 00:00:00,MTA/USDT,0.159,0.1605,0.1415,0.1415,22867.593639575975,3235.7645
1660780800000.0,2022-08-18 00:00:00,MTA/USDT,0.1605,0.161,0.158,0.159,441.10062893081766,70.135
1660694400000.0,2022-08-17 00:00:00,MTA/USDT,0.16,0.1625,0.157,0.1605,4519.626168224298,725.4
1660608000000.0,2022-08-16 00:00:00,MTA/USDT,0.16,0.1645,0.159,0.16,2695.009375,431.2015
1660521600000.0,2022-08-15 00:00:00,MTA/USDT,0.1615,0.165,0.159,0.16,4929.1375,788.662
1660435200000.0,2022-08-14 00:00:00,MTA/USDT,0.165,0.166,0.16,0.1615,5516.089783281734,890.8485
1660348800000.0,2022-08-13 00:00:00,MTA/USDT,0.166,0.1675,0.162,0.165,5462.330303030302,901.2845
1660262400000.0,2022-08-12 00:00:00,MTA/USDT,0.17,0.17,0.165,0.166,3091.9909638554213,513.2705
1660176000000.0,2022-08-11 00:00:00,MTA/USDT,0.169,0.1745,0.167,0.17,20327.54705882353,3455.683
1660089600000.0,2022-08-10 00:00:00,MTA/USDT,0.162,0.169,0.16,0.169,9529.056213017751,1610.4105
1660003200000.0,2022-08-09 00:00:00,MTA/USDT,0.1725,0.1795,0.161,0.162,14822.419753086418,2401.232
1659916800000.0,2022-08-08 00:00:00,MTA/USDT,0.1705,0.1775,0.168,0.1725,7039.150724637682,1214.2535
1659830400000.0,2022-08-07 00:00:00,MTA/USDT,0.1655,0.171,0.1635,0.1705,4844.164222873899,825.93
1659744000000.0,2022-08-06 00:00:00,MTA/USDT,0.159,0.1655,0.158,0.1655,1976.1661631419938,327.0555
1659657600000.0,2022-08-05 00:00:00,MTA/USDT,0.1515,0.1605,0.1515,0.159,8797.893081761005,1398.865
1659571200000.0,2022-08-04 00:00:00,MTA/USDT,0.153,0.156,0.1515,0.1515,436.06600660066005,66.064
1659484800000.0,2022-08-03 00:00:00,MTA/USDT,0.152,0.1555,0.151,0.153,2297.6764705882356,351.5445
1659398400000.0,2022-08-02 00:00:00,MTA/USDT,0.1505,0.1545,0.1475,0.152,8016.407894736842,1218.494
1659312000000.0,2022-08-01 00:00:00,MTA/USDT,0.153,0.155,0.149,0.1505,5069.714285714285,762.992
1659225600000.0,2022-07-31 00:00:00,MTA/USDT,0.1535,0.156,0.151,0.153,4042.7843137254904,618.546
1659139200000.0,2022-07-30 00:00:00,MTA/USDT,0.153,0.1555,0.151,0.1535,2274.4820846905536,349.133
1659052800000.0,2022-07-29 00:00:00,MTA/USDT,0.153,0.1565,0.1515,0.153,11016.745098039215,1685.562
1658966400000.0,2022-07-28 00:00:00,MTA/USDT,0.145,0.153,0.144,0.153,16939.303921568626,2591.7135
1658880000000.0,2022-07-27 00:00:00,MTA/USDT,0.14,0.1455,0.135,0.145,566007.0793103449,82071.0265
1658793600000.0,2022-07-26 00:00:00,MTA/USDT,0.146,0.147,0.138,0.14,5909.449999999999,827.323
1658707200000.0,2022-07-25 00:00:00,MTA/USDT,0.1515,0.1545,0.146,0.146,52423.63698630137,7653.851
1658620800000.0,2022-07-24 00:00:00,MTA/USDT,0.155,0.1575,0.1505,0.1515,51080.47194719472,7738.6915
1658534400000.0,2022-07-23 00:00:00,MTA/USDT,0.1505,0.156,0.1425,0.155,20849.477419354836,3231.669
1658448000000.0,2022-07-22 00:00:00,MTA/USDT,0.1505,0.1555,0.15,0.1505,68848.96677740864,10361.7695
1658361600000.0,2022-07-21 00:00:00,MTA/USDT,0.1485,0.1515,0.146,0.1505,53066.69435215947,7986.5375
1658275200000.0,2022-07-20 00:00:00,MTA/USDT,0.149,0.152,0.145,0.1485,15954.542087542088,2369.2495
1658188800000.0,2022-07-19 00:00:00,MTA/USDT,0.1545,0.155,0.1485,0.149,11498.026845637583,1713.206
1658102400000.0,2022-07-18 00:00:00,MTA/USDT,0.142,0.161,0.139,0.1545,123313.93851132685,19052.0035
1658016000000.0,2022-07-17 00:00:00,MTA/USDT,0.1395,0.1465,0.138,0.142,13154.278169014086,1867.9075
1657929600000.0,2022-07-16 00:00:00,MTA/USDT,0.128,0.1415,0.127,0.1395,20366.347670250896,2841.1055
1657843200000.0,2022-07-15 00:00:00,MTA/USDT,0.1295,0.13,0.127,0.128,15692.61328125,2008.6545
1657756800000.0,2022-07-14 00:00:00,MTA/USDT,0.1235,0.131,0.1205,0.1295,45619.03088803089,5907.6645
1657670400000.0,2022-07-13 00:00:00,MTA/USDT,0.1255,0.128,0.117,0.1235,34003.47368421053,4199.429
1657584000000.0,2022-07-12 00:00:00,MTA/USDT,0.125,0.127,0.1245,0.1255,945.2788844621514,118.6325
1657497600000.0,2022-07-11 00:00:00,MTA/USDT,0.1265,0.1265,0.125,0.125,972.96,121.62
1657411200000.0,2022-07-10 00:00:00,MTA/USDT,0.1255,0.1275,0.125,0.1265,1458.5573122529643,184.5075
1657324800000.0,2022-07-09 00:00:00,MTA/USDT,0.127,0.128,0.1245,0.1255,5547.657370517928,696.231
1657238400000.0,2022-07-08 00:00:00,MTA/USDT,0.129,0.1315,0.1255,0.127,6145.425196850394,780.469
1657152000000.0,2022-07-07 00:00:00,MTA/USDT,0.13,0.1315,0.1255,0.129,11170.480620155038,1440.992
1657065600000.0,2022-07-06 00:00:00,MTA/USDT,0.126,0.13,0.126,0.13,3365.119230769231,437.4655
1656979200000.0,2022-07-05 00:00:00,MTA/USDT,0.1265,0.1285,0.126,0.126,2474.265873015873,311.7575
1656892800000.0,2022-07-04 00:00:00,MTA/USDT,0.122,0.128,0.1215,0.1265,4037.0355731225295,510.685
1656806400000.0,2022-07-03 00:00:00,MTA/USDT,0.1175,0.1255,0.1175,0.122,10896.83606557377,1329.414
1656720000000.0,2022-07-02 00:00:00,MTA/USDT,0.1275,0.129,0.1175,0.1175,33571.868085106384,3944.6945
1656633600000.0,2022-07-01 00:00:00,MTA/USDT,0.132,0.136,0.126,0.1275,23673.596078431372,3018.3835
1656547200000.0,2022-06-30 00:00:00,MTA/USDT,0.136,0.141,0.124,0.132,141480.24621212122,18675.3925
1656460800000.0,2022-06-29 00:00:00,MTA/USDT,0.132,0.1395,0.126,0.136,83185.41911764706,11313.217
1656374400000.0,2022-06-28 00:00:00,MTA/USDT,0.1445,0.15,0.1235,0.132,81342.48484848485,10737.208
1656288000000.0,2022-06-27 00:00:00,MTA/USDT,0.1385,0.1585,0.1295,0.1445,130936.3287197232,18920.2995
1656201600000.0,2022-06-26 00:00:00,MTA/USDT,0.1455,0.147,0.138,0.1385,14430.671480144403,1998.648
1656115200000.0,2022-06-25 00:00:00,MTA/USDT,0.1475,0.1555,0.1365,0.1455,31338.646048109968,4559.773
1656028800000.0,2022-06-24 00:00:00,MTA/USDT,0.12,0.164,0.1195,0.1475,135510.85762711865,19987.8515
1655942400000.0,2022-06-23 00:00:00,MTA/USDT,0.121,0.125,0.1195,0.12,6081.4125,729.7695
1655856000000.0,2022-06-22 00:00:00,MTA/USDT,0.1115,0.123,0.105,0.121,78879.40082644628,9544.4075
1655769600000.0,2022-06-21 00:00:00,MTA/USDT,0.1195,0.1375,0.1,0.1115,237174.99551569505,26445.012
1655683200000.0,2022-06-20 00:00:00,MTA/USDT,0.122,0.132,0.113,0.1195,207571.66945606697,24804.8145
1655596800000.0,2022-06-19 00:00:00,MTA/USDT,0.117,0.131,0.113,0.122,23347.75,2848.4255
1655510400000.0,2022-06-18 00:00:00,MTA/USDT,0.129,0.131,0.1145,0.117,4228.735042735042,494.762
1655424000000.0,2022-06-17 00:00:00,MTA/USDT,0.1235,0.1455,0.1215,0.129,46311.64728682171,5974.2025
1655337600000.0,2022-06-16 00:00:00,MTA/USDT,0.145,0.147,0.119,0.1235,47842.03643724696,5908.4915
1655251200000.0,2022-06-15 00:00:00,MTA/USDT,0.145,0.1475,0.1265,0.145,30603.36206896552,4437.4875
1655164800000.0,2022-06-14 00:00:00,MTA/USDT,0.1405,0.1525,0.134,0.145,37554.09655172414,5445.344
1655078400000.0,2022-06-13 00:00:00,MTA/USDT,0.168,0.1685,0.1375,0.1405,18901.17793594306,2655.6155
1654992000000.0,2022-06-12 00:00:00,MTA/USDT,0.177,0.178,0.164,0.167,17669.02095808383,2950.7265
1654905600000.0,2022-06-11 00:00:00,MTA/USDT,0.2015,0.2015,0.177,0.177,19094.183615819213,3379.6705
1654819200000.0,2022-06-10 00:00:00,MTA/USDT,0.2205,0.222,0.2,0.2015,39714.49875930521,8002.4715
1654732800000.0,2022-06-09 00:00:00,MTA/USDT,0.2405,0.2475,0.216,0.2205,23877.65306122449,5265.0225
1654646400000.0,2022-06-08 00:00:00,MTA/USDT,0.2465,0.253,0.239,0.2405,34163.56756756757,8216.338
1654560000000.0,2022-06-07 00:00:00,MTA/USDT,0.2285,0.2565,0.2135,0.2465,55465.25354969574,13672.185
1654473600000.0,2022-06-06 00:00:00,MTA/USDT,0.2095,0.2285,0.2095,0.2285,20207.890590809628,4617.503
1654387200000.0,2022-06-05 00:00:00,MTA/USDT,0.211,0.2125,0.207,0.2095,3973.515513126492,832.4515
1654300800000.0,2022-06-04 00:00:00,MTA/USDT,0.208,0.2135,0.2025,0.211,43789.20616113744,9239.5225
1654214400000.0,2022-06-03 00:00:00,MTA/USDT,0.237,0.237,0.2035,0.208,32582.77403846154,6777.217
1654128000000.0,2022-06-02 00:00:00,MTA/USDT,0.224,0.2375,0.2205,0.237,15294.145569620254,3624.7125
1654041600000.0,2022-06-01 00:00:00,MTA/USDT,0.251,0.256,0.219,0.224,50800.67633928572,11379.3515
1653955200000.0,2022-05-31 00:00:00,MTA/USDT,0.244,0.262,0.2375,0.251,28181.23705179283,7073.4905
1653868800000.0,2022-05-30 00:00:00,MTA/USDT,0.219,0.244,0.2175,0.244,21038.508196721312,5133.396
1653782400000.0,2022-05-29 00:00:00,MTA/USDT,0.212,0.2225,0.207,0.219,10912.15296803653,2389.7615
1653696000000.0,2022-05-28 00:00:00,MTA/USDT,0.221,0.229,0.2115,0.212,14984.172169811322,3176.6445
