https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMP,Volume USDT
1663545600000.0,2022-09-19 00:00:00,COMP/USDT,49.51,49.6,49.17,49.48,77.1611570331447,3817.93405
1663542000000.0,2022-09-18 23:00:00,COMP/USDT,49.53,49.86,49.21,49.51,49.34304283983034,2442.974051
1663538400000.0,2022-09-18 22:00:00,COMP/USDT,49.42,49.54,48.75,49.53,143.6229669695134,7113.645554
1663534800000.0,2022-09-18 21:00:00,COMP/USDT,51.08,51.08,46.38,49.42,252.89969105625252,12498.302732
1663531200000.0,2022-09-18 20:00:00,COMP/USDT,51.5,51.52,50.9,51.08,51.95411388018794,2653.816137
1663527600000.0,2022-09-18 19:00:00,COMP/USDT,51.65,51.84,51.44,51.5,8.007333495145632,412.377675
1663524000000.0,2022-09-18 18:00:00,COMP/USDT,51.15,51.81,51.11,51.65,115.59789694094869,5970.631377
1663520400000.0,2022-09-18 17:00:00,COMP/USDT,51.7,51.92,50.81,51.15,34.211039882697946,1749.89469
1663516800000.0,2022-09-18 16:00:00,COMP/USDT,52.71,52.82,51.21,51.7,11.783026112185686,609.18245
1663513200000.0,2022-09-18 15:00:00,COMP/USDT,52.58,53.15,52.48,52.71,34.78585329159552,1833.562327
1663509600000.0,2022-09-18 14:00:00,COMP/USDT,53.15,53.21,52.34,52.58,179.09319378090527,9416.720129
1663506000000.0,2022-09-18 13:00:00,COMP/USDT,53.48,53.48,53.04,53.15,38.24587717779868,2032.768372
1663502400000.0,2022-09-18 12:00:00,COMP/USDT,53.3,53.49,52.91,53.48,15.184748223635005,812.080335
1663498800000.0,2022-09-18 11:00:00,COMP/USDT,53.14,53.56,53.14,53.3,87.5895030956848,4668.520515
1663495200000.0,2022-09-18 10:00:00,COMP/USDT,53.23,53.75,52.8,53.14,44.48609341362439,2363.991004
1663491600000.0,2022-09-18 09:00:00,COMP/USDT,54.59,54.63,53.23,53.23,68.45171221115912,3643.684641
1663488000000.0,2022-09-18 08:00:00,COMP/USDT,54.19,54.8,54.19,54.59,83.73683736948158,4571.193952
1663484400000.0,2022-09-18 07:00:00,COMP/USDT,54.68,54.97,54.17,54.24,316.69464782448375,17177.517698
1663480800000.0,2022-09-18 06:00:00,COMP/USDT,54.78,54.94,54.63,54.68,270.5903239758595,14795.878915
1663477200000.0,2022-09-18 05:00:00,COMP/USDT,54.72,55.24,54.72,54.78,360.8648277656079,19768.175265
1663473600000.0,2022-09-18 04:00:00,COMP/USDT,54.34,54.92,54.33,54.72,45.92078044590643,2512.785106
1663470000000.0,2022-09-18 03:00:00,COMP/USDT,54.56,54.89,54.18,54.34,119.68164677953625,6503.500686
1663466400000.0,2022-09-18 02:00:00,COMP/USDT,54.33,54.7,54.23,54.56,4.8796704728739,266.234821
1663462800000.0,2022-09-18 01:00:00,COMP/USDT,53.89,54.34,53.85,54.33,140.54491533222898,7635.80525
1663459200000.0,2022-09-18 00:00:00,COMP/USDT,54.42,54.44,53.8,53.89,425.79112236036366,22945.883584
1663455600000.0,2022-09-17 23:00:00,COMP/USDT,54.39,54.49,54.31,54.42,275.62394485483276,14999.455079
1663452000000.0,2022-09-17 22:00:00,COMP/USDT,54.11,54.48,53.99,54.39,403.4597350983637,21944.174992
1663448400000.0,2022-09-17 21:00:00,COMP/USDT,53.99,54.17,53.99,54.11,402.9054254111994,21801.212569
1663444800000.0,2022-09-17 20:00:00,COMP/USDT,53.94,54.06,53.59,53.99,194.91568351546582,10523.497753
1663441200000.0,2022-09-17 19:00:00,COMP/USDT,53.75,54.01,53.75,53.94,25.71270324434557,1386.943213
1663437600000.0,2022-09-17 18:00:00,COMP/USDT,54.49,54.49,53.75,53.75,21.352977246511625,1147.722527
1663434000000.0,2022-09-17 17:00:00,COMP/USDT,54.98,55.0,54.46,54.49,4.777286915030281,260.314364
1663430400000.0,2022-09-17 16:00:00,COMP/USDT,54.5,55.09,54.46,54.98,11.972257766460531,658.234732
1663426800000.0,2022-09-17 15:00:00,COMP/USDT,55.77,55.77,54.37,54.5,17.00263952293578,926.643854
1663423200000.0,2022-09-17 14:00:00,COMP/USDT,55.93,55.93,55.52,55.77,16.486052644791105,919.427156
1663419600000.0,2022-09-17 13:00:00,COMP/USDT,55.29,55.97,54.95,55.93,6.626801752190238,370.637022
1663416000000.0,2022-09-17 12:00:00,COMP/USDT,54.85,55.38,54.85,55.29,9.722353771025503,537.54894
1663412400000.0,2022-09-17 11:00:00,COMP/USDT,55.25,55.28,54.77,54.85,7.04139325432999,386.22042
1663408800000.0,2022-09-17 10:00:00,COMP/USDT,54.76,55.26,54.76,55.25,69.5445029321267,3842.333787
1663405200000.0,2022-09-17 09:00:00,COMP/USDT,54.39,54.8,54.22,54.76,101.89122401387876,5579.563427
1663401600000.0,2022-09-17 08:00:00,COMP/USDT,54.47,54.77,54.31,54.39,223.41791145431145,12151.700204
1663398000000.0,2022-09-17 07:00:00,COMP/USDT,53.63,54.7,53.57,54.47,502.3503905085368,27363.025771
1663394400000.0,2022-09-17 06:00:00,COMP/USDT,53.27,53.63,53.23,53.63,377.3583427186276,20237.72792
1663390800000.0,2022-09-17 05:00:00,COMP/USDT,53.54,53.56,53.15,53.27,82.14305184907076,4375.760372
1663387200000.0,2022-09-17 04:00:00,COMP/USDT,53.39,53.79,53.36,53.54,3.999671703399328,214.142423
1663383600000.0,2022-09-17 03:00:00,COMP/USDT,53.63,53.63,53.3,53.39,1.4849570331522757,79.281856
1663380000000.0,2022-09-17 02:00:00,COMP/USDT,53.8,53.88,53.43,53.63,3.580516091739698,192.023078
1663376400000.0,2022-09-17 01:00:00,COMP/USDT,53.9,54.01,53.7,53.8,20.20074423791822,1086.80004
1663372800000.0,2022-09-17 00:00:00,COMP/USDT,53.94,54.57,53.79,53.9,78.92747085343228,4254.190679
1663369200000.0,2022-09-16 23:00:00,COMP/USDT,54.08,54.16,53.68,53.94,12.392139377085652,668.431998
1663365600000.0,2022-09-16 22:00:00,COMP/USDT,55.61,55.91,54.01,54.08,177.39417100591717,9593.476768
1663362000000.0,2022-09-16 21:00:00,COMP/USDT,55.64,55.97,55.33,55.61,35.99211087933825,2001.521286
1663358400000.0,2022-09-16 20:00:00,COMP/USDT,56.14,56.26,55.6,55.64,58.898972483824586,3277.138829
1663354800000.0,2022-09-16 19:00:00,COMP/USDT,56.55,56.61,56.11,56.14,53.84737087638048,3022.991401
1663351200000.0,2022-09-16 18:00:00,COMP/USDT,56.59,56.96,56.26,56.55,141.75057421750665,8015.994972
1663347600000.0,2022-09-16 17:00:00,COMP/USDT,56.77,56.93,56.18,56.59,131.49513942392647,7441.30994
1663344000000.0,2022-09-16 16:00:00,COMP/USDT,57.04,57.27,56.06,56.77,20.80391092126123,1181.038023
1663340400000.0,2022-09-16 15:00:00,COMP/USDT,56.63,57.22,56.62,57.05,168.72588625766872,9625.811811
1663336800000.0,2022-09-16 14:00:00,COMP/USDT,55.48,57.79,55.43,56.63,58.85572590499735,3332.999758
1663333200000.0,2022-09-16 13:00:00,COMP/USDT,56.1,56.55,55.43,55.48,67.32128336337419,3734.984801
1663329600000.0,2022-09-16 12:00:00,COMP/USDT,56.38,56.69,56.1,56.1,229.59558311942956,12880.312213
1663326000000.0,2022-09-16 11:00:00,COMP/USDT,55.8,56.66,55.5,56.38,58.85472229514012,3318.229243
1663322400000.0,2022-09-16 10:00:00,COMP/USDT,54.53,55.84,54.53,55.8,182.47369566308245,10182.032218
1663318800000.0,2022-09-16 09:00:00,COMP/USDT,52.54,54.97,52.54,54.53,141.0454285347515,7691.207218
1663315200000.0,2022-09-16 08:00:00,COMP/USDT,53.68,53.78,52.54,52.54,379.3933590026646,19933.327082
1663311600000.0,2022-09-16 07:00:00,COMP/USDT,53.54,53.78,53.45,53.68,334.0755547317437,17933.175778
1663308000000.0,2022-09-16 06:00:00,COMP/USDT,53.53,53.72,53.09,53.54,578.868563765409,30992.622904
1663304400000.0,2022-09-16 05:00:00,COMP/USDT,53.71,53.71,53.34,53.53,329.00606112460304,17611.694452
1663300800000.0,2022-09-16 04:00:00,COMP/USDT,54.2,54.4,53.66,53.71,167.3263131632843,8987.09628
1663297200000.0,2022-09-16 03:00:00,COMP/USDT,54.59,54.7,54.2,54.2,12.227821051660515,662.747901
1663293600000.0,2022-09-16 02:00:00,COMP/USDT,55.81,55.91,54.19,54.59,15.595564334127129,851.361857
1663290000000.0,2022-09-16 01:00:00,COMP/USDT,56.64,56.64,55.78,55.81,82.33495305500806,4595.11373
1663286400000.0,2022-09-16 00:00:00,COMP/USDT,56.64,56.92,55.84,56.64,26.155049576271185,1481.422008
1663282800000.0,2022-09-15 23:00:00,COMP/USDT,57.27,57.62,56.34,56.64,83.17395060028248,4710.972562
1663279200000.0,2022-09-15 22:00:00,COMP/USDT,56.93,57.27,56.32,57.27,163.4818843897328,9362.607519
1663275600000.0,2022-09-15 21:00:00,COMP/USDT,57.11,57.56,56.77,56.93,474.318783137186,27002.968324
1663272000000.0,2022-09-15 20:00:00,COMP/USDT,56.65,57.17,56.63,57.11,99.8254862545964,5701.03352
1663268400000.0,2022-09-15 19:00:00,COMP/USDT,57.12,57.39,56.55,56.65,143.0314098852604,8102.72937
1663264800000.0,2022-09-15 18:00:00,COMP/USDT,56.71,57.53,56.64,57.12,87.2304556372549,4982.603626
1663261200000.0,2022-09-15 17:00:00,COMP/USDT,56.65,58.24,56.62,56.71,89.010289560924,5047.773521
