https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENJ,Volume USDT
1663459200,2022-09-18 00:00:00,ENJ/USDT,0.5154,0.5156,0.5099,0.5109,3999.78151876,2048.343641051802
1663372800,2022-09-17 00:00:00,ENJ/USDT,0.4976,0.5156,0.4969,0.5148,243991.51981841,123813.10322987374
1663286400,2022-09-16 00:00:00,ENJ/USDT,0.4906,0.5014,0.4833,0.4977,440433.63142371,216168.863213191763
1663200000,2022-09-15 00:00:00,ENJ/USDT,0.5059,0.5087,0.4832,0.4904,593864.3850994,292652.599251689835
1663113600,2022-09-14 00:00:00,ENJ/USDT,0.4933,0.5114,0.4883,0.5068,271893.76098011,136147.394659508398
1663027200,2022-09-13 00:00:00,ENJ/USDT,0.5427,0.5481,0.4874,0.4932,886404.72101992,458418.690142169979
1662940800,2022-09-12 00:00:00,ENJ/USDT,0.5433,0.5671,0.5317,0.5426,927633.92399101,512612.6087776015
1662854400,2022-09-11 00:00:00,ENJ/USDT,0.5468,0.5593,0.5297,0.5433,621607.76148912,339878.290632435779
1662768000,2022-09-10 00:00:00,ENJ/USDT,0.5468,0.5545,0.5356,0.5466,623877.03782853,340109.899160341146
1662681600,2022-09-09 00:00:00,ENJ/USDT,0.5245,0.5547,0.5245,0.5465,1048684.08763512,568643.853984834183
1662595200,2022-09-08 00:00:00,ENJ/USDT,0.5217,0.5343,0.5043,0.5245,1039594.36539077,537021.762226726797
1662508800,2022-09-07 00:00:00,ENJ/USDT,0.483,0.5369,0.4735,0.5216,1641358.88968946,817820.422988862927
1662422400,2022-09-06 00:00:00,ENJ/USDT,0.5324,0.55,0.4813,0.4827,755189.75955018,388525.577479470047
1662336000,2022-09-05 00:00:00,ENJ/USDT,0.5353,0.5425,0.5172,0.5319,375928.78252466,198676.000643356126
1662249600,2022-09-04 00:00:00,ENJ/USDT,0.5206,0.5393,0.5185,0.535,500969.79897828,264594.489059437083
1662163200,2022-09-03 00:00:00,ENJ/USDT,0.5084,0.5237,0.5013,0.5206,221142.70042382,113199.869180295597
1662076800,2022-09-02 00:00:00,ENJ/USDT,0.5173,0.5317,0.5006,0.5084,232666.39267563,120320.894779160007
1661990400,2022-09-01 00:00:00,ENJ/USDT,0.5165,0.5216,0.4936,0.5166,537891.77872329,273055.177479398581
1661904000,2022-08-31 00:00:00,ENJ/USDT,0.515,0.5332,0.5131,0.5166,479212.54637262,250868.584800308056
1661817600,2022-08-30 00:00:00,ENJ/USDT,0.5269,0.5369,0.501,0.514,377856.00393925,197092.843652751062
1661731200,2022-08-29 00:00:00,ENJ/USDT,0.4896,0.5295,0.4847,0.5268,545002.60342745,275905.487656637977
1661644800,2022-08-28 00:00:00,ENJ/USDT,0.5088,0.5198,0.4866,0.4893,362807.10133311,183748.100465377775
1661558400,2022-08-27 00:00:00,ENJ/USDT,0.5094,0.5161,0.4982,0.5086,589252.72326402,299269.085274959845
1661472000,2022-08-26 00:00:00,ENJ/USDT,0.5707,0.5761,0.502,0.5098,1495807.00182946,813492.325533100435
1661385600,2022-08-25 00:00:00,ENJ/USDT,0.5614,0.5831,0.5589,0.5706,914221.10580264,521063.017471417511
1661299200,2022-08-24 00:00:00,ENJ/USDT,0.5676,0.5792,0.5523,0.5614,915967.176643,516016.309937231085
1661212800,2022-08-23 00:00:00,ENJ/USDT,0.5526,0.5722,0.5342,0.5673,962104.67035099,539575.482452797154
1661126400,2022-08-22 00:00:00,ENJ/USDT,0.5707,0.5707,0.5296,0.5525,972343.74012018,529836.306421347975
1661040000,2022-08-21 00:00:00,ENJ/USDT,0.5578,0.5796,0.5512,0.5701,775965.66112945,439111.497180956291
1660953600,2022-08-20 00:00:00,ENJ/USDT,0.5612,0.5766,0.5401,0.5578,1119445.55289251,629486.659459647029
1660867200,2022-08-19 00:00:00,ENJ/USDT,0.6167,0.6195,0.5498,0.5614,1971617.34893839,1137660.865253055795
1660780800,2022-08-18 00:00:00,ENJ/USDT,0.6441,0.6564,0.605,0.6171,998522.69006794,631908.127967888743
1660694400,2022-08-17 00:00:00,ENJ/USDT,0.672,0.6913,0.6368,0.6433,875228.44247329,578807.256832512434
1660608000,2022-08-16 00:00:00,ENJ/USDT,0.6802,0.6922,0.6655,0.6722,640952.04132422,436019.78881011127
1660521600,2022-08-15 00:00:00,ENJ/USDT,0.699,0.7237,0.6689,0.6804,1160821.62727751,805202.51769002948
1660435200,2022-08-14 00:00:00,ENJ/USDT,0.7027,0.7507,0.6811,0.6984,2178033.91465623,1561764.714387072133
1660348800,2022-08-13 00:00:00,ENJ/USDT,0.7039,0.7177,0.6961,0.7019,627236.90864867,443654.252704881956
1660262400,2022-08-12 00:00:00,ENJ/USDT,0.6925,0.7055,0.6772,0.7031,280021.6467776,193428.60365879321
1660176000,2022-08-11 00:00:00,ENJ/USDT,0.7007,0.7096,0.6868,0.6927,778632.80388719,544185.657563003992
1660089600,2022-08-10 00:00:00,ENJ/USDT,0.6703,0.7011,0.6526,0.7002,1381331.59930371,943863.021212914495
1660003200,2022-08-09 00:00:00,ENJ/USDT,0.6995,0.7092,0.6522,0.6697,707671.9785805,480487.375047710295
1659916800,2022-08-08 00:00:00,ENJ/USDT,0.6818,0.7377,0.6763,0.6994,1524441.25948675,1081587.171142879212
1659830400,2022-08-07 00:00:00,ENJ/USDT,0.6767,0.6923,0.663,0.6818,520917.19601143,353656.578025394588
1659744000,2022-08-06 00:00:00,ENJ/USDT,0.7077,0.7083,0.6746,0.6771,674019.06797148,465761.412502969319
1659657600,2022-08-05 00:00:00,ENJ/USDT,0.6837,0.709,0.6685,0.7079,1652928.71535817,1139430.344048317579
1659571200,2022-08-04 00:00:00,ENJ/USDT,0.6299,0.73,0.6285,0.6829,3590693.33189415,2419490.276169586641
1659484800,2022-08-03 00:00:00,ENJ/USDT,0.6075,0.6593,0.5943,0.6294,1319046.72199427,829398.905689934629
1659398400,2022-08-02 00:00:00,ENJ/USDT,0.644,0.6533,0.5973,0.6072,1214417.48213664,748826.526689042764
1659312000,2022-08-01 00:00:00,ENJ/USDT,0.6126,0.72,0.6095,0.6438,3925859.00364671,2592911.612736978378
1659225600,2022-07-31 00:00:00,ENJ/USDT,0.629,0.6569,0.6072,0.6132,1881133.71354172,1196721.990148697232
