https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1663462800,2022-09-18 01:00:00,EOS/USDT,1.4566,1.4569,1.4541,1.4547,2853.17081952,4151.978111459228
1663459200,2022-09-18 00:00:00,EOS/USDT,1.4712,1.4739,1.456,1.4567,64783.1766292,94720.244280445392
1663455600,2022-09-17 23:00:00,EOS/USDT,1.4782,1.4782,1.4686,1.4712,24494.38312882,36081.495057083088
1663452000,2022-09-17 22:00:00,EOS/USDT,1.4814,1.4823,1.4737,1.4776,28566.11936716,42223.5203049643
1663448400,2022-09-17 21:00:00,EOS/USDT,1.4697,1.4902,1.4692,1.4806,78603.64564652,116245.737476906843
1663444800,2022-09-17 20:00:00,EOS/USDT,1.4662,1.4761,1.4661,1.4708,34520.77063202,50826.932080759536
1663441200,2022-09-17 19:00:00,EOS/USDT,1.465,1.4795,1.4626,1.4658,48694.4123086,71609.757117191323
1663437600,2022-09-17 18:00:00,EOS/USDT,1.4612,1.4728,1.4612,1.465,34836.72000864,51104.2735505891
1663434000,2022-09-17 17:00:00,EOS/USDT,1.467,1.4801,1.4561,1.4617,90621.86590282,132944.580124612992
1663430400,2022-09-17 16:00:00,EOS/USDT,1.4649,1.4677,1.4558,1.467,81450.43060063,119258.548695263143
1663426800,2022-09-17 15:00:00,EOS/USDT,1.4632,1.4707,1.449,1.4651,63353.03202006,92692.623385082265
1663423200,2022-09-17 14:00:00,EOS/USDT,1.4484,1.4766,1.447,1.4633,118159.32786454,172894.403692037752
1663419600,2022-09-17 13:00:00,EOS/USDT,1.4288,1.4487,1.4285,1.4487,66475.63213204,95555.398557366008
1663416000,2022-09-17 12:00:00,EOS/USDT,1.4232,1.4308,1.4193,1.4284,34142.17646945,48679.059683171595
1663412400,2022-09-17 11:00:00,EOS/USDT,1.4236,1.4325,1.4227,1.4229,26714.31662979,38111.756175953216
1663408800,2022-09-17 10:00:00,EOS/USDT,1.4297,1.4299,1.4176,1.4238,28345.973705,40356.354612426381
1663405200,2022-09-17 09:00:00,EOS/USDT,1.4303,1.4306,1.4222,1.4288,29155.0235625,41569.0628451525
1663401600,2022-09-17 08:00:00,EOS/USDT,1.4295,1.4353,1.4264,1.4304,32776.51213066,46890.799765532646
1663398000,2022-09-17 07:00:00,EOS/USDT,1.4234,1.4302,1.418,1.4301,35216.74016094,50109.042979978218
1663394400,2022-09-17 06:00:00,EOS/USDT,1.4245,1.4275,1.4213,1.4239,56374.59922752,80249.603069870587
1663390800,2022-09-17 05:00:00,EOS/USDT,1.4322,1.445,1.4208,1.4246,99799.95988147,143026.276345876262
1663387200,2022-09-17 04:00:00,EOS/USDT,1.4325,1.4389,1.4316,1.4324,11475.49782386,16462.289560521201
1663383600,2022-09-17 03:00:00,EOS/USDT,1.432,1.4337,1.4276,1.432,32007.42921816,45794.474946319973
1663380000,2022-09-17 02:00:00,EOS/USDT,1.4339,1.4512,1.4304,1.4324,67439.16969752,97086.685214563316
1663376400,2022-09-17 01:00:00,EOS/USDT,1.4347,1.4372,1.4324,1.4341,29985.90747085,43007.208665118055
1663372800,2022-09-17 00:00:00,EOS/USDT,1.4237,1.4464,1.4203,1.4345,97563.99728221,139830.281670875026
