https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DYDX,Volume EUR
1663545600,2022-09-19 00:00:00,DYDX/EUR,1.209,1.209,1.209,1.209,0.00000000,0.0
1663459200,2022-09-18 00:00:00,DYDX/EUR,1.391,1.391,1.138,1.209,1159.19276411,1401.4640518089902
1663372800,2022-09-17 00:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663286400,2022-09-16 00:00:00,DYDX/EUR,1.323,1.338,1.323,1.334,1059.06999580,1412.7993743972002
1663200000,2022-09-15 00:00:00,DYDX/EUR,1.375,1.375,1.321,1.339,2227.79420273,2983.01643745547
1663113600,2022-09-14 00:00:00,DYDX/EUR,1.400,1.421,1.366,1.390,2135.38979434,2968.1918141326
1663027200,2022-09-13 00:00:00,DYDX/EUR,1.523,1.579,1.409,1.409,1862.61631525,2624.4263881872503
1662940800,2022-09-12 00:00:00,DYDX/EUR,1.604,1.604,1.523,1.552,413.79906387,642.21614712624
1662854400,2022-09-11 00:00:00,DYDX/EUR,1.590,1.636,1.577,1.610,2978.45888066,4795.3187978626
1662768000,2022-09-10 00:00:00,DYDX/EUR,1.556,1.615,1.556,1.583,1723.51871198,2728.33012106434
1662681600,2022-09-09 00:00:00,DYDX/EUR,1.454,1.568,1.454,1.568,4093.10848970,6417.9941118496
1662595200,2022-09-08 00:00:00,DYDX/EUR,1.476,1.476,1.423,1.436,662.09258900,950.7649578039999
1662508800,2022-09-07 00:00:00,DYDX/EUR,1.426,1.459,1.416,1.450,5910.34531135,8570.0007014575
1662422400,2022-09-06 00:00:00,DYDX/EUR,1.596,1.596,1.461,1.461,138.61734637,202.51994304657003
1662336000,2022-09-05 00:00:00,DYDX/EUR,1.593,1.595,1.593,1.595,439.77548507,701.44189868665
1662249600,2022-09-04 00:00:00,DYDX/EUR,1.563,1.601,1.563,1.593,491.37385910,782.7585575463
1662163200,2022-09-03 00:00:00,DYDX/EUR,1.535,1.556,1.521,1.550,1113.05170543,1725.2301434165001
1662076800,2022-09-02 00:00:00,DYDX/EUR,1.535,1.586,1.521,1.537,1199.17243436,1843.1280316113198
