https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XYO,Volume USDT
1663459200,2022-09-18 00:00:00,XYO/USDT,0.007679,0.00772,0.007679,0.007679,5123.559,39.5185574095
1663372800,2022-09-17 00:00:00,XYO/USDT,0.007644,0.007749,0.007526,0.007677,2249906.72,17158.5197113501
1663286400,2022-09-16 00:00:00,XYO/USDT,0.007816,0.007892,0.00752,0.007663,9171229.2818,70262.6273063124
1663200000,2022-09-15 00:00:00,XYO/USDT,0.00795,0.00945,0.007513,0.007818,55802794.6097,461485.4764949815
1663113600,2022-09-14 00:00:00,XYO/USDT,0.00788,0.00807,0.00778,0.007947,7302301.0002,57764.8797565775
1663027200,2022-09-13 00:00:00,XYO/USDT,0.008383,0.008683,0.00751,0.007899,20236848.6028,162441.6743856887
1662940800,2022-09-12 00:00:00,XYO/USDT,0.008364,0.009052,0.00797,0.008381,20292970.0787,172289.1462152802
1662854400,2022-09-11 00:00:00,XYO/USDT,0.007915,0.008999,0.00783,0.008362,19090616.6961801,159183.8710369124151
1662768000,2022-09-10 00:00:00,XYO/USDT,0.00779,0.007926,0.007706,0.007876,3118867.4543,24366.7594972385
1662681600,2022-09-09 00:00:00,XYO/USDT,0.007432,0.00792,0.007405,0.007809,10526380.8614,81364.2441512078
1662595200,2022-09-08 00:00:00,XYO/USDT,0.007623,0.007674,0.00736,0.007432,8088610.7773,60642.0293602554
1662508800,2022-09-07 00:00:00,XYO/USDT,0.007451,0.007743,0.007251,0.007622,8801692.0824,65857.2629343968
1662422400,2022-09-06 00:00:00,XYO/USDT,0.007862,0.00799,0.0072,0.007451,17265282.265,129065.2241711279
1662336000,2022-09-05 00:00:00,XYO/USDT,0.007894,0.007993,0.007797,0.00786,8174112.7839,64213.3201779587
1662249600,2022-09-04 00:00:00,XYO/USDT,0.007955,0.008195,0.007826,0.007894,5616187.4998,44818.9208009304
1662163200,2022-09-03 00:00:00,XYO/USDT,0.008131,0.008167,0.007799,0.00795,4726041.6687,37355.2669264923
1662076800,2022-09-02 00:00:00,XYO/USDT,0.007965,0.008186,0.007861,0.008136,4198257.0689,33920.7624235828
1661990400,2022-09-01 00:00:00,XYO/USDT,0.008,0.00817,0.00782,0.00797,7066936.0506,56134.2167709528
1661904000,2022-08-31 00:00:00,XYO/USDT,0.008102,0.008335,0.00795,0.008,7595268.26020194,61754.22162432626873
1661817600,2022-08-30 00:00:00,XYO/USDT,0.008519,0.008664,0.008053,0.008102,11034351.21307232,91970.31394297134687
1661731200,2022-08-29 00:00:00,XYO/USDT,0.00825,0.00959,0.00787,0.008535,46570627.46734562,406158.77841225575721
