https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GTC,Volume USDT
1663372800,2022-09-17 00:00:00,GTC/USDT,1.9252,1.9573,1.925,1.9377,761.164,1473.46655646
1663286400,2022-09-16 00:00:00,GTC/USDT,1.9335,1.9481,1.8448,1.9216,21744.7076,41386.37797586
1663200000,2022-09-15 00:00:00,GTC/USDT,2.0355,2.0355,1.9163,1.9393,27798.0286,54279.52107608
1663113600,2022-09-14 00:00:00,GTC/USDT,2.0192,2.0681,1.9653,2.0385,29901.9719,60449.00271717
1663027200,2022-09-13 00:00:00,GTC/USDT,2.1751,2.23,2.0052,2.0295,30806.8163,64176.89455196
1662940800,2022-09-12 00:00:00,GTC/USDT,2.3188,2.4237,2.1725,2.1865,24435.9293,57082.24900412
1662854400,2022-09-11 00:00:00,GTC/USDT,2.3326,2.443,2.292,2.3279,7941.7488,18851.78851523
1662768000,2022-09-10 00:00:00,GTC/USDT,2.36,2.4342,2.2968,2.3441,8559.2089,20206.95306926
1662681600,2022-09-09 00:00:00,GTC/USDT,2.2626,2.4575,2.2626,2.3598,22534.2144,53507.26692658
1662595200,2022-09-08 00:00:00,GTC/USDT,2.3882,2.414,2.2258,2.2614,7301.5645,16822.7440273
1662508800,2022-09-07 00:00:00,GTC/USDT,2.094,2.4121,2.066,2.3716,14597.312,33876.97654317
1662422400,2022-09-06 00:00:00,GTC/USDT,2.3411,2.418,2.0962,2.0962,10595.296,23684.1438825
1662336000,2022-09-05 00:00:00,GTC/USDT,2.3053,2.3589,2.25,2.3437,3980.2202,9135.55783378
1662249600,2022-09-04 00:00:00,GTC/USDT,2.2597,2.3254,2.2465,2.2977,4084.3691,9383.91705227
1662163200,2022-09-03 00:00:00,GTC/USDT,2.198,2.3067,2.1813,2.247,3887.5372,8788.72537992
1662076800,2022-09-02 00:00:00,GTC/USDT,2.278,2.2832,2.1487,2.199,3098.8125,6845.6333888
1661990400,2022-09-01 00:00:00,GTC/USDT,2.1517,2.292,2.125,2.2798,5956.0295,13136.05593536
1661904000,2022-08-31 00:00:00,GTC/USDT,2.0797,2.2901,2.0797,2.143,15300.4094,33462.59030726
1661817600,2022-08-30 00:00:00,GTC/USDT,2.1565,2.1783,2.0064,2.0677,5318.2496,11116.03854224
1661731200,2022-08-29 00:00:00,GTC/USDT,1.9692,2.1561,1.9478,2.1561,4935.3245,10165.13937207
1661644800,2022-08-28 00:00:00,GTC/USDT,2.1034,2.1379,1.9506,1.9599,16542.116,33957.19713689
1661558400,2022-08-27 00:00:00,GTC/USDT,2.1531,2.2179,2.0681,2.1108,5983.6513,13051.63915285
1661472000,2022-08-26 00:00:00,GTC/USDT,2.4517,2.4673,2.1376,2.138,8388.2175,19601.07329002
1661385600,2022-08-25 00:00:00,GTC/USDT,2.434,2.5177,2.418,2.4528,10391.9234,25702.12671801
1661299200,2022-08-24 00:00:00,GTC/USDT,2.4479,2.49,2.375,2.4181,6840.7194,16737.34386403
1661212800,2022-08-23 00:00:00,GTC/USDT,2.4267,2.4741,2.3424,2.434,27907.3726,67181.26276324
