https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MLN,Volume USDT
1663459200,2022-09-18 00:00:00,MLN/USDT,22.516,22.516,22.417,22.417,3.767,84.6922975
1663372800,2022-09-17 00:00:00,MLN/USDT,22.44,22.758,22.172,22.477,167.8161,3756.8089349
1663286400,2022-09-16 00:00:00,MLN/USDT,21.863,22.44,21.863,22.44,257.1378,5732.1082992
1663200000,2022-09-15 00:00:00,MLN/USDT,22.244,22.244,21.654,21.84,102.5568,2245.5974897
1663113600,2022-09-14 00:00:00,MLN/USDT,22.524,22.68,21.72,22.243,437.1536,9732.082744
1663027200,2022-09-13 00:00:00,MLN/USDT,24.052,24.8,22.417,22.417,271.9738,6398.8321979
1662940800,2022-09-12 00:00:00,MLN/USDT,23.844,24.36,23.64,23.915,55.8883,1340.0418092
1662854400,2022-09-11 00:00:00,MLN/USDT,23.943,24.111,23.681,23.76,48.5808,1163.4671327
1662768000,2022-09-10 00:00:00,MLN/USDT,23.85,24.072,23.396,23.873,97.1177,2297.7064886
1662681600,2022-09-09 00:00:00,MLN/USDT,22.635,23.943,22.635,23.807,443.6014,10437.321565
1662595200,2022-09-08 00:00:00,MLN/USDT,22.561,24.465,22.08,22.608,561.9917,13011.8267892
1662508800,2022-09-07 00:00:00,MLN/USDT,21.946,22.683,21.5,22.451,102.357,2237.6878599
1662422400,2022-09-06 00:00:00,MLN/USDT,23.071,23.631,21.497,21.96,550.6204,12491.8102694
1662336000,2022-09-05 00:00:00,MLN/USDT,23.492,23.597,22.8,23.042,33.8178,780.8371566
1662249600,2022-09-04 00:00:00,MLN/USDT,23.069,23.509,23.069,23.509,84.2401,1965.7608209
1662163200,2022-09-03 00:00:00,MLN/USDT,22.869,23.342,22.692,23.12,330.7043,7612.4121695
1662076800,2022-09-02 00:00:00,MLN/USDT,22.917,23.655,22.761,22.962,282.7458,6518.7845094
1661990400,2022-09-01 00:00:00,MLN/USDT,22.979,23.109,22.635,22.883,228.795,5242.2209753
1661904000,2022-08-31 00:00:00,MLN/USDT,22.853,23.744,22.845,23.008,539.3072,12570.9725607
1661817600,2022-08-30 00:00:00,MLN/USDT,23.725,24.161,22.56,22.853,280.1265,6488.0103506
1661731200,2022-08-29 00:00:00,MLN/USDT,23.073,23.825,22.723,23.65,351.1538,8188.9824497
1661644800,2022-08-28 00:00:00,MLN/USDT,24.27,24.433,23.071,23.071,93.5031,2226.5120006
1661558400,2022-08-27 00:00:00,MLN/USDT,24.018,25.363,23.866,24.209,567.0062,13939.5305304
1661472000,2022-08-26 00:00:00,MLN/USDT,26.073,26.073,24.023,24.023,424.663,10735.5257911
1661385600,2022-08-25 00:00:00,MLN/USDT,25.363,27.472,25.363,25.981,508.0054,13413.488379
1661299200,2022-08-24 00:00:00,MLN/USDT,25.127,25.64,24.627,25.157,128.5098,3232.8333714
1661212800,2022-08-23 00:00:00,MLN/USDT,25.263,25.69,24.738,25.127,364.0602,9193.2587458
1661126400,2022-08-22 00:00:00,MLN/USDT,24.8,27.2,24.112,25.263,909.8663,23113.4173505
1661040000,2022-08-21 00:00:00,MLN/USDT,24.6,28.572,24.6,24.899,733.1246,19194.9304827
1660953600,2022-08-20 00:00:00,MLN/USDT,24.4,31.269,24.355,24.356,1061.6607,27447.141935
1660867200,2022-08-19 00:00:00,MLN/USDT,26.409,26.409,23.401,24.588,453.4112,11242.9656417
