https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ONE
1663545600000,2022-09-19 00:00:00,ONE/BTC,9.7e-07,9.9e-07,9.6e-07,9.7e-07,0.0019022581818173001,1961.09090909
1663459200000,2022-09-18 00:00:00,ONE/BTC,1.05e-06,1.05e-06,9.5e-07,9.7e-07,0.1378526005177891,142116.08300803
1663372800000,2022-09-17 00:00:00,ONE/BTC,1.03e-06,1.05e-06,1.02e-06,1.05e-06,0.10969310791883849,104469.62658937
1663286400000,2022-09-16 00:00:00,ONE/BTC,1.03e-06,1.03e-06,1.02e-06,1.03e-06,0.029984698264634402,29111.35753848
1663200000000,2022-09-15 00:00:00,ONE/BTC,1.03e-06,1.04e-06,1.01e-06,1.03e-06,0.03397398957710301,32984.4559001
1663113600000,2022-09-14 00:00:00,ONE/BTC,1.03e-06,1.05e-06,1.02e-06,1.04e-06,0.0184667236536744,17756.46505161
1663027200000,2022-09-13 00:00:00,ONE/BTC,1.02e-06,1.05e-06,9.9e-07,1.03e-06,0.11292813974719021,109638.97062834
1662940800000,2022-09-12 00:00:00,ONE/BTC,9.9e-07,1.06e-06,9.9e-07,1.02e-06,0.1004947722411078,98524.28651089
1662854400000,2022-09-11 00:00:00,ONE/BTC,1.02e-06,1.03e-06,9.9e-07,9.9e-07,0.0100230061018527,10124.24858773
1662768000000,2022-09-10 00:00:00,ONE/BTC,1.02e-06,1.04e-06,1.01e-06,1.01e-06,0.025781643267649205,25526.37947292
1662681600000,2022-09-09 00:00:00,ONE/BTC,1.04e-06,1.05e-06,1.02e-06,1.02e-06,0.019461087944190002,19079.4979845
1662595200000,2022-09-08 00:00:00,ONE/BTC,1.03e-06,1.06e-06,1.02e-06,1.04e-06,0.0178825535836168,17194.76306117
1662508800000,2022-09-07 00:00:00,ONE/BTC,1e-06,1.04e-06,1e-06,1.03e-06,0.013635772678663902,13238.61425113
1662422400000,2022-09-06 00:00:00,ONE/BTC,1.04e-06,1.09e-06,1e-06,1e-06,0.049001254209,49001.254209
1662336000000,2022-09-05 00:00:00,ONE/BTC,1.05e-06,1.08e-06,1.04e-06,1.04e-06,0.0390878340043152,37584.45577338
1662249600000,2022-09-04 00:00:00,ONE/BTC,1.02e-06,1.05e-06,1.02e-06,1.05e-06,0.016862999999989498,16059.99999999
