https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB3S,Volume USDT
1663459200,2022-09-18 00:00:00,BNB3S/USDT,1.7401,1.7647,1.7401,1.7647,348.1319,609.0708527
1663372800,2022-09-17 00:00:00,BNB3S/USDT,1.8185,1.8185,1.7185,1.7186,8120.4096,14312.92536248
1663286400,2022-09-16 00:00:00,BNB3S/USDT,1.905,1.933,1.7862,1.8189,20409.8866,37638.6139199
1663200000,2022-09-15 00:00:00,BNB3S/USDT,1.7451,1.974,1.7291,1.8914,17036.1866,31356.03187273
1663113600,2022-09-14 00:00:00,BNB3S/USDT,1.7954,1.85,1.6933,1.733,16421.4265,28902.20881781
1663027200,2022-09-13 00:00:00,BNB3S/USDT,1.5461,1.809,1.4602,1.7883,27655.9663,45706.93227917
1662940800,2022-09-12 00:00:00,BNB3S/USDT,1.5197,1.5715,1.445,1.5375,11148.5043,16935.9967204
1662854400,2022-09-11 00:00:00,BNB3S/USDT,1.4817,1.5873,1.4719,1.51,10092.8411,15482.54597317
1662768000,2022-09-10 00:00:00,BNB3S/USDT,1.551,1.5872,1.4622,1.4897,5724.819,8722.06822887
1662681600,2022-09-09 00:00:00,BNB3S/USDT,1.7774,1.7794,1.5,1.544,33855.0818,54423.20798234
1662595200,2022-09-08 00:00:00,BNB3S/USDT,1.8256,1.8949,1.7595,1.7856,21971.7889,39839.3671469
1662508800,2022-09-07 00:00:00,BNB3S/USDT,2.2463,2.3441,1.7895,1.8266,19530.2264,41042.23913476
1662422400,2022-09-06 00:00:00,BNB3S/USDT,1.9343,2.2669,1.7198,2.2589,27917.52952067,56252.774689556921
1662336000,2022-09-05 00:00:00,BNB3S/USDT,1.8947,2.0144,1.8465,1.9344,25639.263,50459.68411651
1662249600,2022-09-04 00:00:00,BNB3S/USDT,1.921,1.9798,1.8764,1.9103,7168.8248,13739.07596172
1662163200,2022-09-03 00:00:00,BNB3S/USDT,1.9521,1.9995,1.9201,1.9379,9108.4411,17778.74913549
1662076800,2022-09-02 00:00:00,BNB3S/USDT,1.9521,2.0161,1.8306,1.963,24498.5919,46840.5885048
