https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume ETH
1663459200,2022-09-18 00:00:00,MANA/ETH,0.0005143,0.0005158,0.0005143,0.0005158,48.5043,0.02498786937
1663372800,2022-09-17 00:00:00,MANA/ETH,0.0005179,0.0005223,0.0005079,0.0005117,7512.3012,3.86169192136
1663286400,2022-09-16 00:00:00,MANA/ETH,0.000487,0.0005188,0.0004863,0.0005177,11602.0277,5.86285832977
1663200000,2022-09-15 00:00:00,MANA/ETH,0.0004547,0.0004903,0.0004477,0.0004879,12113.5144,5.62541715555
1663113600,2022-09-14 00:00:00,MANA/ETH,0.0004629,0.0004659,0.0004536,0.0004536,2186.1875,1.00262684464
1663027200,2022-09-13 00:00:00,MANA/ETH,0.0004623,0.0004724,0.000455,0.0004655,5925.45,2.73861364052
1662940800,2022-09-12 00:00:00,MANA/ETH,0.0004545,0.000471,0.000454,0.0004624,11224.0321,5.13545886617
1662854400,2022-09-11 00:00:00,MANA/ETH,0.0004607,0.0004635,0.0004545,0.0004547,12791.0917,5.85740257977
1662768000,2022-09-10 00:00:00,MANA/ETH,0.0004699,0.0004833,0.0004576,0.0004576,4422.0798,2.08156770188
1662681600,2022-09-09 00:00:00,MANA/ETH,0.0004732,0.0004783,0.0004647,0.0004685,9874.1349,4.65122736619
1662595200,2022-09-08 00:00:00,MANA/ETH,0.0004686,0.000474,0.000464,0.0004727,9225.0619,4.32618894997
1662508800,2022-09-07 00:00:00,MANA/ETH,0.0004713,0.0004866,0.0004641,0.0004697,4779.5535,2.2740562572
1662422400,2022-09-06 00:00:00,MANA/ETH,0.0004879,0.0004899,0.000466,0.0004727,3197.0527,1.51740137919
1662336000,2022-09-05 00:00:00,MANA/ETH,0.0005116,0.0005143,0.0004871,0.0004871,1738.7831,0.86883400862
1662249600,2022-09-04 00:00:00,MANA/ETH,0.0005046,0.000526,0.0005038,0.0005109,3983.8644,2.05426900473
1662163200,2022-09-03 00:00:00,MANA/ETH,0.0004929,0.0005071,0.0004917,0.0005071,2226.9778,1.11057949798
1662076800,2022-09-02 00:00:00,MANA/ETH,0.0004923,0.0004967,0.0004826,0.0004923,1789.6895,0.87860102566
1661990400,2022-09-01 00:00:00,MANA/ETH,0.0004967,0.0004974,0.0004889,0.0004918,3422.2758,1.68773316193
1661904000,2022-08-31 00:00:00,MANA/ETH,0.0005047,0.0005049,0.0004911,0.0004968,3390.9648,1.68861008329
1661817600,2022-08-30 00:00:00,MANA/ETH,0.0005131,0.0005171,0.0004967,0.0005071,5690.9172,2.87142330963
1661731200,2022-08-29 00:00:00,MANA/ETH,0.0005244,0.000527,0.0005078,0.0005108,2240.7985,1.15709604065
1661644800,2022-08-28 00:00:00,MANA/ETH,0.0005199,0.0005301,0.000518,0.0005259,3012.7843,1.58132337048
1661558400,2022-08-27 00:00:00,MANA/ETH,0.0005145,0.000527,0.0005097,0.0005199,4825.1983,2.49565720844
1661472000,2022-08-26 00:00:00,MANA/ETH,0.0004951,0.0005163,0.0004911,0.0005163,12875.8038,6.41840124406
1661385600,2022-08-25 00:00:00,MANA/ETH,0.0005023,0.0005023,0.0004864,0.0004956,150440.9042,74.78177161492
1661299200,2022-08-24 00:00:00,MANA/ETH,0.0005037,0.0005097,0.0005023,0.0005023,949.7068,0.48045714602
1661212800,2022-08-23 00:00:00,MANA/ETH,0.0005118,0.0005179,0.0004989,0.0005026,2492.009,1.26474052595
1661126400,2022-08-22 00:00:00,MANA/ETH,0.0005265,0.0005283,0.0005116,0.0005116,1512.98,0.78772124127
1661040000,2022-08-21 00:00:00,MANA/ETH,0.0005268,0.0005343,0.0005191,0.0005263,3470.7333,1.82381739681
1660953600,2022-08-20 00:00:00,MANA/ETH,0.0005245,0.0005323,0.0005167,0.0005283,2752.5504,1.44089188252
1660867200,2022-08-19 00:00:00,MANA/ETH,0.0005023,0.0005243,0.0004803,0.0005225,5984.5371,2.99320836637
