https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SKL,Volume USDT
1663459200,2022-09-18 00:00:00,SKL/USDT,0.04208,0.04212,0.04167,0.04181,51845.99866306,2164.2223631641002
1663372800,2022-09-17 00:00:00,SKL/USDT,0.04127,0.0423,0.04104,0.04218,928200.79273067,38683.8327644597949
1663286400,2022-09-16 00:00:00,SKL/USDT,0.04083,0.0414,0.0395,0.04107,1719213.79888848,70289.2345867278192
1663200000,2022-09-15 00:00:00,SKL/USDT,0.04303,0.04303,0.0405,0.04079,1492730.10259136,62088.9991728023848
1663113600,2022-09-14 00:00:00,SKL/USDT,0.04378,0.04484,0.04195,0.043,1121532.07987263,48837.8231845903196
1663027200,2022-09-13 00:00:00,SKL/USDT,0.04898,0.04898,0.04386,0.04421,2072632.10510012,94438.8349226649587
1662940800,2022-09-12 00:00:00,SKL/USDT,0.04984,0.05185,0.04794,0.04925,1056457.41044839,53068.0618042999167
1662854400,2022-09-11 00:00:00,SKL/USDT,0.0515,0.05459,0.04895,0.05009,1235761.12623884,62592.242141819055
1662768000,2022-09-10 00:00:00,SKL/USDT,0.05195,0.0531,0.05009,0.05098,1228845.47185551,63489.7255818856894
1662681600,2022-09-09 00:00:00,SKL/USDT,0.04841,0.05233,0.04841,0.0519,1938163.12987861,98482.7453334465705
1662595200,2022-09-08 00:00:00,SKL/USDT,0.04765,0.0495,0.04629,0.04824,1045059.23107911,50184.4795974694193
1662508800,2022-09-07 00:00:00,SKL/USDT,0.04525,0.04809,0.0446,0.04759,1793010.9670504,83495.1961675401931
1662422400,2022-09-06 00:00:00,SKL/USDT,0.0496,0.05196,0.04513,0.04513,2317143.95025766,113510.5592444108025
1662336000,2022-09-05 00:00:00,SKL/USDT,0.05073,0.05249,0.04833,0.04958,1040453.72885835,52156.6503649079849
1662249600,2022-09-04 00:00:00,SKL/USDT,0.04864,0.05086,0.0481,0.05083,1122899.86120328,55683.8913795285642
1662163200,2022-09-03 00:00:00,SKL/USDT,0.04859,0.04879,0.04787,0.04861,410970.27543145,19872.1778868200828
1662076800,2022-09-02 00:00:00,SKL/USDT,0.04883,0.05,0.0475,0.04844,886202.5793785,43057.0830932658057
1661990400,2022-09-01 00:00:00,SKL/USDT,0.04853,0.0489,0.04647,0.04868,1306526.88906534,62427.6870297724889
1661904000,2022-08-31 00:00:00,SKL/USDT,0.04873,0.05071,0.04809,0.04845,1820552.08668749,90042.430878712656
1661817600,2022-08-30 00:00:00,SKL/USDT,0.04927,0.05052,0.04678,0.04859,1700651.94279659,82424.8994916428664
1661731200,2022-08-29 00:00:00,SKL/USDT,0.04562,0.0496,0.045,0.04921,1153828.33524896,54943.3914163424456
