https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XSR,Volume USDT
1663459200,2022-09-18 00:00:00,XSR/USDT,0.0001439,0.000144,0.000141,0.000144,2620844.7469,372.88456405343
1663372800,2022-09-17 00:00:00,XSR/USDT,0.000138,0.0001465,0.0001361,0.0001439,105112888.956,14895.06633750323
1663286400,2022-09-16 00:00:00,XSR/USDT,0.0001364,0.0001415,0.0001286,0.0001387,57717191.5233,7754.325984042
1663200000,2022-09-15 00:00:00,XSR/USDT,0.0001441,0.0001466,0.0001349,0.0001364,63745986.1025,8936.26604525225
1663113600,2022-09-14 00:00:00,XSR/USDT,0.0001434,0.0001464,0.0001398,0.0001453,37702423.8478,5405.39791210257
1663027200,2022-09-13 00:00:00,XSR/USDT,0.000145,0.0001492,0.0001394,0.0001419,54284370.6546,7825.18817394904
1662940800,2022-09-12 00:00:00,XSR/USDT,0.0001472,0.0001614,0.0001431,0.000145,237965244.3627,35983.39821588668
1662854400,2022-09-11 00:00:00,XSR/USDT,0.0001469,0.0001631,0.0001431,0.0001457,231062440.9703,34853.36956819976
1662768000,2022-09-10 00:00:00,XSR/USDT,0.0001437,0.000152,0.000141,0.0001457,101756324.725,14897.40100048736
1662681600,2022-09-09 00:00:00,XSR/USDT,0.0001431,0.0001442,0.0001394,0.0001437,35437156.6752,5037.26159953921
1662595200,2022-09-08 00:00:00,XSR/USDT,0.0001463,0.0001529,0.0001383,0.0001431,141688438.692,20579.15757798311
1662508800,2022-09-07 00:00:00,XSR/USDT,0.0001345,0.0001828,0.000129,0.0001475,776264056.8929,117664.53156589439
1662422400,2022-09-06 00:00:00,XSR/USDT,0.0001373,0.000138,0.0001331,0.0001331,80673681.3904,10980.23271490097
1662336000,2022-09-05 00:00:00,XSR/USDT,0.000134,0.0001415,0.0001333,0.0001373,55523344.2625,7625.47583998021
1662249600,2022-09-04 00:00:00,XSR/USDT,0.0001344,0.000146,0.0001344,0.0001353,83856582.0739,11662.2942570018
1662163200,2022-09-03 00:00:00,XSR/USDT,0.0001357,0.000138,0.000133,0.0001344,35782725.0749,4843.26656596962
1662076800,2022-09-02 00:00:00,XSR/USDT,0.0001364,0.0001391,0.0001347,0.0001357,36638044.8203,5003.60781657082
1661990400,2022-09-01 00:00:00,XSR/USDT,0.0001399,0.00014,0.000135,0.0001364,33748894.378,4643.46078535823
1661904000,2022-08-31 00:00:00,XSR/USDT,0.0001393,0.000143,0.0001378,0.0001399,39549890.9071,5565.25219685996
1661817600,2022-08-30 00:00:00,XSR/USDT,0.000144,0.0001453,0.0001374,0.0001395,41959469.3357,5927.52070443122
1661731200,2022-08-29 00:00:00,XSR/USDT,0.0001375,0.0001511,0.000135,0.000143,66632574.4822,9504.89949861751
1661644800,2022-08-28 00:00:00,XSR/USDT,0.000141,0.0001443,0.0001374,0.0001376,63169953.2083,8939.41924269989
1661558400,2022-08-27 00:00:00,XSR/USDT,0.0001376,0.000143,0.0001355,0.0001398,73038933.6298,10083.72869370376
1661472000,2022-08-26 00:00:00,XSR/USDT,0.0001459,0.000146,0.0001355,0.0001391,55967918.3556,7849.96628809244
1661385600,2022-08-25 00:00:00,XSR/USDT,0.000147,0.0001479,0.0001435,0.000145,51403389.3364,7484.4600371255
1661299200,2022-08-24 00:00:00,XSR/USDT,0.000149,0.0001508,0.0001398,0.000147,143998560.9857,20910.38445769347
1661212800,2022-08-23 00:00:00,XSR/USDT,0.000137,0.0001571,0.0001367,0.0001491,441235854.5996,65492.95571936763
1661126400,2022-08-22 00:00:00,XSR/USDT,0.0001431,0.0001431,0.0001355,0.000138,44065980.6136,6129.60436538765
1661040000,2022-08-21 00:00:00,XSR/USDT,0.0001519,0.0001519,0.0001393,0.000143,101366950.3777,14561.90440053793
1660953600,2022-08-20 00:00:00,XSR/USDT,0.0001388,0.0001604,0.0001347,0.0001519,335689290.4878,48671.186711039506686
1660867200,2022-08-19 00:00:00,XSR/USDT,0.000149,0.000149,0.0001348,0.0001389,147028857.0539,20695.01780999328
1660780800,2022-08-18 00:00:00,XSR/USDT,0.0001531,0.000158,0.000146,0.00015,205829285.68282144,30948.671066770688128
1660694400,2022-08-17 00:00:00,XSR/USDT,0.0001735,0.0001829,0.0001487,0.0001531,423244752.61677856,69827.474269327681872
1660608000,2022-08-16 00:00:00,XSR/USDT,0.0001599,0.000186,0.0001594,0.0001731,673415194.4786,115578.16984284805
1660521600,2022-08-15 00:00:00,XSR/USDT,0.0001543,0.0001663,0.00015,0.00016,127761688.2354,20299.60113530107
1660435200,2022-08-14 00:00:00,XSR/USDT,0.000156,0.000171,0.0001513,0.0001526,171431711.9086,27400.31112851566
1660348800,2022-08-13 00:00:00,XSR/USDT,0.0001551,0.0001579,0.0001526,0.000156,52910226.78,8216.00935684149
1660262400,2022-08-12 00:00:00,XSR/USDT,0.0001567,0.0001572,0.000154,0.0001562,30599826.1489,4757.2992271518
1660176000,2022-08-11 00:00:00,XSR/USDT,0.0001676,0.000173,0.0001561,0.0001567,103124207.5004,16741.93928854089
1660089600,2022-08-10 00:00:00,XSR/USDT,0.0001589,0.00017,0.000151,0.0001679,204488066.2205,32392.43353294994
1660003200,2022-08-09 00:00:00,XSR/USDT,0.000159,0.0001603,0.0001541,0.0001589,124429728.9542,19662.65952552329
