https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AKT,Volume USDT
1663459200,2022-09-18 00:00:00,AKT/USDT,0.3422,0.3438,0.3398,0.3398,1111.6351,378.98943338
1663455600,2022-09-17 23:00:00,AKT/USDT,0.3422,0.3422,0.3422,0.3422,0,0
1663452000,2022-09-17 22:00:00,AKT/USDT,0.3422,0.3422,0.3422,0.3422,0,0
1663448400,2022-09-17 21:00:00,AKT/USDT,0.3457,0.3468,0.3422,0.3422,1754.3397,606.33516215
1663444800,2022-09-17 20:00:00,AKT/USDT,0.344,0.3457,0.344,0.3457,1345.732,464.6657392
1663441200,2022-09-17 19:00:00,AKT/USDT,0.3417,0.3444,0.3389,0.344,808.2519,277.14448557
1663437600,2022-09-17 18:00:00,AKT/USDT,0.341,0.3414,0.341,0.3414,222.1289,75.7667193
1663434000,2022-09-17 17:00:00,AKT/USDT,0.3397,0.341,0.3397,0.341,571.062,194.23998519
1663430400,2022-09-17 16:00:00,AKT/USDT,0.3382,0.3397,0.3365,0.3397,450.189,152.6094334
1663426800,2022-09-17 15:00:00,AKT/USDT,0.3398,0.34,0.3305,0.3382,8733.6654,2920.92949535
1663423200,2022-09-17 14:00:00,AKT/USDT,0.34,0.34,0.34,0.34,438.258,149.00772
1663419600,2022-09-17 13:00:00,AKT/USDT,0.3418,0.3418,0.34,0.34,3033.0913,1032.3089576
1663416000,2022-09-17 12:00:00,AKT/USDT,0.345,0.345,0.345,0.345,0,0
1663412400,2022-09-17 11:00:00,AKT/USDT,0.3428,0.345,0.3416,0.345,362.0886,124.20029644
1663408800,2022-09-17 10:00:00,AKT/USDT,0.3436,0.3462,0.3436,0.3436,135.0014,46.49885516
1663405200,2022-09-17 09:00:00,AKT/USDT,0.3382,0.3462,0.3382,0.345,2080.4628,714.38337154
1663401600,2022-09-17 08:00:00,AKT/USDT,0.34,0.34,0.3362,0.3382,653.0541,220.28778943
1663398000,2022-09-17 07:00:00,AKT/USDT,0.3378,0.3378,0.3378,0.3378,0,0
1663394400,2022-09-17 06:00:00,AKT/USDT,0.34,0.344,0.3378,0.3378,2360.0156,804.44313491
1663390800,2022-09-17 05:00:00,AKT/USDT,0.34,0.3401,0.3368,0.3397,402.5996,136.02817236
1663387200,2022-09-17 04:00:00,AKT/USDT,0.34,0.34,0.34,0.34,1.3235,0.44999
1663383600,2022-09-17 03:00:00,AKT/USDT,0.34,0.34,0.34,0.34,1.1703,0.397902
1663380000,2022-09-17 02:00:00,AKT/USDT,0.3372,0.3372,0.3372,0.3372,0,0
1663376400,2022-09-17 01:00:00,AKT/USDT,0.3401,0.3401,0.3372,0.3372,4321.3004,1457.30013084
1663372800,2022-09-17 00:00:00,AKT/USDT,0.3395,0.3414,0.3372,0.3401,3539.8853,1194.94271414
1663369200,2022-09-16 23:00:00,AKT/USDT,0.3389,0.3395,0.3355,0.3395,6889.1399,2326.93065792
1663365600,2022-09-16 22:00:00,AKT/USDT,0.3388,0.3407,0.3388,0.3407,37.4126,12.74338247
1663362000,2022-09-16 21:00:00,AKT/USDT,0.3382,0.3407,0.3372,0.3407,2504.4587,846.78185174
1663358400,2022-09-16 20:00:00,AKT/USDT,0.3382,0.3382,0.3382,0.3382,0,0
1663354800,2022-09-16 19:00:00,AKT/USDT,0.3382,0.3382,0.3382,0.3382,2.9568,0.99998976
1663351200,2022-09-16 18:00:00,AKT/USDT,0.3372,0.3372,0.3362,0.3362,94.0968,31.63651236
1663347600,2022-09-16 17:00:00,AKT/USDT,0.3355,0.3423,0.3355,0.3362,3268.7704,1111.08752359
1663344000,2022-09-16 16:00:00,AKT/USDT,0.3374,0.3377,0.3338,0.3338,889.7652,298.46389513
1663340400,2022-09-16 15:00:00,AKT/USDT,0.3353,0.3372,0.3353,0.3372,645.6776,217.19529703
1663336800,2022-09-16 14:00:00,AKT/USDT,0.3329,0.3353,0.3329,0.3353,491.3656,164.13513186
1663333200,2022-09-16 13:00:00,AKT/USDT,0.3351,0.3371,0.3302,0.3302,1046.5733,348.37320983
1663329600,2022-09-16 12:00:00,AKT/USDT,0.3298,0.337,0.3288,0.3332,4749.7703,1577.22290509
1663326000,2022-09-16 11:00:00,AKT/USDT,0.3288,0.332,0.3254,0.3313,2668.0552,877.7967788
1663322400,2022-09-16 10:00:00,AKT/USDT,0.3248,0.3288,0.3248,0.3288,924.0179,303.50730699
1663318800,2022-09-16 09:00:00,AKT/USDT,0.3242,0.3274,0.3221,0.3256,3673.6298,1195.86460612
1663315200,2022-09-16 08:00:00,AKT/USDT,0.3228,0.331,0.3228,0.3242,7102.9886,2326.1235314
1663311600,2022-09-16 07:00:00,AKT/USDT,0.3287,0.3287,0.3149,0.3223,39133.6583,12537.25715664
1663308000,2022-09-16 06:00:00,AKT/USDT,0.3287,0.3353,0.3256,0.3287,8337.2578,2766.13135222
1663304400,2022-09-16 05:00:00,AKT/USDT,0.3287,0.3287,0.3287,0.3287,0,0
1663300800,2022-09-16 04:00:00,AKT/USDT,0.3287,0.3287,0.3287,0.3287,30.3742,9.98399954
1663297200,2022-09-16 03:00:00,AKT/USDT,0.326,0.326,0.326,0.326,0,0
1663293600,2022-09-16 02:00:00,AKT/USDT,0.326,0.326,0.326,0.326,1.9897,0.6486422
1663290000,2022-09-16 01:00:00,AKT/USDT,0.328,0.3287,0.326,0.326,443.0644,145.20079235
1663286400,2022-09-16 00:00:00,AKT/USDT,0.3278,0.328,0.3248,0.328,2173.3876,711.66991676
1663282800,2022-09-15 23:00:00,AKT/USDT,0.3278,0.328,0.3278,0.328,61.3886,20.13401746
1663279200,2022-09-15 22:00:00,AKT/USDT,0.3266,0.328,0.3266,0.328,879.963,288.18151796
1663275600,2022-09-15 21:00:00,AKT/USDT,0.3256,0.3256,0.3256,0.3256,167.6527,54.58771912
1663272000,2022-09-15 20:00:00,AKT/USDT,0.324,0.3274,0.324,0.3242,154.7911,50.63502705
1663268400,2022-09-15 19:00:00,AKT/USDT,0.3227,0.327,0.3227,0.3242,1559.7404,508.37636815
1663264800,2022-09-15 18:00:00,AKT/USDT,0.3247,0.3247,0.3227,0.3227,247.3788,79.83390656
1663261200,2022-09-15 17:00:00,AKT/USDT,0.3244,0.3254,0.3244,0.3246,181.1573,58.7986426
1663257600,2022-09-15 16:00:00,AKT/USDT,0.3216,0.3216,0.3216,0.3216,452.4863,145.51959408
1663254000,2022-09-15 15:00:00,AKT/USDT,0.3226,0.3249,0.3216,0.3249,171.2865,55.16073324
1663250400,2022-09-15 14:00:00,AKT/USDT,0.3231,0.3231,0.3226,0.3226,127.3432,41.09354837
1663246800,2022-09-15 13:00:00,AKT/USDT,0.3231,0.3231,0.3231,0.3231,2.0488,0.66196728
1663243200,2022-09-15 12:00:00,AKT/USDT,0.3231,0.3231,0.3231,0.3231,4.5551,1.47175281
1663239600,2022-09-15 11:00:00,AKT/USDT,0.3231,0.3231,0.3231,0.3231,0,0
1663236000,2022-09-15 10:00:00,AKT/USDT,0.3231,0.3231,0.3231,0.3231,254.935,82.3694985
1663232400,2022-09-15 09:00:00,AKT/USDT,0.3231,0.3231,0.3231,0.3231,1.161,0.3751191
1663228800,2022-09-15 08:00:00,AKT/USDT,0.3203,0.326,0.3198,0.326,2360.0463,761.60781036
1663225200,2022-09-15 07:00:00,AKT/USDT,0.3195,0.3195,0.3179,0.3179,12.589,4.00440086
1663221600,2022-09-15 06:00:00,AKT/USDT,0.3153,0.32,0.3153,0.3192,2296.0825,729.83113923
1663218000,2022-09-15 05:00:00,AKT/USDT,0.3149,0.3149,0.3149,0.3149,0,0
1663214400,2022-09-15 04:00:00,AKT/USDT,0.3133,0.3149,0.3133,0.3149,6.987,2.19527537
1663210800,2022-09-15 03:00:00,AKT/USDT,0.3139,0.3153,0.3132,0.3153,36.6215,11.52206843
1663207200,2022-09-15 02:00:00,AKT/USDT,0.3148,0.3148,0.3112,0.3147,2292.9714,716.49704659
1663203600,2022-09-15 01:00:00,AKT/USDT,0.3204,0.3204,0.3151,0.3151,3145.4024,1000.53284344
1663200000,2022-09-15 00:00:00,AKT/USDT,0.3206,0.3224,0.3204,0.3224,6.0545,1.94644198
1663196400,2022-09-14 23:00:00,AKT/USDT,0.3206,0.3236,0.3206,0.3224,1060.6821,342.44797505
1663192800,2022-09-14 22:00:00,AKT/USDT,0.3176,0.3238,0.3176,0.3206,3267.9733,1054.4062422
1663189200,2022-09-14 21:00:00,AKT/USDT,0.3163,0.3208,0.316,0.3176,1534.0091,488.08671508
1663185600,2022-09-14 20:00:00,AKT/USDT,0.3147,0.3162,0.3144,0.3162,792.2098,249.83596106
1663182000,2022-09-14 19:00:00,AKT/USDT,0.3208,0.3239,0.3,0.3147,26417.9173,8231.57842065
1663178400,2022-09-14 18:00:00,AKT/USDT,0.3236,0.3236,0.318,0.3208,1910.5372,612.53396041
1663174800,2022-09-14 17:00:00,AKT/USDT,0.3254,0.3269,0.3236,0.3256,20.9078,6.82234924
1663171200,2022-09-14 16:00:00,AKT/USDT,0.3238,0.3242,0.3238,0.3242,27.1766,8.81003952
1663167600,2022-09-14 15:00:00,AKT/USDT,0.3242,0.3242,0.3242,0.3242,85.262,27.6419404
1663164000,2022-09-14 14:00:00,AKT/USDT,0.3271,0.3271,0.3242,0.3242,218.7477,71.41386896
1663160400,2022-09-14 13:00:00,AKT/USDT,0.3259,0.3272,0.3242,0.3242,619.2898,202.48486369
1663156800,2022-09-14 12:00:00,AKT/USDT,0.3216,0.3259,0.3216,0.3226,633.1065,205.74558728
1663153200,2022-09-14 11:00:00,AKT/USDT,0.3242,0.3242,0.3223,0.3223,5.8729,1.89970553
