https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HYDRA,Volume USDT
1663459200,2022-09-18 00:00:00,HYDRA/USDT,2.52,2.54,2.516,2.516,223.1347,563.2411216
1663372800,2022-09-17 00:00:00,HYDRA/USDT,2.421,2.54,2.368,2.517,29597.3885,72218.983926
1663286400,2022-09-16 00:00:00,HYDRA/USDT,2.52,2.553,2.356,2.421,29474.68174723,72048.36099658589
1663200000,2022-09-15 00:00:00,HYDRA/USDT,2.586,2.586,2.446,2.5,31031.4954,77762.4402357
1663113600,2022-09-14 00:00:00,HYDRA/USDT,2.524,2.586,2.498,2.586,20050.3455,51246.5403926
1663027200,2022-09-13 00:00:00,HYDRA/USDT,2.602,2.656,2.454,2.524,52461.3953,134171.0324962
1662940800,2022-09-12 00:00:00,HYDRA/USDT,2.632,2.685,2.6,2.622,26322.8,69307.6495247
1662854400,2022-09-11 00:00:00,HYDRA/USDT,2.73,2.731,2.619,2.633,27212.7788,72613.1758629
1662768000,2022-09-10 00:00:00,HYDRA/USDT,2.724,2.751,2.656,2.73,26539.405,71652.6816985
1662681600,2022-09-09 00:00:00,HYDRA/USDT,2.664,2.826,2.631,2.704,69493.5595,190216.8593692
1662595200,2022-09-08 00:00:00,HYDRA/USDT,2.753,2.784,2.608,2.656,41771.2168,112309.9079119
1662508800,2022-09-07 00:00:00,HYDRA/USDT,2.64,2.781,2.619,2.746,27332.5621,73815.4438332
1662422400,2022-09-06 00:00:00,HYDRA/USDT,2.711,2.781,2.628,2.638,38147.4922,103146.8439884
1662336000,2022-09-05 00:00:00,HYDRA/USDT,2.862,2.88,2.55,2.707,112478.43518893,301585.8626501324
1662249600,2022-09-04 00:00:00,HYDRA/USDT,2.935,2.935,2.831,2.865,19360.2125,55699.5597253
1662163200,2022-09-03 00:00:00,HYDRA/USDT,2.729,2.992,2.707,2.95,70298.6266,201240.8124838
1662076800,2022-09-02 00:00:00,HYDRA/USDT,2.723,2.756,2.684,2.75,24435.0817,66406.5219462
1661990400,2022-09-01 00:00:00,HYDRA/USDT,2.709,2.906,2.706,2.708,64498.3025,180027.2117917
1661904000,2022-08-31 00:00:00,HYDRA/USDT,2.736,2.753,2.681,2.714,25708.9328,69794.6771578
1661817600,2022-08-30 00:00:00,HYDRA/USDT,2.821,2.836,2.68,2.741,40104.6865,110501.40636498893
1661731200,2022-08-29 00:00:00,HYDRA/USDT,2.812,2.853,2.792,2.808,32007.9746,90180.4116961
1661644800,2022-08-28 00:00:00,HYDRA/USDT,2.802,2.837,2.79,2.812,25094.5984,70550.6586028
1661558400,2022-08-27 00:00:00,HYDRA/USDT,2.804,2.812,2.773,2.793,19175.96,53460.0435611
1661472000,2022-08-26 00:00:00,HYDRA/USDT,2.907,2.91,2.784,2.801,24035.0627,68559.1705874
1661385600,2022-08-25 00:00:00,HYDRA/USDT,2.939,2.956,2.88,2.906,23338.7126,67849.860615
1661299200,2022-08-24 00:00:00,HYDRA/USDT,2.958,2.981,2.931,2.94,22891.659,67586.8919301
1661212800,2022-08-23 00:00:00,HYDRA/USDT,2.951,2.988,2.917,2.942,17518.6775,51727.7438625
1661126400,2022-08-22 00:00:00,HYDRA/USDT,2.88,2.961,2.88,2.932,25399.0855,74441.1723969
1661040000,2022-08-21 00:00:00,HYDRA/USDT,2.949,2.961,2.88,2.88,20047.9566,58639.21610036885
1660953600,2022-08-20 00:00:00,HYDRA/USDT,3.005,3.018,2.914,2.951,27047.8267,80339.0716199
1660867200,2022-08-19 00:00:00,HYDRA/USDT,3.139,3.146,2.992,2.993,33379.6126,101942.951274
1660780800,2022-08-18 00:00:00,HYDRA/USDT,3.106,3.147,3.081,3.139,26487.4529,82553.0645741
1660694400,2022-08-17 00:00:00,HYDRA/USDT,3.103,3.131,3.06,3.104,25118.3074197,77828.1006729957
1660608000,2022-08-16 00:00:00,HYDRA/USDT,3.081,3.167,3.051,3.082,32395.6081803,100845.8633962043
1660521600,2022-08-15 00:00:00,HYDRA/USDT,3.103,3.131,3.056,3.081,28035.158,86713.8861677
1660435200,2022-08-14 00:00:00,HYDRA/USDT,3.098,3.147,3.096,3.105,24421.9902,76149.1098421
