https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NRG,Volume BTC
1663459200,2022-09-18 00:00:00,NRG/BTC,0.0000091,0.0000091,0.00000909,0.00000909,149.9598,0.001364434757
1663372800,2022-09-17 00:00:00,NRG/BTC,0.00000921,0.00000948,0.00000906,0.0000091,483708.3098,4.440778703659
1663286400,2022-09-16 00:00:00,NRG/BTC,0.00000922,0.00000973,0.00000856,0.00000921,722742.9859,6.699416082347
1663200000,2022-09-15 00:00:00,NRG/BTC,0.00000859,0.00000957,0.00000855,0.00000929,609390.2921,5.344083825459
1663113600,2022-09-14 00:00:00,NRG/BTC,0.0000084,0.00000872,0.000008,0.00000857,733520.5985,6.201195259464
1663027200,2022-09-13 00:00:00,NRG/BTC,0.00000985,0.00000985,0.00000807,0.00000841,618499.8565,5.716528217846
1662940800,2022-09-12 00:00:00,NRG/BTC,0.00001014,0.0000103,0.00000959,0.00000988,530903.9624,5.26178952305
1662854400,2022-09-11 00:00:00,NRG/BTC,0.00001186,0.00001186,0.00000996,0.00001014,563410.2947,6.44108920125
1662768000,2022-09-10 00:00:00,NRG/BTC,0.00001241,0.00001246,0.00001172,0.00001186,328745.8969,4.034101181348
1662681600,2022-09-09 00:00:00,NRG/BTC,0.00001302,0.00001303,0.0000117,0.00001238,443146.7591,5.483354636631
1662595200,2022-09-08 00:00:00,NRG/BTC,0.00001305,0.00001404,0.00001259,0.00001303,407265.0943,5.360367981709
1662508800,2022-09-07 00:00:00,NRG/BTC,0.00001319,0.0000134,0.00001237,0.00001308,471936.3012,6.058294312778
1662422400,2022-09-06 00:00:00,NRG/BTC,0.00001409,0.00001423,0.00001313,0.00001328,493473.7505,6.875001629484
1662336000,2022-09-05 00:00:00,NRG/BTC,0.00001333,0.00001439,0.00001333,0.0000141,397836.4213,5.624551958229
1662249600,2022-09-04 00:00:00,NRG/BTC,0.00001331,0.00001367,0.00001319,0.00001333,467724.4221,6.23794209134
1662163200,2022-09-03 00:00:00,NRG/BTC,0.00001345,0.00001384,0.00001285,0.00001319,336345.0764,4.498437473801
1662076800,2022-09-02 00:00:00,NRG/BTC,0.00001383,0.00001487,0.00001331,0.00001345,353212.7703,5.073802961384
1661990400,2022-09-01 00:00:00,NRG/BTC,0.00001504,0.00001568,0.00001361,0.00001374,339555.6936,4.952494183448
1661904000,2022-08-31 00:00:00,NRG/BTC,0.00001532,0.00001537,0.0000148,0.00001505,377477.9814,5.616513642091
1661817600,2022-08-30 00:00:00,NRG/BTC,0.00001509,0.00001672,0.00001493,0.00001532,346845.5633,5.585408101175
1661731200,2022-08-29 00:00:00,NRG/BTC,0.00001513,0.00001555,0.00001467,0.00001518,471645.4391,7.051028820538
1661644800,2022-08-28 00:00:00,NRG/BTC,0.00001519,0.00001569,0.0000151,0.00001521,406381.5732,6.236490183255
1661558400,2022-08-27 00:00:00,NRG/BTC,0.00001514,0.00001539,0.00001465,0.00001518,310852.3499,4.681098502509
1661472000,2022-08-26 00:00:00,NRG/BTC,0.00001558,0.000016,0.00001502,0.00001511,347618.8716,5.376415293748
1661385600,2022-08-25 00:00:00,NRG/BTC,0.00001561,0.00001565,0.00001551,0.00001552,328163.9413,5.113530409637
1661299200,2022-08-24 00:00:00,NRG/BTC,0.00001599,0.00001614,0.00001551,0.00001554,359062.8898,5.687111970679
1661212800,2022-08-23 00:00:00,NRG/BTC,0.00001603,0.00001612,0.00001591,0.00001608,370800.8465,5.94830965064
1661126400,2022-08-22 00:00:00,NRG/BTC,0.00001577,0.00001606,0.0000155,0.00001606,356483.1392,5.606418836698
1661040000,2022-08-21 00:00:00,NRG/BTC,0.00001569,0.00001601,0.0000155,0.00001576,342232.1943,5.430949507528
1660953600,2022-08-20 00:00:00,NRG/BTC,0.00001551,0.00001602,0.00001551,0.00001568,267065.9719,4.233089117698
1660867200,2022-08-19 00:00:00,NRG/BTC,0.00001598,0.00001659,0.0000155,0.00001551,321783.6831,5.20124659225
1660780800,2022-08-18 00:00:00,NRG/BTC,0.00001657,0.00001675,0.0000159,0.00001598,347247.9986,5.6079020171
1660694400,2022-08-17 00:00:00,NRG/BTC,0.00001651,0.00001675,0.00001601,0.00001661,320618.1812,5.276745520469
1660608000,2022-08-16 00:00:00,NRG/BTC,0.00001716,0.0000172,0.00001615,0.00001649,399006.5935,6.816683122444
1660521600,2022-08-15 00:00:00,NRG/BTC,0.00001632,0.00001735,0.000016,0.00001716,320474.5616,5.194171701049
1660435200,2022-08-14 00:00:00,NRG/BTC,0.00001742,0.00001764,0.00001609,0.00001624,385345.1094,6.655896794081
1660348800,2022-08-13 00:00:00,NRG/BTC,0.00001739,0.00001765,0.0000172,0.00001734,255203.3685,4.421275464514
1660262400,2022-08-12 00:00:00,NRG/BTC,0.0000173,0.0000176,0.00001687,0.00001739,363308.8383,6.282156218408
1660176000,2022-08-11 00:00:00,NRG/BTC,0.00001715,0.00001746,0.00001645,0.00001729,288014.1732,4.888040019765
1660089600,2022-08-10 00:00:00,NRG/BTC,0.00001717,0.00001745,0.00001691,0.00001717,360134.7213,6.185183683105
1660003200,2022-08-09 00:00:00,NRG/BTC,0.00001787,0.00001801,0.0000166,0.00001729,317974.5727,5.618835420386
1659916800,2022-08-08 00:00:00,NRG/BTC,0.00001905,0.00001906,0.00001701,0.00001796,328763.8074,6.185763897979
1659830400,2022-08-07 00:00:00,NRG/BTC,0.00001986,0.00002083,0.0000186,0.00001905,402174.9137,7.868631646876
