https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3L,Volume USDT
1663462800,2022-09-18 01:00:00,GALAX3L/USDT,0.080357,0.080883,0.080357,0.080883,638.3498,51.2984948285
1663459200,2022-09-18 00:00:00,GALAX3L/USDT,0.082901,0.082901,0.08026,0.080271,19551.1565,1582.0136202999
1663455600,2022-09-17 23:00:00,GALAX3L/USDT,0.08146,0.083871,0.081319,0.083101,26524.4397,2205.5813791494
1663452000,2022-09-17 22:00:00,GALAX3L/USDT,0.080662,0.081889,0.080662,0.08188,6040.54,493.5009754707
1663448400,2022-09-17 21:00:00,GALAX3L/USDT,0.08069,0.081249,0.080345,0.080485,1063.5949,86.1025040683
1663444800,2022-09-17 20:00:00,GALAX3L/USDT,0.080014,0.081344,0.079981,0.080549,11240.3119,907.3388148958
1663441200,2022-09-17 19:00:00,GALAX3L/USDT,0.079755,0.080625,0.07967,0.080075,8292.2315,662.3978322172
1663437600,2022-09-17 18:00:00,GALAX3L/USDT,0.08046,0.081625,0.08,0.08,21103.1514,1709.2167415208
1663434000,2022-09-17 17:00:00,GALAX3L/USDT,0.080792,0.081371,0.08027,0.080454,29127.114,2341.9152216508
1663430400,2022-09-17 16:00:00,GALAX3L/USDT,0.079449,0.081437,0.079449,0.081406,13618.9827,1096.1889480778
1663426800,2022-09-17 15:00:00,GALAX3L/USDT,0.080648,0.080648,0.079447,0.079447,20134.0792,1617.4891675823
1663423200,2022-09-17 14:00:00,GALAX3L/USDT,0.079913,0.080817,0.079913,0.08043,16632.4761,1334.4859549759
1663419600,2022-09-17 13:00:00,GALAX3L/USDT,0.079,0.080121,0.079,0.079498,17285.1971,1379.0624783435
1663416000,2022-09-17 12:00:00,GALAX3L/USDT,0.077997,0.079,0.077498,0.079,11473.4537,895.4338580712
1663412400,2022-09-17 11:00:00,GALAX3L/USDT,0.077627,0.078403,0.077596,0.077902,74899.0584,5859.8496434271
1663408800,2022-09-17 10:00:00,GALAX3L/USDT,0.079142,0.079556,0.077136,0.077627,5778.3829,454.6985702727
1663405200,2022-09-17 09:00:00,GALAX3L/USDT,0.078987,0.079366,0.078486,0.078486,9333.6881,735.8178453802
1663401600,2022-09-17 08:00:00,GALAX3L/USDT,0.078908,0.079483,0.078741,0.079419,3822.7858,302.4800887498
1663398000,2022-09-17 07:00:00,GALAX3L/USDT,0.077879,0.078908,0.077879,0.078908,6628.0531,520.7435416326
1663394400,2022-09-17 06:00:00,GALAX3L/USDT,0.078097,0.078532,0.077341,0.077341,11524.5797,896.6111597832
1663390800,2022-09-17 05:00:00,GALAX3L/USDT,0.078733,0.078733,0.077495,0.077495,10996.2666,857.5970597921
1663387200,2022-09-17 04:00:00,GALAX3L/USDT,0.077627,0.079333,0.077627,0.078733,15306.2209,1211.1839351471
1663383600,2022-09-17 03:00:00,GALAX3L/USDT,0.078067,0.078274,0.077026,0.077494,28123.8109,2193.1720257805
1663380000,2022-09-17 02:00:00,GALAX3L/USDT,0.078636,0.078889,0.077436,0.077734,3889.7542,303.2340160628
1663376400,2022-09-17 01:00:00,GALAX3L/USDT,0.077876,0.078624,0.077474,0.078624,71742.656,5602.1269509881
1663372800,2022-09-17 00:00:00,GALAX3L/USDT,0.077164,0.080254,0.076483,0.077474,23975.8516,1886.4943684825
1663369200,2022-09-16 23:00:00,GALAX3L/USDT,0.076166,0.077626,0.075853,0.077055,72713.7856,5604.5287389724
1663365600,2022-09-16 22:00:00,GALAX3L/USDT,0.076977,0.07769,0.076166,0.076166,13539.5981,1037.0369495695
1663362000,2022-09-16 21:00:00,GALAX3L/USDT,0.078181,0.078181,0.077,0.077,1602.8707,124.1878023945
1663358400,2022-09-16 20:00:00,GALAX3L/USDT,0.07614,0.078247,0.075916,0.078181,23271.3833,1789.5857370096
1663354800,2022-09-16 19:00:00,GALAX3L/USDT,0.075895,0.076386,0.075501,0.075884,4431.05,336.1842883966
1663351200,2022-09-16 18:00:00,GALAX3L/USDT,0.074567,0.076141,0.073816,0.075726,8882.8908,670.5274352284
1663347600,2022-09-16 17:00:00,GALAX3L/USDT,0.074008,0.075998,0.072635,0.074922,20988.9749,1548.3920818883
1663344000,2022-09-16 16:00:00,GALAX3L/USDT,0.075118,0.075118,0.072,0.074293,15672.5234,1145.7375124882
