https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SC,Volume BTC
1659195000,2022-07-30 15:30:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.001944,10800.0
1659189600,2022-07-30 14:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000101,531.57894737
1659177000,2022-07-30 10:30:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0018,10000.0
1659173400,2022-07-30 09:30:00,SC/BTC,1.9e-07,1.9e-07,1.8e-07,1.9e-07,0.03723817,196465.528294
1659133800,2022-07-29 22:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00021,1105.2631579
1659081600,2022-07-29 08:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00388778,20462.0
1659033000,2022-07-28 18:30:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.00559401,31077.88174184
1658979000,2022-07-28 03:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000101,531.57894737
1658948400,2022-07-27 19:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000101,531.57894737
1658944800,2022-07-27 18:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000101,531.57894737
1658849400,2022-07-26 15:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00057,3000.0
1658842200,2022-07-26 13:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.0004,2105.31578947
1658822400,2022-07-26 08:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000101,531.57894737
1658817000,2022-07-26 06:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.04529313,238384.89473685
1658815200,2022-07-26 06:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.01045,55000.0
1658799000,2022-07-26 01:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.2026602,1066632.63845764
1658795400,2022-07-26 00:30:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.00876652,48702.90074455
1658745000,2022-07-25 10:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00022326,1175.05263158
1658709000,2022-07-25 00:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.0352207,185372.1425649
1658703600,2022-07-24 23:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00045837,2412.52631578
1658674800,2022-07-24 15:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0747621,415345.03890785
1658665800,2022-07-24 12:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.0066034,34754.74
1658653200,2022-07-24 09:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.028,147368.42105264
1658651400,2022-07-24 08:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.04696094,247162.8567532
1658629800,2022-07-24 02:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.02348047,123581.4283766
1658599200,2022-07-23 18:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000101,531.57894737
1658595600,2022-07-23 17:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000101,531.57894737
1658586600,2022-07-23 14:30:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00051032,2685.89473685
1658584800,2022-07-23 14:00:00,SC/BTC,1.8e-07,1.9e-07,1.8e-07,1.9e-07,0.02963075,164309.73865572
1658581200,2022-07-23 13:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658577600,2022-07-23 12:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658574000,2022-07-23 11:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658570400,2022-07-23 10:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658566800,2022-07-23 09:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658563200,2022-07-23 08:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658559600,2022-07-23 07:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658556000,2022-07-23 06:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658552400,2022-07-23 05:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658548800,2022-07-23 04:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658545200,2022-07-23 03:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658541600,2022-07-23 02:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658538000,2022-07-23 01:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658534400,2022-07-23 00:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658530800,2022-07-22 23:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658527200,2022-07-22 22:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658523600,2022-07-22 21:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658520000,2022-07-22 20:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658516400,2022-07-22 19:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658512800,2022-07-22 18:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658509200,2022-07-22 17:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658505600,2022-07-22 16:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
1658503800,2022-07-22 15:30:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.009,50000.0
1658502000,2022-07-22 15:00:00,SC/BTC,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0.0005,2777.77777778
