https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BUY,Volume USDT
1663459200,2022-09-18 00:00:00,BUY/USDT,0.004356,0.00438,0.004336,0.004362,5360430.7289,23338.3725248861
1663372800,2022-09-17 00:00:00,BUY/USDT,0.00404,0.004523,0.004011,0.004359,188362247.3245,776610.3011261506
1663286400,2022-09-16 00:00:00,BUY/USDT,0.004216,0.004312,0.004,0.004046,188290601.8416,772730.731901793
1663200000,2022-09-15 00:00:00,BUY/USDT,0.004136,0.004264,0.0041,0.0042,183899221.6073,761262.284409315
1663113600,2022-09-14 00:00:00,BUY/USDT,0.004114,0.004199,0.004101,0.004133,105488433.0683,436033.625592471
1663027200,2022-09-13 00:00:00,BUY/USDT,0.004324,0.0045,0.0041,0.004116,62720223.1385,267556.9697799389
1662940800,2022-09-12 00:00:00,BUY/USDT,0.004212,0.004325,0.004152,0.004322,62421250.8868,263826.1297329456
1662854400,2022-09-11 00:00:00,BUY/USDT,0.004143,0.004213,0.0041,0.004213,63324606.2831,263062.3989213268
1662768000,2022-09-10 00:00:00,BUY/USDT,0.004083,0.004179,0.00407,0.004148,67723453.6653,278570.2461706085
1662681600,2022-09-09 00:00:00,BUY/USDT,0.004098,0.00421,0.003981,0.00408,69117268.1632,283401.9476727796
1662595200,2022-09-08 00:00:00,BUY/USDT,0.003996,0.004111,0.003957,0.004101,66311981.3423,265984.2574967582
1662508800,2022-09-07 00:00:00,BUY/USDT,0.003944,0.004044,0.003923,0.003997,69240909.7848,275762.993518037
1662422400,2022-09-06 00:00:00,BUY/USDT,0.004026,0.00414,0.003892,0.003942,62842353.6087,253324.9246422036
1662336000,2022-09-05 00:00:00,BUY/USDT,0.004252,0.004278,0.003985,0.004016,67312807.0679,278382.9069955703
1662249600,2022-09-04 00:00:00,BUY/USDT,0.004076,0.004313,0.004026,0.004266,68449811.5991,282147.6838097361
1662163200,2022-09-03 00:00:00,BUY/USDT,0.004186,0.00429,0.004,0.004077,62832644.2796,261261.3132235894
1662076800,2022-09-02 00:00:00,BUY/USDT,0.00413,0.004297,0.00411,0.004183,65750723.1852,274531.3628184313
1661990400,2022-09-01 00:00:00,BUY/USDT,0.00407,0.00423,0.004031,0.004127,66495679.8502,273386.2001471843
1661904000,2022-08-31 00:00:00,BUY/USDT,0.0041,0.004201,0.004051,0.004051,61935496.7358,255417.1514309831
1661817600,2022-08-30 00:00:00,BUY/USDT,0.00405,0.00424,0.004026,0.004098,65761082.9738,270942.5115245079
1661731200,2022-08-29 00:00:00,BUY/USDT,0.004,0.004078,0.003941,0.004054,65858188.2885,263999.8950168702
1661644800,2022-08-28 00:00:00,BUY/USDT,0.004017,0.004159,0.003996,0.003998,62699288.7264,255499.8044213924
1661558400,2022-08-27 00:00:00,BUY/USDT,0.004101,0.004135,0.003932,0.004015,64525683.615,260938.7053042045
1661472000,2022-08-26 00:00:00,BUY/USDT,0.004343,0.004587,0.004023,0.004103,58560482.5542,252517.7178833574
1661385600,2022-08-25 00:00:00,BUY/USDT,0.004219,0.004744,0.004181,0.004343,65487182.2607,284315.6543352991
1661299200,2022-08-24 00:00:00,BUY/USDT,0.004317,0.004347,0.004136,0.004222,64218968.9737,273094.2402820545
1661212800,2022-08-23 00:00:00,BUY/USDT,0.004283,0.00445,0.00427,0.004314,61160338.4361,267175.7222920875
1661126400,2022-08-22 00:00:00,BUY/USDT,0.0044,0.004483,0.004238,0.004282,57987357.5317,253119.741678021
1661040000,2022-08-21 00:00:00,BUY/USDT,0.00435,0.004419,0.004342,0.004397,57794992.986,252882.0626671438
1660953600,2022-08-20 00:00:00,BUY/USDT,0.004241,0.004419,0.00417,0.004347,62755751.8775,269853.4271206009
1660867200,2022-08-19 00:00:00,BUY/USDT,0.004674,0.00477,0.004211,0.004238,68688437.0337,299480.4999822941
1660780800,2022-08-18 00:00:00,BUY/USDT,0.004528,0.005219,0.004506,0.004676,64138383.282,301649.5923739678
