https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GLM,Volume USDT
1663459200,2022-09-18 00:00:00,GLM/USDT,0.3034,0.3034,0.3008,0.3008,261.3258,78.92553076
1663372800,2022-09-17 00:00:00,GLM/USDT,0.3026,0.3163,0.296,0.3054,100408.6777,30663.18771829
1663286400,2022-09-16 00:00:00,GLM/USDT,0.3328,0.3553,0.2901,0.3023,357500.8124,113506.50170581
1663200000,2022-09-15 00:00:00,GLM/USDT,0.3098,0.4144,0.2923,0.3335,792101.5837,289593.3815776
1663113600,2022-09-14 00:00:00,GLM/USDT,0.3445,0.3445,0.3025,0.3098,175353.0866,55599.57208824
1663027200,2022-09-13 00:00:00,GLM/USDT,0.4074,0.4159,0.3232,0.3454,666395.7925,235650.24821727
1662940800,2022-09-12 00:00:00,GLM/USDT,0.3297,0.55,0.3132,0.4075,3966706.16624629,1761430.66960475984
1662854400,2022-09-11 00:00:00,GLM/USDT,0.2812,0.4104,0.2759,0.3298,1057999.0845,356384.02951947
1662768000,2022-09-10 00:00:00,GLM/USDT,0.2759,0.3079,0.2688,0.2821,293343.2948,84444.0286814
1662681600,2022-09-09 00:00:00,GLM/USDT,0.2986,0.3386,0.2665,0.2757,805672.7819,234002.04429701
1662595200,2022-09-08 00:00:00,GLM/USDT,0.2301,0.4689,0.2284,0.2986,1899328.94546752,643742.732584297824
1662508800,2022-09-07 00:00:00,GLM/USDT,0.2229,0.2313,0.2185,0.2302,8028.3981,1795.67406679
1662422400,2022-09-06 00:00:00,GLM/USDT,0.2354,0.2395,0.2225,0.224,23228.7679,5375.16091899
1662336000,2022-09-05 00:00:00,GLM/USDT,0.2394,0.2394,0.2324,0.236,12277.9198,2881.90221028
1662249600,2022-09-04 00:00:00,GLM/USDT,0.2381,0.2394,0.234,0.2394,6440.0478,1518.63117706
1662163200,2022-09-03 00:00:00,GLM/USDT,0.2405,0.2408,0.2363,0.2384,14366.2842,3406.9865056
1662076800,2022-09-02 00:00:00,GLM/USDT,0.242,0.2504,0.2385,0.2396,25060.486,6120.82401105
1661990400,2022-09-01 00:00:00,GLM/USDT,0.2438,0.2461,0.2342,0.2412,45141.886,10786.43162637
1661904000,2022-08-31 00:00:00,GLM/USDT,0.2425,0.2482,0.2425,0.2438,7058.5903,1734.12506356
1661817600,2022-08-30 00:00:00,GLM/USDT,0.2481,0.2504,0.2386,0.2436,28671.3649,6981.42045932
1661731200,2022-08-29 00:00:00,GLM/USDT,0.2358,0.2536,0.2345,0.2481,61819.6113,15051.65399474
1661644800,2022-08-28 00:00:00,GLM/USDT,0.242,0.2558,0.2345,0.2348,36479.4973,8964.20698807
1661558400,2022-08-27 00:00:00,GLM/USDT,0.2424,0.2461,0.2351,0.2418,37344.7097,8848.13010737
