https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,LUNA/USDT,2.75150000,2.78680000,2.72910000,2.74040000,382732.14000000,1053682.16801400,3926
1663459200000,2022-09-18 00:00:00,LUNA/USDT,3.07690000,3.08280000,2.63040000,2.75270000,19225591.39000000,55685669.94304200,212398
1663372800000,2022-09-17 00:00:00,LUNA/USDT,3.07460000,3.26150000,2.90210000,3.07740000,25212207.74000000,77938508.29645500,308820
1663286400000,2022-09-16 00:00:00,LUNA/USDT,2.72800000,3.48260000,2.63890000,3.07590000,39142255.26000000,116968537.36243400,424404
1663200000000,2022-09-15 00:00:00,LUNA/USDT,3.03000000,3.18000000,2.62090000,2.72690000,28761915.06000000,83162188.58379600,321731
1663113600000,2022-09-14 00:00:00,LUNA/USDT,4.15490000,4.52220000,2.23510000,3.03350000,90197168.74000000,283521157.40281000,933628
1663027200000,2022-09-13 00:00:00,LUNA/USDT,4.02470000,4.69880000,3.82100000,4.15390000,46834030.79000000,201309457.56796600,604395
1662940800000,2022-09-12 00:00:00,LUNA/USDT,5.72920000,5.88000000,3.78560000,4.02360000,56823980.35000000,262443880.75721700,739142
1662854400000,2022-09-11 00:00:00,LUNA/USDT,6.41920000,7.04000000,5.26790000,5.73000000,50023128.57000000,302620721.05241300,792239
1662768000000,2022-09-10 00:00:00,LUNA/USDT,5.10930000,7.20000000,4.74380000,6.42060000,100510981.07000000,607931085.97497500,1547749
1662681600000,2022-09-09 00:00:00,LUNA/USDT,1.91190000,7.66600000,1.91160000,5.11420000,172795186.66000000,858781818.82811800,2465032
1662595200000,2022-09-08 00:00:00,LUNA/USDT,1.88330000,2.08060000,1.88290000,1.91130000,15444580.62000000,30555418.60441000,133195
1662508800000,2022-09-07 00:00:00,LUNA/USDT,1.84790000,1.97990000,1.76660000,1.88340000,9691967.52000000,18232542.24070800,94972
1662422400000,2022-09-06 00:00:00,LUNA/USDT,2.00360000,2.16000000,1.78010000,1.84850000,16457575.54000000,32641853.12017600,153134
1662336000000,2022-09-05 00:00:00,LUNA/USDT,1.81230000,2.01290000,1.77020000,2.00280000,11532299.51000000,21834213.23309500,114177
1662249600000,2022-09-04 00:00:00,LUNA/USDT,1.85970000,1.87200000,1.76170000,1.81280000,3695783.59000000,6692672.04230400,41232
1662163200000,2022-09-03 00:00:00,LUNA/USDT,1.85830000,1.91920000,1.78340000,1.86000000,5696792.03000000,10583266.85704300,53318
1662076800000,2022-09-02 00:00:00,LUNA/USDT,1.99130000,2.07690000,1.82550000,1.85830000,11232846.28000000,21609204.48379500,107067
1661990400000,2022-09-01 00:00:00,LUNA/USDT,1.78500000,2.21350000,1.75920000,1.99110000,33364390.55000000,66687532.67703400,259932
1661904000000,2022-08-31 00:00:00,LUNA/USDT,1.73170000,1.84710000,1.64650000,1.78340000,9499373.36000000,16642310.28117700,81576
1661817600000,2022-08-30 00:00:00,LUNA/USDT,1.63860000,1.79630000,1.57010000,1.73170000,5545436.61000000,9301518.74859700,55302
1661731200000,2022-08-29 00:00:00,LUNA/USDT,1.54700000,1.64840000,1.50000000,1.63860000,2362578.93000000,3760644.29198800,27424
1661644800000,2022-08-28 00:00:00,LUNA/USDT,1.61430000,1.63500000,1.50560000,1.54750000,2142858.85000000,3425736.27822200,24025
1661558400000,2022-08-27 00:00:00,LUNA/USDT,1.61560000,1.65010000,1.57420000,1.61410000,2478182.79000000,4002931.35584300,29351
1661472000000,2022-08-26 00:00:00,LUNA/USDT,1.81510000,1.85730000,1.57170000,1.61610000,5795091.79000000,10036937.82859400,57212
1661385600000,2022-08-25 00:00:00,LUNA/USDT,1.71550000,1.84780000,1.71300000,1.81490000,5907649.57000000,10499719.13275100,53972
1661299200000,2022-08-24 00:00:00,LUNA/USDT,1.80260000,1.81190000,1.71510000,1.71580000,2803949.40000000,4913208.44984000,31494
1661212800000,2022-08-23 00:00:00,LUNA/USDT,1.66660000,1.83960000,1.62450000,1.80310000,6907874.69000000,12016705.23705000,57983
1661126400000,2022-08-22 00:00:00,LUNA/USDT,1.67350000,1.75000000,1.59150000,1.66910000,2849838.03000000,4725121.20935100,33352
1661040000000,2022-08-21 00:00:00,LUNA/USDT,1.61670000,1.69440000,1.61350000,1.67370000,2838445.94000000,4712186.28570900,31578
1660953600000,2022-08-20 00:00:00,LUNA/USDT,1.59330000,1.68020000,1.56640000,1.61660000,3011263.61000000,4931319.32690200,35132
1660867200000,2022-08-19 00:00:00,LUNA/USDT,1.76970000,1.78800000,1.52000000,1.59380000,7186424.66000000,11879477.09283600,66870
1660780800000,2022-08-18 00:00:00,LUNA/USDT,1.93330000,1.95860000,1.55000000,1.76950000,4306805.54000000,7917566.59977000,49996
1660694400000,2022-08-17 00:00:00,LUNA/USDT,1.99880000,2.05070000,1.88540000,1.93410000,3284358.27000000,6513018.76267800,38210
1660608000000,2022-08-16 00:00:00,LUNA/USDT,1.98460000,2.04190000,1.93240000,1.99880000,2731356.28000000,5415584.09577400,31361
1660521600000,2022-08-15 00:00:00,LUNA/USDT,2.05260000,2.17980000,1.85000000,1.98460000,7791725.03000000,15951026.30750400,70118
1660435200000,2022-08-14 00:00:00,LUNA/USDT,2.00380000,2.19900000,1.98670000,2.05220000,6126179.81000000,12709492.93420600,65663
1660348800000,2022-08-13 00:00:00,LUNA/USDT,2.04410000,2.07400000,1.98230000,2.00350000,2054116.08000000,4172916.21111400,27707
1660262400000,2022-08-12 00:00:00,LUNA/USDT,1.97250000,2.09730000,1.94500000,2.04370000,2800250.20000000,5653063.44388000,36193
1660176000000,2022-08-11 00:00:00,LUNA/USDT,2.02230000,2.06940000,1.95100000,1.97250000,2617403.39000000,5308801.81639900,31996
1660089600000,2022-08-10 00:00:00,LUNA/USDT,1.98210000,2.06150000,1.90610000,2.02190000,3383824.07000000,6745432.45356100,39225
1660003200000,2022-08-09 00:00:00,LUNA/USDT,2.10910000,2.21000000,1.85290000,1.98210000,5449626.99000000,11213825.66893100,57518
1659916800000,2022-08-08 00:00:00,LUNA/USDT,2.09830000,2.17790000,2.08020000,2.10900000,2925046.43000000,6222969.51737400,35186
1659830400000,2022-08-07 00:00:00,LUNA/USDT,2.10840000,2.14570000,2.02870000,2.09820000,2681129.74000000,5594249.69453200,30788
1659744000000,2022-08-06 00:00:00,LUNA/USDT,2.13470000,2.22380000,2.08500000,2.10840000,3221404.07000000,6915840.47083100,39117
1659657600000,2022-08-05 00:00:00,LUNA/USDT,2.09260000,2.14490000,2.06800000,2.13460000,3472124.36000000,7338814.17784000,44463
1659571200000,2022-08-04 00:00:00,LUNA/USDT,2.07190000,2.24190000,2.00000000,2.09520000,5225673.81000000,11067926.79948300,57255
1659484800000,2022-08-03 00:00:00,LUNA/USDT,2.13680000,2.19460000,2.00000000,2.07190000,5630213.58000000,11857500.53415300,60546
1659398400000,2022-08-02 00:00:00,LUNA/USDT,2.27030000,2.33490000,2.08880000,2.13680000,9723317.98000000,21286340.47604100,91005
1659312000000,2022-08-01 00:00:00,LUNA/USDT,1.88260000,2.64250000,1.85750000,2.27350000,37782266.94000000,89329053.63963800,327546
1659225600000,2022-07-31 00:00:00,LUNA/USDT,1.86170000,2.11780000,1.84950000,1.88000000,8613484.52000000,17153189.91814600,70663
1659139200000,2022-07-30 00:00:00,LUNA/USDT,1.91810000,2.00000000,1.81780000,1.86120000,4896935.33000000,9478611.11483600,46707
1659052800000,2022-07-29 00:00:00,LUNA/USDT,1.86080000,2.12400000,1.84160000,1.91710000,8532939.53000000,16645012.98957000,67094
1658966400000,2022-07-28 00:00:00,LUNA/USDT,1.80940000,1.90990000,1.78130000,1.86180000,5817365.01000000,10708708.23907800,49808
1658880000000,2022-07-27 00:00:00,LUNA/USDT,1.71520000,1.83010000,1.69000000,1.80930000,4018498.67000000,7014491.92764000,39416
1658793600000,2022-07-26 00:00:00,LUNA/USDT,1.67510000,1.71900000,1.61730000,1.71470000,3898582.94000000,6491146.98363700,44647
1658707200000,2022-07-25 00:00:00,LUNA/USDT,1.86280000,1.87180000,1.65000000,1.67880000,4860400.06000000,8665916.78002000,42322
1658620800000,2022-07-24 00:00:00,LUNA/USDT,1.85500000,1.93120000,1.85310000,1.86270000,3018275.75000000,5709724.32772800,31128
1658534400000,2022-07-23 00:00:00,LUNA/USDT,1.85230000,1.93120000,1.80170000,1.85600000,3579242.60000000,6679136.78501000,41784
1658448000000,2022-07-22 00:00:00,LUNA/USDT,1.91130000,1.94000000,1.82460000,1.85230000,3737527.30000000,7066841.50627800,41967
1658361600000,2022-07-21 00:00:00,LUNA/USDT,1.90480000,1.94940000,1.77500000,1.91120000,5620848.88000000,10549871.66960500,51761
1658275200000,2022-07-20 00:00:00,LUNA/USDT,2.00060000,2.18950000,1.83110000,1.90440000,9872428.39000000,19931890.89933700,88044
1658188800000,2022-07-19 00:00:00,LUNA/USDT,2.03530000,2.14360000,1.85500000,2.00060000,7426513.86000000,14815911.71988900,75350
