https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ELA,Volume USDT
1663459200,2022-09-18 00:00:00,ELA/USDT,1.5141,1.5262,1.5141,1.5259,72.0081,109.85819381
1663455600,2022-09-17 23:00:00,ELA/USDT,1.515,1.5262,1.5149,1.5262,89.4655,135.57615302
1663452000,2022-09-17 22:00:00,ELA/USDT,1.5052,1.5272,1.5052,1.5272,6.785,10.35756776
1663448400,2022-09-17 21:00:00,ELA/USDT,1.518,1.5272,1.5021,1.5075,96.4915,146.64783151
1663444800,2022-09-17 20:00:00,ELA/USDT,1.5172,1.5172,1.5172,1.5172,8.0367,12.19328124
1663441200,2022-09-17 19:00:00,ELA/USDT,1.5084,1.5151,1.5001,1.5151,24.7374,37.13054577
1663437600,2022-09-17 18:00:00,ELA/USDT,1.5129,1.5131,1.5129,1.5131,50.3628,76.19595224
1663434000,2022-09-17 17:00:00,ELA/USDT,1.51,1.5272,1.5001,1.5272,410.6386,618.96901327
1663430400,2022-09-17 16:00:00,ELA/USDT,1.5076,1.5287,1.5065,1.5139,1143.2156,1727.56062425
1663426800,2022-09-17 15:00:00,ELA/USDT,1.5225,1.5225,1.5225,1.5225,0,0
1663423200,2022-09-17 14:00:00,ELA/USDT,1.5232,1.5232,1.5047,1.5225,9.0119,13.68018712
1663419600,2022-09-17 13:00:00,ELA/USDT,1.5107,1.5219,1.5107,1.5219,385.1408,583.91360048
1663416000,2022-09-17 12:00:00,ELA/USDT,1.5099,1.5099,1.5001,1.5001,1.036,1.55540112
1663412400,2022-09-17 11:00:00,ELA/USDT,1.5,1.5111,1.5,1.5001,678.5168,1024.1969943
1663408800,2022-09-17 10:00:00,ELA/USDT,1.5072,1.51,1.5,1.5,75.6155,113.8138258
1663405200,2022-09-17 09:00:00,ELA/USDT,1.5001,1.511,1.5001,1.5072,562.5024,847.84835885
1663401600,2022-09-17 08:00:00,ELA/USDT,1.5109,1.5109,1.5,1.5001,81.3341,122.15408582
1663398000,2022-09-17 07:00:00,ELA/USDT,1.5001,1.511,1.5,1.511,922.2718,1388.44664273
1663394400,2022-09-17 06:00:00,ELA/USDT,1.5001,1.5078,1.5001,1.5078,40.2144,60.63492867
1663390800,2022-09-17 05:00:00,ELA/USDT,1.5,1.5,1.5,1.5,711.1409,1066.71135
1663387200,2022-09-17 04:00:00,ELA/USDT,1.5,1.5077,1.5,1.5,67.3264,101.00011404
1663383600,2022-09-17 03:00:00,ELA/USDT,1.5001,1.5001,1.5,1.5,111.6922,167.54055118
1663380000,2022-09-17 02:00:00,ELA/USDT,1.5103,1.5103,1.5001,1.5001,44.21,66.65917082
1663376400,2022-09-17 01:00:00,ELA/USDT,1.5111,1.5111,1.5001,1.5002,251.9833,378.12126538
1663372800,2022-09-17 00:00:00,ELA/USDT,1.5124,1.5124,1.5106,1.511,156.5154,236.49240718
1663369200,2022-09-16 23:00:00,ELA/USDT,1.493,1.5125,1.493,1.5125,652.3486,985.4526055
1663365600,2022-09-16 22:00:00,ELA/USDT,1.5045,1.5079,1.5044,1.5079,0.7656,1.15213309
1663362000,2022-09-16 21:00:00,ELA/USDT,1.5071,1.5071,1.4855,1.5032,68.9386,103.29250451
1663358400,2022-09-16 20:00:00,ELA/USDT,1.5022,1.5033,1.5022,1.5033,0.657,0.98747296
1663354800,2022-09-16 19:00:00,ELA/USDT,1.4967,1.5085,1.4818,1.4818,459.7371,682.17561638
