https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT
1663545600000.0,2022-09-19 00:00:00,LINK/USDT,7.5225,7.567,7.5,7.514,21984.611079318605,165192.36765
1663459200000.0,2022-09-18 00:00:00,LINK/USDT,8.094,8.1395,7.3885,7.5225,180822.20665337323,1360235.04955
1663372800000.0,2022-09-17 00:00:00,LINK/USDT,7.654,8.1435,7.645,8.094,141392.77585866072,1144433.1278
1663286400000.0,2022-09-16 00:00:00,LINK/USDT,7.5695,7.798,7.422,7.654,206472.43726809512,1580340.03485
1663200000000.0,2022-09-15 00:00:00,LINK/USDT,7.454,7.5995,7.0215,7.5695,365064.0947552679,2763352.66525
1663113600000.0,2022-09-14 00:00:00,LINK/USDT,7.0235,7.5385,6.9805,7.454,464675.1058357929,3463688.2389
1663027200000.0,2022-09-13 00:00:00,LINK/USDT,7.7625,7.9555,7.0175,7.0235,434540.26525948604,3051993.55305
1662940800000.0,2022-09-12 00:00:00,LINK/USDT,8.0285,8.305,7.611,7.7625,128890.28094041867,1000510.8058
1662854400000.0,2022-09-11 00:00:00,LINK/USDT,7.9035,8.1745,7.7205,8.0285,114409.03824500219,918532.96355
1662768000000.0,2022-09-10 00:00:00,LINK/USDT,7.749,8.0265,7.6185,7.9035,108265.84830771177,855679.1321
1662681600000.0,2022-09-09 00:00:00,LINK/USDT,7.4055,8.1,7.3945,7.7415,145072.51997028998,1123078.91335
1662595200000.0,2022-09-08 00:00:00,LINK/USDT,7.0815,7.5055,7.0075,7.4055,128620.6525285261,952500.2423
1662508800000.0,2022-09-07 00:00:00,LINK/USDT,6.6565,7.1485,6.583,7.0815,85026.19584833721,602113.0059
1662422400000.0,2022-09-06 00:00:00,LINK/USDT,7.376,7.5395,6.5785,6.6565,139905.92289491475,931283.77575
1662336000000.0,2022-09-05 00:00:00,LINK/USDT,7.1535,7.421,7.097,7.376,89922.89131643168,663271.24635
1662249600000.0,2022-09-04 00:00:00,LINK/USDT,6.859,7.267,6.7945,7.1535,100435.61062416999,718466.1406
1662163200000.0,2022-09-03 00:00:00,LINK/USDT,6.928,6.9665,6.722,6.859,31779.760992856103,217977.38065
1662076800000.0,2022-09-02 00:00:00,LINK/USDT,6.9205,7.236,6.793,6.928,175566.10917292148,1216322.00435
1661990400000.0,2022-09-01 00:00:00,LINK/USDT,6.6265,6.9625,6.4475,6.9205,123601.71046889675,855385.6373
1661904000000.0,2022-08-31 00:00:00,LINK/USDT,6.555,6.8935,6.548,6.6265,82308.19710254282,545415.2681
1661817600000.0,2022-08-30 00:00:00,LINK/USDT,6.702,6.82,6.369,6.555,91954.22573607933,602759.9497
1661731200000.0,2022-08-29 00:00:00,LINK/USDT,6.254,6.735,6.2,6.702,84413.52591763654,565739.4507
1661644800000.0,2022-08-28 00:00:00,LINK/USDT,6.5295,6.631,6.2275,6.254,138973.4709865686,869140.08755
1661558400000.0,2022-08-27 00:00:00,LINK/USDT,6.505,6.61,6.4105,6.5295,127754.68890420401,834174.2412
1661472000000.0,2022-08-26 00:00:00,LINK/USDT,7.126,7.185,6.411,6.505,127902.04335895466,832002.79205
1661385600000.0,2022-08-25 00:00:00,LINK/USDT,7.1205,7.3705,7.005,7.126,99359.23713864721,708033.92385
1661299200000.0,2022-08-24 00:00:00,LINK/USDT,7.2345,7.3765,7.0165,7.1205,34532.507204550246,245888.71755
1661212800000.0,2022-08-23 00:00:00,LINK/USDT,7.043,7.3535,6.7765,7.2345,72590.09378671643,525153.0335
1661126400000.0,2022-08-22 00:00:00,LINK/USDT,7.077,7.083,6.6835,7.043,132288.19854465427,931705.78235
