https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PROM,Volume USDT
1663459200,2022-09-18 00:00:00,PROM/USDT,6.181,6.185,6.116,6.139,131.881,809.9594131
1663372800,2022-09-17 00:00:00,PROM/USDT,5.94,6.371,5.908,6.181,4543.1561,27891.0482438
1663286400,2022-09-16 00:00:00,PROM/USDT,6.061,6.091,5.671,5.94,3319.1503,19521.79616
1663200000,2022-09-15 00:00:00,PROM/USDT,6.014,6.474,5.819,6.062,6314.0993,38841.5750505
1663113600,2022-09-14 00:00:00,PROM/USDT,6.099,6.16,5.855,6.014,3369.2592,20254.957631
1663027200,2022-09-13 00:00:00,PROM/USDT,6.994,7.342,6.006,6.099,6691.5158,44522.3996607
1662940800,2022-09-12 00:00:00,PROM/USDT,6.901,7.61,6.61,6.998,9052.5217,63730.7717869
1662854400,2022-09-11 00:00:00,PROM/USDT,6.571,8.75,6.397,6.901,19773.7345,143107.1738237
1662768000,2022-09-10 00:00:00,PROM/USDT,6.458,6.693,6.337,6.571,3048.4342,19810.6399581
1662681600,2022-09-09 00:00:00,PROM/USDT,6.375,6.734,6.198,6.458,7437.3115,47844.634923
1662595200,2022-09-08 00:00:00,PROM/USDT,5.961,7.189,5.734,6.375,11516.1589,71141.7322008
1662508800,2022-09-07 00:00:00,PROM/USDT,5.515,6.06,5.499,5.965,4261.9957,24766.9930284
1662422400,2022-09-06 00:00:00,PROM/USDT,5.789,5.999,5.511,5.515,4575.304,26383.4448568
1662336000,2022-09-05 00:00:00,PROM/USDT,5.829,5.889,5.7,5.789,2274.7137,13133.0211901
1662249600,2022-09-04 00:00:00,PROM/USDT,5.988,5.995,5.672,5.879,3608.2122,20989.1410947
1662163200,2022-09-03 00:00:00,PROM/USDT,6.211,6.624,5.816,5.988,6674.9053,41059.2266615
1662076800,2022-09-02 00:00:00,PROM/USDT,5.791,7,5.611,6.213,15889.8901,99247.1592843
1661990400,2022-09-01 00:00:00,PROM/USDT,5.564,6.404,5.308,5.793,13300.1374,78360.950951
1661904000,2022-08-31 00:00:00,PROM/USDT,5.51,5.689,5.504,5.564,1924.2123,10759.5834648
1661817600,2022-08-30 00:00:00,PROM/USDT,5.591,5.802,5.374,5.51,3469.984,19509.5945304
1661731200,2022-08-29 00:00:00,PROM/USDT,5.473,5.603,5.204,5.591,2405.5128,12984.6927917
1661644800,2022-08-28 00:00:00,PROM/USDT,5.591,5.925,5.473,5.473,1431.1619,8150.9581111
1661558400,2022-08-27 00:00:00,PROM/USDT,5.917,5.92,5.537,5.591,2934.0412,16812.5930297
1661472000,2022-08-26 00:00:00,PROM/USDT,6.557,6.79,5.916,5.917,3539.68,22095.5386096
1661385600,2022-08-25 00:00:00,PROM/USDT,6.256,7.454,6.046,6.593,12306.1379,81834.2373604
1661299200,2022-08-24 00:00:00,PROM/USDT,6.135,6.622,5.957,6.256,4179.4865,26038.8620028
1661212800,2022-08-23 00:00:00,PROM/USDT,6.066,6.634,5.67,6.135,9927.6376,61502.7812351
1661126400,2022-08-22 00:00:00,PROM/USDT,6.356,6.356,5.909,6.066,6761.9932,41283.2218361
1661040000,2022-08-21 00:00:00,PROM/USDT,6.174,6.632,6.142,6.337,5069.0003,32259.7360425
1660953600,2022-08-20 00:00:00,PROM/USDT,5.974,6.952,5.884,6.174,11343.441,71732.3732932
1660867200,2022-08-19 00:00:00,PROM/USDT,6.693,6.907,5.916,5.916,15516.3256,98519.1823288
1660780800,2022-08-18 00:00:00,PROM/USDT,6.507,7.017,6.461,6.693,262605.07,1733522.008589
1660694400,2022-08-17 00:00:00,PROM/USDT,6.939,7.109,6.475,6.507,146570.7857,1010532.3867229
1660608000,2022-08-16 00:00:00,PROM/USDT,6.993,7.097,6.774,6.939,66105.6119,460721.9795363
1660521600,2022-08-15 00:00:00,PROM/USDT,7.105,7.232,6.825,6.994,29384.4917,204949.6683103
1660435200,2022-08-14 00:00:00,PROM/USDT,7.236,7.403,7,7.104,31758.2471,230419.4086981
1660348800,2022-08-13 00:00:00,PROM/USDT,7.298,7.4,7.184,7.236,13440.9173,97838.5515059
1660262400,2022-08-12 00:00:00,PROM/USDT,7.194,7.3,7.015,7.3,47501.4455,338108.6774651
1660176000,2022-08-11 00:00:00,PROM/USDT,7.29,7.5,6.861,7.192,14421.6255,105758.8120705
1660089600,2022-08-10 00:00:00,PROM/USDT,7.315,8,7.016,7.29,4186.5533,30651.8898457
1660003200,2022-08-09 00:00:00,PROM/USDT,7.302,7.405,6.82,7.311,3466.4794,24694.2687033
1659916800,2022-08-08 00:00:00,PROM/USDT,7.26,7.465,7.222,7.277,3560.1357,26097.1966249
1659830400,2022-08-07 00:00:00,PROM/USDT,7.262,7.52,7.046,7.298,4049.3518,29420.8940505
1659744000,2022-08-06 00:00:00,PROM/USDT,7.114,7.699,7.068,7.261,7316.6249,54192.0619027
1659657600,2022-08-05 00:00:00,PROM/USDT,6.871,7.26,6.869,7.113,2841.8626,20011.3174081
1659571200,2022-08-04 00:00:00,PROM/USDT,6.78,7.083,6.387,6.869,2411.0764,16531.6728558
1659484800,2022-08-03 00:00:00,PROM/USDT,6.813,7.323,6.6,6.78,4502.9908,31690.6835874
1659398400,2022-08-02 00:00:00,PROM/USDT,7.043,7.214,6.608,6.813,4851.9274,33134.9755908
1659312000,2022-08-01 00:00:00,PROM/USDT,7.253,7.977,6.83,7.043,7353.2709,54200.6889803
1659225600,2022-07-31 00:00:00,PROM/USDT,7.388,8.7,7.134,7.354,12797.2926,100683.1010942
1659139200,2022-07-30 00:00:00,PROM/USDT,8.349,8.839,7.347,7.347,10865.0052,87662.2444871
1659052800,2022-07-29 00:00:00,PROM/USDT,6.213,9.69,6.213,8.188,53768.96755622,425831.40526517946
1658966400,2022-07-28 00:00:00,PROM/USDT,5.924,7.007,5.761,6.101,8725.2719,54175.2923288
1658880000,2022-07-27 00:00:00,PROM/USDT,5.723,5.955,5.655,5.9,1436.4827,8340.9082659
1658793600,2022-07-26 00:00:00,PROM/USDT,5.363,5.983,5.276,5.836,6060.8335,34706.9932685
1658707200,2022-07-25 00:00:00,PROM/USDT,5.555,6,5.267,5.337,4317.19608877,24204.90551982431
1658620800,2022-07-24 00:00:00,PROM/USDT,5.816,5.999,5.463,5.581,1068.7041,6105.658163
1658534400,2022-07-23 00:00:00,PROM/USDT,5.769,5.878,5.601,5.682,2446.839,13928.9129609
1658448000,2022-07-22 00:00:00,PROM/USDT,5.813,7.037,5.601,5.744,11858.6267,72130.1410439
1658361600,2022-07-21 00:00:00,PROM/USDT,5.22,6.725,5.186,5.843,22971.04929854,136982.53157456044
1658275200,2022-07-20 00:00:00,PROM/USDT,5.506,5.996,5.139,5.222,3224.7409,17927.4996552
1658188800,2022-07-19 00:00:00,PROM/USDT,5.387,5.855,5.217,5.429,2457.4896,13523.2000992
1658102400,2022-07-18 00:00:00,PROM/USDT,5.311,5.832,5.008,5.39,8088.2241,43950.9758169
1658016000,2022-07-17 00:00:00,PROM/USDT,5.256,5.453,5.164,5.328,2578.6099,13704.3974708
1657929600,2022-07-16 00:00:00,PROM/USDT,5.088,5.485,5.066,5.277,2261.157,11891.4924312
1657843200,2022-07-15 00:00:00,PROM/USDT,5.243,5.453,5.059,5.089,2313.1817,12044.1537209
1657756800,2022-07-14 00:00:00,PROM/USDT,4.893,6.096,4.745,5.252,25045.8498,138353.1776803
