https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WAVES,Volume BTC
1663459200,2022-09-18 00:00:00,WAVES/BTC,0.00021725,0.00021821,0.0002168,0.0002168,26.0577,0.005667693321
1663372800,2022-09-17 00:00:00,WAVES/BTC,0.00021784,0.00021899,0.000215,0.00021747,5075.1654,1.10047983796
1663286400,2022-09-16 00:00:00,WAVES/BTC,0.0002141,0.00022098,0.00021247,0.00021781,2500.36,0.543245669705
1663200000,2022-09-15 00:00:00,WAVES/BTC,0.00021924,0.00021924,0.00021317,0.00021422,4009.9722,0.865718168257
1663113600,2022-09-14 00:00:00,WAVES/BTC,0.00021613,0.00022135,0.00021446,0.0002197,2004.3554,0.437052905395
1663027200,2022-09-13 00:00:00,WAVES/BTC,0.00021634,0.0002195,0.00020636,0.00021682,21035.9635,4.459242866708
1662940800,2022-09-12 00:00:00,WAVES/BTC,0.00022504,0.00022504,0.00021246,0.00021726,8406.0451,1.833706063095
1662854400,2022-09-11 00:00:00,WAVES/BTC,0.00022976,0.00023911,0.00022389,0.0002252,6908.055,1.587203768609
1662768000,2022-09-10 00:00:00,WAVES/BTC,0.00022061,0.00024472,0.00021764,0.00022876,15015.3055,3.50053120865
1662681600,2022-09-09 00:00:00,WAVES/BTC,0.0002312,0.0002322,0.0002174,0.0002205,6294.3586,1.415214283173
1662595200,2022-09-08 00:00:00,WAVES/BTC,0.00022852,0.00023115,0.00022646,0.0002305,2024.5457,0.462016340147
1662508800,2022-09-07 00:00:00,WAVES/BTC,0.00022684,0.00023157,0.00022418,0.00022867,2016.1669,0.460376460095
1662422400,2022-09-06 00:00:00,WAVES/BTC,0.00023168,0.00023459,0.00022472,0.00022778,12015.7157,2.776199411792
1662336000,2022-09-05 00:00:00,WAVES/BTC,0.00023046,0.0002354,0.00022616,0.0002313,560.8105,0.128567283462
1662249600,2022-09-04 00:00:00,WAVES/BTC,0.00022764,0.00023731,0.00022745,0.00023081,4853.9282,1.12879299123
1662163200,2022-09-03 00:00:00,WAVES/BTC,0.0002246,0.00022821,0.00022376,0.00022724,389.8213,0.088211228921
1662076800,2022-09-02 00:00:00,WAVES/BTC,0.00022575,0.0002268,0.00022309,0.00022535,2713.3133,0.610063827321
1661990400,2022-09-01 00:00:00,WAVES/BTC,0.00022376,0.00023368,0.00022073,0.00022564,15273.4457,3.415498672354
1661904000,2022-08-31 00:00:00,WAVES/BTC,0.00022518,0.00022699,0.00022342,0.00022365,6860.3969,1.543391716358
1661817600,2022-08-30 00:00:00,WAVES/BTC,0.0002268,0.0002312,0.00022268,0.0002256,4490.2707,1.021822379517
1661731200,2022-08-29 00:00:00,WAVES/BTC,0.00022124,0.00022683,0.00022,0.00022623,10396.0503,2.323837986086
1661644800,2022-08-28 00:00:00,WAVES/BTC,0.00022575,0.00022757,0.00022125,0.00022211,2809.6069,0.635106862657
1661558400,2022-08-27 00:00:00,WAVES/BTC,0.00022491,0.00022669,0.00022128,0.00022601,359.6861,0.080674169026
1661472000,2022-08-26 00:00:00,WAVES/BTC,0.00023576,0.00023586,0.00022244,0.00022469,10360.7819,2.395166469597
1661385600,2022-08-25 00:00:00,WAVES/BTC,0.00023765,0.0002392,0.00023265,0.00023571,177.1751,0.041790566042
1661299200,2022-08-24 00:00:00,WAVES/BTC,0.00023888,0.00024803,0.00023393,0.0002368,7874.6897,1.896847338333
1661212800,2022-08-23 00:00:00,WAVES/BTC,0.00022511,0.00023933,0.00022031,0.00023851,7286.9959,1.679949356052
1661126400,2022-08-22 00:00:00,WAVES/BTC,0.00022937,0.00022937,0.00021949,0.0002253,2959.911,0.666441168199
1661040000,2022-08-21 00:00:00,WAVES/BTC,0.00022943,0.00023095,0.00022647,0.00022935,5056.5822,1.15727756146
1660953600,2022-08-20 00:00:00,WAVES/BTC,0.00023509,0.000237,0.00022601,0.00022937,9811.5923,2.263163717697
1660867200,2022-08-19 00:00:00,WAVES/BTC,0.00023205,0.0002354,0.00022405,0.00023476,8062.0853,1.83697257911
1660780800,2022-08-18 00:00:00,WAVES/BTC,0.00024013,0.00024448,0.00022454,0.0002322,24420.3932,5.726704182171
1660694400,2022-08-17 00:00:00,WAVES/BTC,0.00024606,0.00024848,0.00023641,0.00024004,3325.4861,0.796060899269
1660608000,2022-08-16 00:00:00,WAVES/BTC,0.00024687,0.00024925,0.00024385,0.00024558,2834.4025,0.696877429616
1660521600,2022-08-15 00:00:00,WAVES/BTC,0.0002495,0.00025465,0.00024448,0.00024688,4021.9087,1.001367489576
1660435200,2022-08-14 00:00:00,WAVES/BTC,0.00024933,0.00025869,0.00024457,0.00024968,11492.895,2.902016907453
1660348800,2022-08-13 00:00:00,WAVES/BTC,0.00025114,0.0002548,0.00024798,0.00024891,5666.9739,1.42290810081
1660262400,2022-08-12 00:00:00,WAVES/BTC,0.00025354,0.00025376,0.0002482,0.00025136,5042.2008,1.266788969833
