https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT
1663545600000.0,2022-09-19 00:00:00,UNI/USDT,5.469,5.485,5.392,5.392,6913.420252225518,37277.162
1663459200000.0,2022-09-18 00:00:00,UNI/USDT,6.012,6.046,5.335,5.469,223423.44086670323,1221902.7981
1663372800000.0,2022-09-17 00:00:00,UNI/USDT,5.825,6.039,5.814,6.012,77423.33601131072,465469.0961
1663286400000.0,2022-09-16 00:00:00,UNI/USDT,5.882,5.939,5.665,5.825,228340.54639484978,1330083.68275
1663200000000.0,2022-09-15 00:00:00,UNI/USDT,6.181,6.247,5.786,5.882,230116.42938626316,1353544.83765
1663113600000.0,2022-09-14 00:00:00,UNI/USDT,6.037,6.231,5.956,6.181,296416.1091651836,1832147.97075
1663027200000.0,2022-09-13 00:00:00,UNI/USDT,6.658,6.768,5.997,6.037,299717.2221881729,1809392.87035
1662940800000.0,2022-09-12 00:00:00,UNI/USDT,6.489,6.968,6.377,6.658,375059.48531090416,2497146.0532
1662854400000.0,2022-09-11 00:00:00,UNI/USDT,6.675,6.726,6.365,6.489,161618.32720758207,1048741.32525
1662768000000.0,2022-09-10 00:00:00,UNI/USDT,6.504,6.722,6.437,6.675,322586.63914606743,2153265.8163
1662681600000.0,2022-09-09 00:00:00,UNI/USDT,6.171,6.71,6.171,6.504,180628.664898524,1174808.8365
1662595200000.0,2022-09-08 00:00:00,UNI/USDT,6.113,6.258,5.953,6.171,196411.85388105654,1212057.5503
1662508800000.0,2022-09-07 00:00:00,UNI/USDT,5.832,6.229,5.709,6.113,179266.7055373793,1095857.37095
1662422400000.0,2022-09-06 00:00:00,UNI/USDT,6.583,6.749,5.793,5.832,456691.17621742113,2663422.9397
1662336000000.0,2022-09-05 00:00:00,UNI/USDT,6.486,6.664,6.188,6.58,325445.3981990881,2141430.72015
1662249600000.0,2022-09-04 00:00:00,UNI/USDT,6.305,6.522,6.228,6.486,211305.77478415048,1370529.25525
1662163200000.0,2022-09-03 00:00:00,UNI/USDT,6.405,6.408,6.223,6.305,143556.64063441713,905124.6192
1662076800000.0,2022-09-02 00:00:00,UNI/USDT,6.313,6.69,6.199,6.405,225143.94885245903,1442046.9924
1661990400000.0,2022-09-01 00:00:00,UNI/USDT,6.144,6.362,5.959,6.313,254153.1847457627,1604469.0553
1661904000000.0,2022-08-31 00:00:00,UNI/USDT,6.18,6.414,6.103,6.144,309834.20078125,1903621.3296
1661817600000.0,2022-08-30 00:00:00,UNI/USDT,6.341,6.453,5.942,6.18,273810.2350566343,1692147.25265
1661731200000.0,2022-08-29 00:00:00,UNI/USDT,5.74,6.399,5.681,6.341,418721.455929664,2655112.75205
1661644800000.0,2022-08-28 00:00:00,UNI/USDT,6.053,6.105,5.711,5.74,861522.3587108013,4945138.339
1661558400000.0,2022-08-27 00:00:00,UNI/USDT,6.153,6.205,5.948,6.053,485559.6729555592,2939092.7004
1661472000000.0,2022-08-26 00:00:00,UNI/USDT,7.023,7.024,6.074,6.153,880846.7261092151,5419849.90575
1661385600000.0,2022-08-25 00:00:00,UNI/USDT,7.048,7.247,6.923,7.023,663053.5905595899,4656625.3665
1661299200000.0,2022-08-24 00:00:00,UNI/USDT,7.112,7.281,6.871,7.048,732167.5361591941,5160316.79485
1661212800000.0,2022-08-23 00:00:00,UNI/USDT,6.982,7.207,6.749,7.112,615192.7519122609,4375250.8516
1661126400000.0,2022-08-22 00:00:00,UNI/USDT,7.208,7.337,6.62,6.982,1051217.2051346318,7339598.52625
1661040000000.0,2022-08-21 00:00:00,UNI/USDT,6.999,7.316,6.973,7.208,450566.01946448395,3247679.8683
1660953600000.0,2022-08-20 00:00:00,UNI/USDT,6.896,7.193,6.74,6.999,751980.0968566939,5263108.6979
