https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XNO,Volume USDT
1663459200,2022-09-18 00:00:00,XNO/USDT,0.8593,0.8593,0.8537,0.8539,784.8162,671.64230045
1663372800,2022-09-17 00:00:00,XNO/USDT,0.7932,0.8812,0.7932,0.8592,17138.2067,14428.93482768
1663286400,2022-09-16 00:00:00,XNO/USDT,0.7877,0.8601,0.7868,0.7901,31374.3788,25836.24083766
1663200000,2022-09-15 00:00:00,XNO/USDT,0.8683,0.889,0.7874,0.7932,50034.9161,42346.92420888
1663113600,2022-09-14 00:00:00,XNO/USDT,0.8484,0.9227,0.8411,0.8712,67475.2913,58685.46543443
1663027200,2022-09-13 00:00:00,XNO/USDT,0.9127,0.9255,0.8438,0.8485,30694.9128,26967.46318868
1662940800,2022-09-12 00:00:00,XNO/USDT,0.9253,0.9641,0.9098,0.9161,29800.9138,27820.40064684
1662854400,2022-09-11 00:00:00,XNO/USDT,0.9252,0.9397,0.9172,0.9272,13135.9279,12214.09790569
1662768000,2022-09-10 00:00:00,XNO/USDT,0.9253,0.9531,0.916,0.925,32719.445,30381.70518443
1662681600,2022-09-09 00:00:00,XNO/USDT,0.877,0.98,0.8751,0.9255,31768.9608,28961.94579985
1662595200,2022-09-08 00:00:00,XNO/USDT,0.876,0.9743,0.865,0.8751,53927.7635,47999.5228523
1662508800,2022-09-07 00:00:00,XNO/USDT,0.8427,0.9068,0.841,0.8795,36516.1392,31178.40814873
1662422400,2022-09-06 00:00:00,XNO/USDT,0.8913,0.912,0.841,0.8411,43293.9292,38163.20650437
1662336000,2022-09-05 00:00:00,XNO/USDT,0.8928,0.9087,0.841,0.8891,67998.65826165,59281.668738534565
1662249600,2022-09-04 00:00:00,XNO/USDT,0.8813,0.8998,0.8703,0.8936,12296.0261,10869.24839297
1662163200,2022-09-03 00:00:00,XNO/USDT,0.8706,0.8997,0.864,0.8813,16414.6653,14375.02378534
1662076800,2022-09-02 00:00:00,XNO/USDT,0.9021,0.9589,0.8701,0.8734,34700.4075,31633.33171899
1661990400,2022-09-01 00:00:00,XNO/USDT,0.8958,0.9238,0.8813,0.9021,14342.2984,12829.19232244
1661904000,2022-08-31 00:00:00,XNO/USDT,0.895,0.9608,0.895,0.8951,26880.8575,24825.25276215
1661817600,2022-08-30 00:00:00,XNO/USDT,0.9042,1.004,0.8635,0.8945,39777.2077,36457.20146167
1661731200,2022-08-29 00:00:00,XNO/USDT,0.8605,0.9052,0.8573,0.9052,8513.8016,7525.54749763
1661644800,2022-08-28 00:00:00,XNO/USDT,0.8764,0.8935,0.86,0.862,12583.3405,11032.43765889
1661558400,2022-08-27 00:00:00,XNO/USDT,0.8744,0.97,0.8647,0.8764,54863.3003,49227.71694811
1661472000,2022-08-26 00:00:00,XNO/USDT,0.9548,0.955,0.8744,0.8744,21770.0959,20032.12718868
1661385600,2022-08-25 00:00:00,XNO/USDT,0.929,1.02,0.9272,0.9546,8969.7432,8668.89480297
1661299200,2022-08-24 00:00:00,XNO/USDT,0.9416,0.9754,0.913,0.9299,17987.4712,17040.14236823
1661212800,2022-08-23 00:00:00,XNO/USDT,0.9035,0.9505,0.8951,0.9376,14950.7359,13829.35985721
1661126400,2022-08-22 00:00:00,XNO/USDT,0.9176,0.9226,0.8644,0.9035,22771.0379,20229.32693803
1661040000,2022-08-21 00:00:00,XNO/USDT,0.8974,0.9252,0.8742,0.9176,21772.1608,19745.46516285
1660953600,2022-08-20 00:00:00,XNO/USDT,0.906,0.9238,0.8974,0.9,69993.36778668,63137.416585190788
1660867200,2022-08-19 00:00:00,XNO/USDT,0.9799,0.9799,0.9,0.9,75938.9304,69629.15831734
1660780800,2022-08-18 00:00:00,XNO/USDT,0.9827,1.023,0.9799,0.9799,14015.3028,13929.99721136
1660694400,2022-08-17 00:00:00,XNO/USDT,1.0135,1.0462,0.9769,0.9827,12916.1396,13022.11871172
1660608000,2022-08-16 00:00:00,XNO/USDT,1.022,1.046,1.003,1.016,17732.0442,18116.1168851
1660521600,2022-08-15 00:00:00,XNO/USDT,1.0679,1.12,1.0199,1.0264,29323.0763,31170.57025747
1660435200,2022-08-14 00:00:00,XNO/USDT,1.0861,1.1134,1.0627,1.063,27012.1122,29458.15386156
1660348800,2022-08-13 00:00:00,XNO/USDT,1.1035,1.199,1.0821,1.0851,38299.0119,43464.1147139217
1660262400,2022-08-12 00:00:00,XNO/USDT,1.08,1.1642,1.067,1.1035,38532.1777,42779.11380503
1660176000,2022-08-11 00:00:00,XNO/USDT,1.0702,1.12,1.061,1.086,26089.9821,28453.25213372
1660089600,2022-08-10 00:00:00,XNO/USDT,1.0384,1.099,1.0152,1.0692,37854.3487,39911.62864044
1660003200,2022-08-09 00:00:00,XNO/USDT,1.0734,1.28,1.02,1.0331,131030.71195214,150187.73485221765
1659916800,2022-08-08 00:00:00,XNO/USDT,1.052,1.0879,1.0492,1.0733,13052.9266,13944.31653136
1659830400,2022-08-07 00:00:00,XNO/USDT,1.04,1.0745,1.0297,1.052,18786.4618,19566.12892021
1659744000,2022-08-06 00:00:00,XNO/USDT,1.0441,1.057,1.0354,1.0458,9387.4614,9813.95787777
1659657600,2022-08-05 00:00:00,XNO/USDT,1.0095,1.0575,0.9947,1.0453,19068.5297,19514.97706904
1659571200,2022-08-04 00:00:00,XNO/USDT,1.024,1.038,1.0036,1.0056,9366.1539,9543.62552149
1659484800,2022-08-03 00:00:00,XNO/USDT,1.02,1.0389,0.9986,1.029,7463.8085,7598.85532889
1659398400,2022-08-02 00:00:00,XNO/USDT,1.0168,1.0389,0.9848,1.0259,19065.657,19302.31299437
