https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume XRP
1663549200000,2022-09-19 01:00:00,XRP/USDT,0.36349325,0.36349325,0.36067078,0.36285457,1706.223802638104,4702.22492344
1663545600000,2022-09-19 00:00:00,XRP/USDT,0.35775651,0.365,0.35571458,0.36362218,9947.01796091055,27355.36638857
1663542000000,2022-09-18 23:00:00,XRP/USDT,0.36476428,0.36740866,0.35600723,0.35765071,10360.496968401229,28968.19908005
1663538400000,2022-09-18 22:00:00,XRP/USDT,0.37724,0.37803252,0.36,0.36345828,16945.213220078873,46622.16862986
1663534800000,2022-09-18 21:00:00,XRP/USDT,0.39343424,0.39440233,0.37722273,0.37722273,16203.032004292427,42953.48799446
1663531200000,2022-09-18 20:00:00,XRP/USDT,0.39640001,0.3975,0.39190503,0.39329251,10681.772544333973,27159.86771356
1663527600000,2022-09-18 19:00:00,XRP/USDT,0.39447978,0.39725,0.39085,0.39631663,10246.799907691277,25855.08437456
1663524000000,2022-09-18 18:00:00,XRP/USDT,0.38992815,0.39612407,0.38718794,0.3953215,11618.796718198008,29390.75339489
1663520400000,2022-09-18 17:00:00,XRP/USDT,0.38746,0.39120066,0.38346624,0.39035,15185.341706670893,38901.8616797
1663516800000,2022-09-18 16:00:00,XRP/USDT,0.38147199,0.38772297,0.37594393,0.38737731,21668.408490367543,55936.18400202
1663513200000,2022-09-18 15:00:00,XRP/USDT,0.37822267,0.38555175,0.37793392,0.3811351,14917.910904527167,39140.74275638
1663509600000,2022-09-18 14:00:00,XRP/USDT,0.38024081,0.38268379,0.37661551,0.37860015,26136.758188239175,69035.25576585
1663506000000,2022-09-18 13:00:00,XRP/USDT,0.3792853,0.38333252,0.37891738,0.38098346,8280.116951985245,21733.53392293
1663502400000,2022-09-18 12:00:00,XRP/USDT,0.37787486,0.37933606,0.37478717,0.37933459,10168.102871005956,26805.10330209
1663498800000,2022-09-18 11:00:00,XRP/USDT,0.37661368,0.37906001,0.37661368,0.37782774,16999.059630284373,44991.56051984
1663495200000,2022-09-18 10:00:00,XRP/USDT,0.38010792,0.38366002,0.37632361,0.37729588,9837.376360872642,26073.37339828
1663491600000,2022-09-18 09:00:00,XRP/USDT,0.38684581,0.39349253,0.37853607,0.38070387,14582.739102221274,38304.67786477
1663488000000,2022-09-18 08:00:00,XRP/USDT,0.38695474,0.39,0.3839424,0.38664906,7340.307909639504,18984.41938444
1663484400000,2022-09-18 07:00:00,XRP/USDT,0.37160778,0.39028911,0.37160778,0.38700528,27910.480575869,72119.12089641
1663480800000,2022-09-18 06:00:00,XRP/USDT,0.3696685,0.37301371,0.36918145,0.37162949,7018.666993763731,18886.19494046
1663477200000,2022-09-18 05:00:00,XRP/USDT,0.36811245,0.37065373,0.36811245,0.36981747,7891.925454605088,21340.05582431
1663473600000,2022-09-18 04:00:00,XRP/USDT,0.36837827,0.36996761,0.36697906,0.3681123,7445.120024301755,20225.13245089
1663470000000,2022-09-18 03:00:00,XRP/USDT,0.3699371,0.36998774,0.36779549,0.36835115,7830.400133471389,21257.9766168
1663466400000,2022-09-18 02:00:00,XRP/USDT,0.3670484,0.36992128,0.3670484,0.36991798,13971.327590461564,37768.717245
1663462800000,2022-09-18 01:00:00,XRP/USDT,0.37270017,0.37270017,0.36579874,0.36712182,18583.534797469336,50619.53222358
1663459200000,2022-09-18 00:00:00,XRP/USDT,0.37657322,0.37657517,0.37193021,0.37212358,10947.253433568867,29418.32773287
