https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HEART,Volume BTC
1663372800,2022-09-17 00:00:00,HEART/BTC,0.00000027,0.0000002799,0.000000259,0.0000002698,56480.2757,0.01513467819583
1663286400,2022-09-16 00:00:00,HEART/BTC,0.0000002719,0.0000002783,0.0000002669,0.0000002669,64443.2058,0.01737210834205
1663200000,2022-09-15 00:00:00,HEART/BTC,0.000000287,0.000000287,0.0000002719,0.0000002795,22661.6061,0.00629282361584
1663113600,2022-09-14 00:00:00,HEART/BTC,0.0000002777,0.00000028,0.0000002772,0.0000002772,52783.7676,0.01466866449867
1663027200,2022-09-13 00:00:00,HEART/BTC,0.0000002793,0.0000002877,0.0000002673,0.000000279,85218.0439,0.02359810618633
1662940800,2022-09-12 00:00:00,HEART/BTC,0.0000002871,0.0000002897,0.0000002712,0.0000002799,39788.5891,0.01108096643712
1662854400,2022-09-11 00:00:00,HEART/BTC,0.0000002782,0.0000002976,0.000000278,0.00000029,106974.4809,0.03073945891653
1662768000,2022-09-10 00:00:00,HEART/BTC,0.0000002852,0.0000002852,0.0000002768,0.0000002768,6651.736,0.00185195863648
1662681600,2022-09-09 00:00:00,HEART/BTC,0.0000002885,0.0000002991,0.0000002726,0.00000028,153547.6427,0.0429933743013
1662595200,2022-09-08 00:00:00,HEART/BTC,0.0000003012,0.0000003013,0.0000002885,0.0000002885,49932.3067,0.01488764962341
1662508800,2022-09-07 00:00:00,HEART/BTC,0.0000002924,0.0000003199,0.0000002876,0.0000003012,192328.2902,0.05760912147912
1662422400,2022-09-06 00:00:00,HEART/BTC,0.0000002772,0.0000002925,0.0000002491,0.0000002924,637027.7892,0.17394439945809
1662336000,2022-09-05 00:00:00,HEART/BTC,0.0000002874,0.00000029,0.0000002806,0.0000002874,39443.9696,0.01136699816985
1662249600,2022-09-04 00:00:00,HEART/BTC,0.0000002786,0.000000287,0.0000002773,0.0000002775,9939.0608,0.00276701295061
1662163200,2022-09-03 00:00:00,HEART/BTC,0.0000002888,0.0000002888,0.0000002768,0.0000002864,38366.5685,0.01067762485474
1662076800,2022-09-02 00:00:00,HEART/BTC,0.0000002774,0.0000002891,0.0000002772,0.0000002891,35967.7574,0.01007865912003
1661990400,2022-09-01 00:00:00,HEART/BTC,0.0000002954,0.0000002999,0.0000002772,0.00000028,187255.1418,0.05350961940572
1661904000,2022-08-31 00:00:00,HEART/BTC,0.0000002756,0.0000003099,0.0000002693,0.0000002909,116507.3454,0.0340853654425
1661817600,2022-08-30 00:00:00,HEART/BTC,0.0000002799,0.0000002843,0.0000002695,0.0000002728,38256.3653,0.01060055978052
1661731200,2022-08-29 00:00:00,HEART/BTC,0.0000002813,0.0000002834,0.0000002698,0.000000272,21514.819,0.00598133410036
1661644800,2022-08-28 00:00:00,HEART/BTC,0.0000002738,0.0000002842,0.0000002687,0.00000028,136311.659,0.03728256852981
1661558400,2022-08-27 00:00:00,HEART/BTC,0.0000002785,0.0000002888,0.0000002733,0.0000002798,74107.1946,0.0206026484145
1661472000,2022-08-26 00:00:00,HEART/BTC,0.0000002699,0.0000002785,0.0000002606,0.0000002785,46008.6562,0.01236029461706
1661385600,2022-08-25 00:00:00,HEART/BTC,0.0000002641,0.00000027,0.0000002606,0.0000002643,19009.1473,0.00509751867904
1661299200,2022-08-24 00:00:00,HEART/BTC,0.0000002721,0.0000002784,0.0000002592,0.0000002675,26625.5965,0.00708521910151
1661212800,2022-08-23 00:00:00,HEART/BTC,0.00000028,0.000000284,0.0000002659,0.0000002727,45378.2909,0.0124011388996
1661126400,2022-08-22 00:00:00,HEART/BTC,0.0000002789,0.0000002791,0.0000002673,0.0000002791,30533.0292,0.00834389968254
1661040000,2022-08-21 00:00:00,HEART/BTC,0.0000002853,0.0000002853,0.0000002722,0.0000002785,17688.0975,0.00493167803798
1660953600,2022-08-20 00:00:00,HEART/BTC,0.0000002978,0.0000003198,0.0000002729,0.0000002889,231315.9619,0.06887501076883
1660867200,2022-08-19 00:00:00,HEART/BTC,0.0000002526,0.0000003299,0.000000252,0.0000003033,658629.2753,0.19150011929234
1660780800,2022-08-18 00:00:00,HEART/BTC,0.0000002497,0.000000254,0.0000002443,0.0000002485,38725.5191,0.00961354843681
1660694400,2022-08-17 00:00:00,HEART/BTC,0.0000002497,0.0000002595,0.0000002458,0.0000002595,45494.734,0.01138908459493
1660608000,2022-08-16 00:00:00,HEART/BTC,0.00000027,0.00000027,0.0000002496,0.0000002517,120207.8445,0.03121349361169
1660521600,2022-08-15 00:00:00,HEART/BTC,0.00000025,0.000000287,0.000000242,0.0000002673,348499.3897,0.09158754433179
1660435200,2022-08-14 00:00:00,HEART/BTC,0.0000002599,0.0000003145,0.0000002406,0.0000002507,835668.3915,0.23020487914234
1660348800,2022-08-13 00:00:00,HEART/BTC,0.0000002477,0.0000002664,0.0000002377,0.0000002522,124380.7382,0.031378413554
1660262400,2022-08-12 00:00:00,HEART/BTC,0.0000002574,0.0000002599,0.0000002376,0.0000002475,706192.8274,0.17522669905592
1660176000,2022-08-11 00:00:00,HEART/BTC,0.0000002671,0.0000002699,0.0000002497,0.0000002577,116591.5638,0.03024012091432
1660089600,2022-08-10 00:00:00,HEART/BTC,0.0000002632,0.0000002699,0.0000002478,0.0000002678,59021.7951,0.01529356558498
1660003200,2022-08-09 00:00:00,HEART/BTC,0.0000002673,0.0000002701,0.0000002588,0.0000002588,46397.8542,0.01228828597505
1659916800,2022-08-08 00:00:00,HEART/BTC,0.000000269,0.0000002708,0.0000002376,0.0000002614,861339.9894,0.22052137005747
1659830400,2022-08-07 00:00:00,HEART/BTC,0.0000002772,0.0000002865,0.0000002636,0.0000002694,174738.0703,0.04754113669492
1659744000,2022-08-06 00:00:00,HEART/BTC,0.0000002475,0.0000004149,0.0000002475,0.00000028,1266655.9223,0.3981701835676
1659657600,2022-08-05 00:00:00,HEART/BTC,0.0000002517,0.0000002517,0.0000002406,0.0000002481,17381.9835,0.00432399310041
1659571200,2022-08-04 00:00:00,HEART/BTC,0.0000002492,0.00000025,0.0000002416,0.0000002477,42332.5957,0.01044756590475
1659484800,2022-08-03 00:00:00,HEART/BTC,0.0000002459,0.00000025,0.0000002308,0.0000002419,246138.4189,0.05917043796696
1659398400,2022-08-02 00:00:00,HEART/BTC,0.0000002696,0.0000002712,0.0000002178,0.0000002492,2042050.9761,0.51056585787079
1659312000,2022-08-01 00:00:00,HEART/BTC,0.0000002583,0.00000027,0.0000002536,0.0000002672,166339.2918,0.04363931094926
1659225600,2022-07-31 00:00:00,HEART/BTC,0.0000002497,0.00000026,0.0000002475,0.0000002579,28489.6034,0.00722892723107
1659139200,2022-07-30 00:00:00,HEART/BTC,0.0000002545,0.0000002596,0.0000002407,0.0000002502,50260.386,0.01263027731963
1659052800,2022-07-29 00:00:00,HEART/BTC,0.0000002588,0.0000002683,0.0000002398,0.0000002514,200029.2057,0.04981199954764
1658966400,2022-07-28 00:00:00,HEART/BTC,0.0000002651,0.00000027,0.0000002537,0.00000026,173015.2191,0.04539126458793
1658880000,2022-07-27 00:00:00,HEART/BTC,0.0000002893,0.000000292,0.0000002574,0.00000027,191852.6646,0.05258851451458
1658793600,2022-07-26 00:00:00,HEART/BTC,0.0000002819,0.00000029,0.0000002785,0.0000002825,12799.4346,0.00368020694228
1658707200,2022-07-25 00:00:00,HEART/BTC,0.0000002729,0.00000028,0.0000002686,0.00000028,88079.859,0.02421218210736
1658620800,2022-07-24 00:00:00,HEART/BTC,0.0000002842,0.0000002842,0.0000002585,0.00000027,45814.4615,0.01234954180646
1658534400,2022-07-23 00:00:00,HEART/BTC,0.0000002871,0.0000002997,0.0000002773,0.000000279,184447.4947,0.05302887201143
1658448000,2022-07-22 00:00:00,HEART/BTC,0.0000002855,0.0000003045,0.0000002829,0.0000002871,187085.6291,0.05504521746893
1658361600,2022-07-21 00:00:00,HEART/BTC,0.0000002791,0.00000032,0.0000002689,0.00000029,306561.5856,0.08936222077721
1658275200,2022-07-20 00:00:00,HEART/BTC,0.0000002719,0.0000003099,0.000000263,0.0000002673,327411.0147,0.09127743130938
1658188800,2022-07-19 00:00:00,HEART/BTC,0.0000002871,0.0000002957,0.0000002707,0.0000002799,186565.7396,0.05209120069156
1658102400,2022-07-18 00:00:00,HEART/BTC,0.0000003013,0.0000003017,0.0000002777,0.0000002996,161902.7702,0.04670762237761
1658016000,2022-07-17 00:00:00,HEART/BTC,0.000000289,0.0000003025,0.0000002869,0.0000003007,35360.9066,0.01037789473923
1657929600,2022-07-16 00:00:00,HEART/BTC,0.0000002933,0.0000003,0.0000002772,0.00000029,78900.3778,0.02294174372402
1657843200,2022-07-15 00:00:00,HEART/BTC,0.0000003079,0.0000003079,0.0000002913,0.0000002913,67329.1942,0.02013915409052
1657756800,2022-07-14 00:00:00,HEART/BTC,0.0000003073,0.0000003196,0.0000002974,0.0000002982,30530.7202,0.00940461716853
1657670400,2022-07-13 00:00:00,HEART/BTC,0.0000003495,0.0000003599,0.0000002977,0.0000003194,379725.8831,0.11738602984241
1657584000,2022-07-12 00:00:00,HEART/BTC,0.0000003407,0.0000003469,0.000000338,0.000000338,4776.8622,0.00162599358682
1657497600,2022-07-11 00:00:00,HEART/BTC,0.0000003321,0.00000034,0.0000003317,0.0000003372,11581.865,0.00391402976894
1657411200,2022-07-10 00:00:00,HEART/BTC,0.0000003192,0.00000033,0.000000319,0.00000033,39385.317,0.01289801811485
1657324800,2022-07-09 00:00:00,HEART/BTC,0.0000003184,0.0000003196,0.0000003083,0.0000003083,8469.8336,0.00265534391281
1657238400,2022-07-08 00:00:00,HEART/BTC,0.0000003168,0.00000032,0.0000003137,0.0000003168,30904.6299,0.00983225566468
1657152000,2022-07-07 00:00:00,HEART/BTC,0.0000003366,0.0000003399,0.0000003138,0.00000032,59156.472,0.01931733484201
1657065600,2022-07-06 00:00:00,HEART/BTC,0.0000003396,0.00000034,0.0000003276,0.0000003276,79165.4424,0.02660075072275
1656979200,2022-07-05 00:00:00,HEART/BTC,0.0000003522,0.0000003522,0.0000003366,0.0000003396,46013.3078,0.01585712892911
1656892800,2022-07-04 00:00:00,HEART/BTC,0.0000003597,0.0000003683,0.0000003437,0.0000003598,72692.9865,0.02572375207078
1656806400,2022-07-03 00:00:00,HEART/BTC,0.0000003691,0.00000037,0.0000003554,0.0000003554,88712.0028,0.03264226583193
1656720000,2022-07-02 00:00:00,HEART/BTC,0.0000003643,0.00000037,0.000000358,0.0000003641,25681.2052,0.00936483501843
1656633600,2022-07-01 00:00:00,HEART/BTC,0.0000003617,0.00000042,0.0000003564,0.00000037,235973.9504,0.09161502394703
1656547200,2022-06-30 00:00:00,HEART/BTC,0.0000003573,0.0000003899,0.0000003573,0.0000003663,47652.5043,0.01788320703447
1656460800,2022-06-29 00:00:00,HEART/BTC,0.0000003366,0.0000003799,0.0000003298,0.00000036,113212.5139,0.04056507725313
1656374400,2022-06-28 00:00:00,HEART/BTC,0.0000003391,0.0000003499,0.0000003198,0.0000003366,72728.6702,0.02449732838886
1656288000,2022-06-27 00:00:00,HEART/BTC,0.0000003465,0.0000003485,0.0000003267,0.0000003393,103740.3267,0.03449178119714
1656201600,2022-06-26 00:00:00,HEART/BTC,0.000000339,0.00000035,0.000000339,0.00000035,19720.213,0.00682443780695
1656115200,2022-06-25 00:00:00,HEART/BTC,0.0000003582,0.0000003655,0.0000003465,0.0000003498,45191.394,0.01611722607358
1656028800,2022-06-24 00:00:00,HEART/BTC,0.0000003639,0.00000037,0.0000003599,0.0000003659,33013.1814,0.01211393355795
1655942400,2022-06-23 00:00:00,HEART/BTC,0.0000003465,0.000000559,0.0000003375,0.0000003694,1114692.5436,0.47804130692112
1655856000,2022-06-22 00:00:00,HEART/BTC,0.0000003345,0.00000035,0.0000003177,0.000000347,147143.634,0.04873373829317
1655769600,2022-06-21 00:00:00,HEART/BTC,0.0000003168,0.00000034,0.0000003168,0.0000003349,195561.2656,0.06515945967153
1655683200,2022-06-20 00:00:00,HEART/BTC,0.0000003192,0.00000033,0.000000303,0.0000003181,72234.983,0.02295866779483
1655596800,2022-06-19 00:00:00,HEART/BTC,0.0000003202,0.0000003397,0.0000003069,0.0000003171,182557.0804,0.05950364800499
1655510400,2022-06-18 00:00:00,HEART/BTC,0.0000003346,0.00000036,0.0000003168,0.0000003168,213692.5375,0.07175661292552
1655424000,2022-06-17 00:00:00,HEART/BTC,0.0000003564,0.0000003697,0.0000003177,0.0000003346,348445.0154,0.11758129283836
1655337600,2022-06-16 00:00:00,HEART/BTC,0.0000003568,0.00000043,0.0000003366,0.00000036,866166.8843,0.32746976202138
1655251200,2022-06-15 00:00:00,HEART/BTC,0.000000282,0.0000006999,0.000000282,0.00000036,2869796.92704286,1.2189959087885298
1655164800,2022-06-14 00:00:00,HEART/BTC,0.0000003069,0.0000003498,0.0000002745,0.0000002896,563940.501,0.1741942056384
1655078400,2022-06-13 00:00:00,HEART/BTC,0.0000002994,0.00000033,0.0000002398,0.00000031,663895.0721,0.18912998147614
1654992000,2022-06-12 00:00:00,HEART/BTC,0.0000003069,0.00000032,0.0000002747,0.0000002929,262239.0071,0.07758625747618
1654905600,2022-06-11 00:00:00,HEART/BTC,0.0000002996,0.0000003175,0.0000002996,0.000000308,22296.2516,0.00686866748304
1654819200,2022-06-10 00:00:00,HEART/BTC,0.0000003305,0.0000003305,0.0000002779,0.0000003044,179858.6567,0.05425093623259
1654732800,2022-06-09 00:00:00,HEART/BTC,0.0000003407,0.0000003478,0.0000003102,0.0000003267,222453.5926,0.07199217425685
1654646400,2022-06-08 00:00:00,HEART/BTC,0.0000003604,0.0000003792,0.0000003565,0.0000003671,11650.70041803,0.004197212924346976
1654560000,2022-06-07 00:00:00,HEART/BTC,0.00000038,0.0000003956,0.0000003591,0.0000003591,454120.9576,0.17230728837688
1654473600,2022-06-06 00:00:00,HEART/BTC,0.000000389,0.000000389,0.000000369,0.0000003735,32832.50403296,0.012421840048256592
1654387200,2022-06-05 00:00:00,HEART/BTC,0.0000003861,0.0000003997,0.0000003861,0.0000003997,10486.36754263,0.004148500731289211
1654300800,2022-06-04 00:00:00,HEART/BTC,0.0000003913,0.0000003931,0.0000003913,0.0000003916,2314.8339,0.00090635982997
1654214400,2022-06-03 00:00:00,HEART/BTC,0.0000003997,0.0000003997,0.0000003766,0.00000039,81068.8008,0.03143887235846
1654128000,2022-06-02 00:00:00,HEART/BTC,0.0000003867,0.0000004011,0.0000003861,0.0000004,44543.6619,0.0177655252815
1654041600,2022-06-01 00:00:00,HEART/BTC,0.0000003797,0.0000004,0.0000003712,0.0000003971,62000.6843,0.02395904009656
1653955200,2022-05-31 00:00:00,HEART/BTC,0.00000037,0.0000003818,0.0000003664,0.0000003719,43294.7016,0.01615666743643
1653868800,2022-05-30 00:00:00,HEART/BTC,0.0000003692,0.0000003816,0.0000003663,0.0000003698,92614.90858893,0.034352115966407754
1653782400,2022-05-29 00:00:00,HEART/BTC,0.0000003691,0.0000003899,0.0000003664,0.0000003692,93740.5814,0.03490993163089
1653696000,2022-05-28 00:00:00,HEART/BTC,0.0000003643,0.00000037,0.0000003597,0.0000003612,6211.5828,0.00223478379075
1653609600,2022-05-27 00:00:00,HEART/BTC,0.0000003819,0.0000003897,0.0000003641,0.00000037,71656.2335,0.02639665295367
1653523200,2022-05-26 00:00:00,HEART/BTC,0.000000413,0.00000042,0.0000003861,0.00000039,106390.8264,0.04337771968642
1653436800,2022-05-25 00:00:00,HEART/BTC,0.0000003961,0.00000043,0.0000003961,0.0000004158,90583.22775714,0.0376051591686202
1653350400,2022-05-24 00:00:00,HEART/BTC,0.0000004262,0.00000045,0.0000003983,0.00000041,60535.1509,0.02579513741818
1653264000,2022-05-23 00:00:00,HEART/BTC,0.0000004104,0.00000042,0.0000003887,0.0000004158,93839.9603113,0.03826902872775922
1653177600,2022-05-22 00:00:00,HEART/BTC,0.00000043,0.00000043,0.0000004061,0.0000004191,43512.07508785,0.018197385601676435
1653091200,2022-05-21 00:00:00,HEART/BTC,0.0000003866,0.00000046,0.0000003866,0.0000004158,286406.18802162,0.123983361647299304
1653004800,2022-05-20 00:00:00,HEART/BTC,0.0000003597,0.0000003994,0.0000003507,0.0000003894,104519.7747,0.03922491230102
1652918400,2022-05-19 00:00:00,HEART/BTC,0.0000004037,0.00000042,0.00000034,0.0000003473,171593.65026993,0.065075177261759416
1652832000,2022-05-18 00:00:00,HEART/BTC,0.00000038,0.0000004004,0.00000038,0.0000004004,30033.8777,0.01195496634755
1652745600,2022-05-17 00:00:00,HEART/BTC,0.00000041,0.00000042,0.00000038,0.00000039,106623.8959,0.04206695683
1652659200,2022-05-16 00:00:00,HEART/BTC,0.00000039,0.00000042,0.00000039,0.00000041,39236.1092,0.01607620158
1652572800,2022-05-15 00:00:00,HEART/BTC,0.00000038,0.00000041,0.00000038,0.0000004,170460.24878292,0.0680100247789972
1652486400,2022-05-14 00:00:00,HEART/BTC,0.00000041,0.00000041,0.00000033,0.00000037,597203.2222,0.222141630275
1652400000,2022-05-13 00:00:00,HEART/BTC,0.00000038,0.00000042,0.00000033,0.00000041,1364360.80086831,0.5283461852670071
1652313600,2022-05-12 00:00:00,HEART/BTC,0.00000043,0.00000047,0.00000034,0.00000037,838603.32329114,0.3334696122999894
1652227200,2022-05-11 00:00:00,HEART/BTC,0.00000055,0.00000057,0.00000041,0.00000045,1280137.57168511,0.5987973311799973
1652140800,2022-05-10 00:00:00,HEART/BTC,0.00000058,0.00000058,0.00000053,0.00000055,289803.4181,0.161064921898
1652054400,2022-05-09 00:00:00,HEART/BTC,0.00000057,0.00000061,0.00000056,0.00000058,251694.5596,0.1460459089093333
1651968000,2022-05-08 00:00:00,HEART/BTC,0.00000057,0.00000059,0.00000056,0.00000058,417401.8376,0.239175727035
1651881600,2022-05-07 00:00:00,HEART/BTC,0.00000057,0.00000059,0.00000056,0.00000057,260875.2147,0.149381565151
1651795200,2022-05-06 00:00:00,HEART/BTC,0.00000059,0.0000006,0.00000057,0.00000057,115924.55059999,0.067017009154994
1651708800,2022-05-05 00:00:00,HEART/BTC,0.00000059,0.00000061,0.00000057,0.00000058,221254.6762,0.130751880787
1651622400,2022-05-04 00:00:00,HEART/BTC,0.0000006,0.00000061,0.00000057,0.00000059,199418.7423,0.117946340623
1651536000,2022-05-03 00:00:00,HEART/BTC,0.00000065,0.0000007,0.00000057,0.00000061,505031.67510391,0.3094219764230067
1651449600,2022-05-02 00:00:00,HEART/BTC,0.0000006,0.00000068,0.0000006,0.00000067,231330.69413088,0.1486863675549984
1651363200,2022-05-01 00:00:00,HEART/BTC,0.0000006,0.00000062,0.0000006,0.0000006,18814.6002,0.011356758917
1651276800,2022-04-30 00:00:00,HEART/BTC,0.0000006,0.00000062,0.00000058,0.00000061,62823.465,0.038072199248
1651190400,2022-04-29 00:00:00,HEART/BTC,0.0000006,0.00000063,0.00000058,0.0000006,113499.0798,0.068950942799
1651104000,2022-04-28 00:00:00,HEART/BTC,0.00000062,0.00000063,0.0000006,0.00000061,226359.11481269,0.1395537331359947
1651017600,2022-04-27 00:00:00,HEART/BTC,0.00000061,0.00000063,0.0000006,0.00000062,147611.6759,0.090626351924
1650931200,2022-04-26 00:00:00,HEART/BTC,0.0000006,0.00000063,0.00000058,0.0000006,164917.5891762,0.099936036672006
1650844800,2022-04-25 00:00:00,HEART/BTC,0.00000063,0.00000064,0.00000059,0.0000006,116295.6541238,0.070086546288994
1650758400,2022-04-24 00:00:00,HEART/BTC,0.00000067,0.00000067,0.00000062,0.00000063,34521.2221,0.022075968492
1650672000,2022-04-23 00:00:00,HEART/BTC,0.00000067,0.00000072,0.00000065,0.00000065,160650.59171981,0.110683513221996
1650585600,2022-04-22 00:00:00,HEART/BTC,0.00000062,0.0000007,0.0000006,0.00000067,194497.69204117,0.1299574348659956
1650499200,2022-04-21 00:00:00,HEART/BTC,0.00000062,0.00000064,0.00000059,0.00000061,344533.9301,0.208271977503
1650412800,2022-04-20 00:00:00,HEART/BTC,0.00000065,0.00000068,0.00000061,0.00000063,475819.71377575,0.310435907931995
1650326400,2022-04-19 00:00:00,HEART/BTC,0.00000064,0.00000071,0.00000063,0.00000064,769208.0387,0.506157399384
