https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BLZ,Volume USDT,tradecount
1655856000000,2022-06-22 00:00:00,BLZ/USDT,0.08808,0.08833,0.08366,0.08507,22508639,1920632.81879,9303
1655852400000,2022-06-21 23:00:00,BLZ/USDT,0.08946,0.09009,0.08686,0.08806,14916447,1316157.99219,7584
1655848800000,2022-06-21 22:00:00,BLZ/USDT,0.08879,0.08970,0.08757,0.08945,9740044,863930.63251,5893
1655845200000,2022-06-21 21:00:00,BLZ/USDT,0.08833,0.08960,0.08804,0.08878,9778550,868492.98080,4942
1655841600000,2022-06-21 20:00:00,BLZ/USDT,0.08797,0.08887,0.08732,0.08833,18956315,1670445.86053,10430
1655838000000,2022-06-21 19:00:00,BLZ/USDT,0.09099,0.09214,0.08744,0.08799,27799234,2490572.12471,11815
1655834400000,2022-06-21 18:00:00,BLZ/USDT,0.09176,0.09176,0.09059,0.09101,17977633,1638539.01991,7904
1655830800000,2022-06-21 17:00:00,BLZ/USDT,0.09344,0.09407,0.09158,0.09177,20186016,1873175.79162,8311
1655827200000,2022-06-21 16:00:00,BLZ/USDT,0.09327,0.09537,0.09259,0.09346,24595077,2311350.71244,10145
1655823600000,2022-06-21 15:00:00,BLZ/USDT,0.09419,0.09422,0.09247,0.09326,22658287,2115582.87672,9007
1655820000000,2022-06-21 14:00:00,BLZ/USDT,0.09361,0.09508,0.09201,0.09423,42062650,3942074.47522,14748
1655816400000,2022-06-21 13:00:00,BLZ/USDT,0.09099,0.09388,0.08993,0.09356,35798608,3308734.94601,13810
1655812800000,2022-06-21 12:00:00,BLZ/USDT,0.08964,0.09107,0.08921,0.09098,18907989,1706002.92391,8564
1655809200000,2022-06-21 11:00:00,BLZ/USDT,0.09229,0.09284,0.08936,0.08966,23234718,2115183.89874,10849
1655805600000,2022-06-21 10:00:00,BLZ/USDT,0.09126,0.09277,0.09050,0.09225,19894817,1825336.61181,9827
1655802000000,2022-06-21 09:00:00,BLZ/USDT,0.09247,0.09285,0.09067,0.09126,20456753,1875381.78575,9497
1655798400000,2022-06-21 08:00:00,BLZ/USDT,0.09087,0.09323,0.09075,0.09247,30075675,2771740.12801,11632
1655794800000,2022-06-21 07:00:00,BLZ/USDT,0.09189,0.09199,0.09051,0.09091,18847070,1718281.67150,7694
1655791200000,2022-06-21 06:00:00,BLZ/USDT,0.09148,0.09250,0.09110,0.09187,20010189,1838770.11164,8959
1655787600000,2022-06-21 05:00:00,BLZ/USDT,0.09039,0.09200,0.09037,0.09150,22748753,2077604.66438,10177
1655784000000,2022-06-21 04:00:00,BLZ/USDT,0.09025,0.09117,0.08891,0.09037,21864189,1970166.53574,7767
