https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPINE,Volume USDT
1663459200,2022-09-18 00:00:00,ALPINE/USDT,3.744,3.744,3.719,3.719,5.1119,19.0613326
1663455600,2022-09-17 23:00:00,ALPINE/USDT,3.71,3.71,3.71,3.71,0,0
1663452000,2022-09-17 22:00:00,ALPINE/USDT,3.72,3.72,3.71,3.71,78.5474,291.437736
1663448400,2022-09-17 21:00:00,ALPINE/USDT,3.746,3.746,3.746,3.746,0,0
1663444800,2022-09-17 20:00:00,ALPINE/USDT,3.72,3.746,3.72,3.746,55.4602,207.5167295
1663441200,2022-09-17 19:00:00,ALPINE/USDT,3.703,3.703,3.684,3.684,11.2696,41.5253821
1663437600,2022-09-17 18:00:00,ALPINE/USDT,3.708,3.708,3.708,3.708,0.4303,1.5955524
1663434000,2022-09-17 17:00:00,ALPINE/USDT,3.698,3.698,3.698,3.698,0.5426,2.0065348
1663430400,2022-09-17 16:00:00,ALPINE/USDT,3.695,3.695,3.695,3.695,241.6919,893.0515705
1663426800,2022-09-17 15:00:00,ALPINE/USDT,3.689,3.689,3.677,3.677,3.6983,13.6252879
1663423200,2022-09-17 14:00:00,ALPINE/USDT,3.694,3.711,3.694,3.707,77.5942,287.9395436
1663419600,2022-09-17 13:00:00,ALPINE/USDT,3.696,3.711,3.696,3.711,155.8516,577.2149219
1663416000,2022-09-17 12:00:00,ALPINE/USDT,3.674,3.696,3.668,3.696,38.9526,143.0998095
1663412400,2022-09-17 11:00:00,ALPINE/USDT,3.684,3.684,3.684,3.684,0,0
1663408800,2022-09-17 10:00:00,ALPINE/USDT,3.704,3.704,3.684,3.684,2.0071,7.4237228
1663405200,2022-09-17 09:00:00,ALPINE/USDT,3.671,3.72,3.671,3.717,94.1961,346.9150197
1663401600,2022-09-17 08:00:00,ALPINE/USDT,3.66,3.66,3.66,3.66,29.5211,108.047226
1663398000,2022-09-17 07:00:00,ALPINE/USDT,3.643,3.643,3.636,3.636,14.1011,51.2723073
