https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CEEK,Volume USDT
1663459200,2022-09-18 00:00:00,CEEK/USDT,0.1518,0.1518,0.1498,0.1516,6453.1164,968.79244445
1663372800,2022-09-17 00:00:00,CEEK/USDT,0.1498,0.1541,0.148,0.1515,217322.1905,32712.95140484
1663286400,2022-09-16 00:00:00,CEEK/USDT,0.1498,0.1559,0.1454,0.1505,456936.602,68436.36518476
1663200000,2022-09-15 00:00:00,CEEK/USDT,0.1577,0.166,0.1485,0.1485,335384.4262,51668.63048609
1663113600,2022-09-14 00:00:00,CEEK/USDT,0.1618,0.1663,0.1526,0.1597,566866.79930156,90037.03342546258
1663027200,2022-09-13 00:00:00,CEEK/USDT,0.17,0.1723,0.16,0.1629,579569.0391,95767.76868679
1662940800,2022-09-12 00:00:00,CEEK/USDT,0.172,0.1768,0.1653,0.17,587939.9905,100209.28894636
1662854400,2022-09-11 00:00:00,CEEK/USDT,0.1742,0.1798,0.169,0.1704,407873.8724,70387.85022987
1662768000,2022-09-10 00:00:00,CEEK/USDT,0.1736,0.185,0.1696,0.1742,841780.1544,147101.26498806
1662681600,2022-09-09 00:00:00,CEEK/USDT,0.1667,0.1914,0.1635,0.1744,1289986.6904,222445.24632707
1662595200,2022-09-08 00:00:00,CEEK/USDT,0.1708,0.1727,0.1603,0.1655,976541.3339,162579.1340417
1662508800,2022-09-07 00:00:00,CEEK/USDT,0.1621,0.175,0.1591,0.1722,783272.6423,131481.65520735
1662422400,2022-09-06 00:00:00,CEEK/USDT,0.1741,0.1763,0.1613,0.1619,963677.3388,162877.82327138
1662336000,2022-09-05 00:00:00,CEEK/USDT,0.172,0.1773,0.1657,0.1754,554778.6942,95323.46783135
1662249600,2022-09-04 00:00:00,CEEK/USDT,0.1744,0.1761,0.165,0.1723,312867.0565,53220.99878572
1662163200,2022-09-03 00:00:00,CEEK/USDT,0.1661,0.1813,0.1649,0.174,636431.85940378,110353.9864777404
1662076800,2022-09-02 00:00:00,CEEK/USDT,0.1656,0.1701,0.1629,0.1658,413034.9176,68931.56810245
1661990400,2022-09-01 00:00:00,CEEK/USDT,0.168,0.1704,0.1611,0.1664,668881.0693,110890.34042633
1661904000,2022-08-31 00:00:00,CEEK/USDT,0.1681,0.176,0.1663,0.1674,250879.49938374,42561.457490247015
1661817600,2022-08-30 00:00:00,CEEK/USDT,0.1742,0.1779,0.1652,0.1681,429166.37102658,73427.333173774553
1661731200,2022-08-29 00:00:00,CEEK/USDT,0.1686,0.1778,0.1623,0.1733,489273.56453778,83633.608462515297
1661644800,2022-08-28 00:00:00,CEEK/USDT,0.1729,0.18,0.167,0.1674,329722.75675232,57501.219913576833
1661558400,2022-08-27 00:00:00,CEEK/USDT,0.1787,0.1838,0.1705,0.1725,491604.98192578,85870.605051278131
1661472000,2022-08-26 00:00:00,CEEK/USDT,0.1954,0.1954,0.1748,0.1789,819404.84995965,151798.210789853998
1661385600,2022-08-25 00:00:00,CEEK/USDT,0.1985,0.1992,0.1911,0.1955,535216.36182844,104451.700122078341
1661299200,2022-08-24 00:00:00,CEEK/USDT,0.1985,0.2079,0.196,0.1985,450586.40108465,89888.058526795484
1661212800,2022-08-23 00:00:00,CEEK/USDT,0.2005,0.203,0.1938,0.1985,545284.42939288,107956.975585400097
1661126400,2022-08-22 00:00:00,CEEK/USDT,0.21,0.2101,0.1911,0.2006,747920.72487557,148073.825334379291
1661040000,2022-08-21 00:00:00,CEEK/USDT,0.1854,0.2158,0.1854,0.2101,1343007.00295809,274683.173204800749
1660953600,2022-08-20 00:00:00,CEEK/USDT,0.1864,0.1925,0.18,0.1868,721167.23591162,133697.123889909183
1660867200,2022-08-19 00:00:00,CEEK/USDT,0.1946,0.2007,0.1851,0.1855,1120954.28478735,215253.204260405536
1660780800,2022-08-18 00:00:00,CEEK/USDT,0.2142,0.221,0.1941,0.1941,931177.68590773,194578.087172909177
1660694400,2022-08-17 00:00:00,CEEK/USDT,0.2251,0.2294,0.2128,0.2137,919796.48423643,203464.580079804888
1660608000,2022-08-16 00:00:00,CEEK/USDT,0.2242,0.2291,0.2226,0.2251,432686.88731506,97534.208753547094
1660521600,2022-08-15 00:00:00,CEEK/USDT,0.23,0.2307,0.2217,0.224,906717.16685485,204309.231239447294
1660435200,2022-08-14 00:00:00,CEEK/USDT,0.2342,0.2431,0.2268,0.2301,805691.74685995,188166.460745877592
1660348800,2022-08-13 00:00:00,CEEK/USDT,0.2298,0.246,0.2269,0.2342,680521.25439723,158497.78749082466
1660262400,2022-08-12 00:00:00,CEEK/USDT,0.2292,0.2349,0.224,0.2297,533906.959762,122100.784652698782
1660176000,2022-08-11 00:00:00,CEEK/USDT,0.2337,0.2378,0.2279,0.2291,970649.50964705,226130.236169850101
1660089600,2022-08-10 00:00:00,CEEK/USDT,0.2283,0.2399,0.2213,0.2337,1725494.47837025,396947.76799252155
1660003200,2022-08-09 00:00:00,CEEK/USDT,0.2387,0.2391,0.2205,0.2283,1105772.39348738,257127.733700706819
1659916800,2022-08-08 00:00:00,CEEK/USDT,0.2421,0.245,0.2355,0.2378,509228.33311817,122607.715261422554
1659830400,2022-08-07 00:00:00,CEEK/USDT,0.2368,0.2481,0.2334,0.2419,543701.82906112,129646.967103997538
1659744000,2022-08-06 00:00:00,CEEK/USDT,0.2373,0.2589,0.2333,0.2367,1124938.44688321,271139.937517574408
1659657600,2022-08-05 00:00:00,CEEK/USDT,0.2356,0.2424,0.2332,0.2352,692133.37532801,162968.712221294415
1659571200,2022-08-04 00:00:00,CEEK/USDT,0.2315,0.2655,0.2289,0.2356,1452554.28784185,344602.604923932601
1659484800,2022-08-03 00:00:00,CEEK/USDT,0.2324,0.2389,0.2261,0.2315,780940.53237278,183101.254291050641
1659398400,2022-08-02 00:00:00,CEEK/USDT,0.2417,0.244,0.2253,0.2323,929985.68635484,217307.402089041795
1659312000,2022-08-01 00:00:00,CEEK/USDT,0.24,0.2476,0.2371,0.241,1082089.13752966,261171.604540160004
1659225600,2022-07-31 00:00:00,CEEK/USDT,0.2404,0.2536,0.2379,0.2399,1063896.7964111,261572.842257057468
1659139200,2022-07-30 00:00:00,CEEK/USDT,0.251,0.2591,0.2403,0.2404,1124032.73494294,284084.604219332359
1659052800,2022-07-29 00:00:00,CEEK/USDT,0.2569,0.2639,0.2482,0.2507,1117841.65744238,285174.03902928571
1658966400,2022-07-28 00:00:00,CEEK/USDT,0.259,0.27,0.252,0.257,1266165.17434836,324571.314533010857
1658880000,2022-07-27 00:00:00,CEEK/USDT,0.24,0.2623,0.239,0.2586,1161354.2783892,289267.651025421745
1658793600,2022-07-26 00:00:00,CEEK/USDT,0.246,0.2496,0.235,0.24,1139082.74953903,275133.882174120125
1658707200,2022-07-25 00:00:00,CEEK/USDT,0.263,0.2662,0.246,0.246,1958685.53452421,499892.423484297376
1658620800,2022-07-24 00:00:00,CEEK/USDT,0.2479,0.28,0.2419,0.263,1657619.62309459,429587.309385439594
1658534400,2022-07-23 00:00:00,CEEK/USDT,0.2477,0.2549,0.2366,0.2479,1786947.48018235,439498.130901832793
1658448000,2022-07-22 00:00:00,CEEK/USDT,0.2615,0.2713,0.2431,0.2475,2555037.62288883,659303.243010794907
1658361600,2022-07-21 00:00:00,CEEK/USDT,0.2646,0.2657,0.2479,0.2619,2672659.08054438,681457.880164973057
1658275200,2022-07-20 00:00:00,CEEK/USDT,0.2819,0.2921,0.2497,0.2642,3468025.86868849,955311.094634118589
1658188800,2022-07-19 00:00:00,CEEK/USDT,0.2866,0.292,0.2752,0.2821,2921892.02614246,823318.980219545693
1658102400,2022-07-18 00:00:00,CEEK/USDT,0.2633,0.299,0.2613,0.2876,3793268.10072044,1062058.972334430293
1658016000,2022-07-17 00:00:00,CEEK/USDT,0.2903,0.3046,0.262,0.2633,3378158.11513491,962500.280927811319
1657929600,2022-07-16 00:00:00,CEEK/USDT,0.3143,0.321,0.256,0.2898,5718292.93015864,1673446.07350022737
1657843200,2022-07-15 00:00:00,CEEK/USDT,0.3816,0.3863,0.302,0.3135,6872373.84696434,2357682.846159331218
1657756800,2022-07-14 00:00:00,CEEK/USDT,0.33,0.3987,0.3286,0.3813,6962804.299216,2606476.833975168385
1657670400,2022-07-13 00:00:00,CEEK/USDT,0.3219,0.335,0.2857,0.33,3168769.72928443,1008926.834230383425
1657584000,2022-07-12 00:00:00,CEEK/USDT,0.309,0.334,0.3075,0.3218,2002542.38620376,639228.585459639892
1657497600,2022-07-11 00:00:00,CEEK/USDT,0.3143,0.3415,0.282,0.309,2728360.10011285,861242.638935898272
1657411200,2022-07-10 00:00:00,CEEK/USDT,0.3229,0.3295,0.305,0.3146,1320771.01837269,419458.023932562755
1657324800,2022-07-09 00:00:00,CEEK/USDT,0.32,0.3348,0.3104,0.3229,1357543.50508042,434822.655959942403
