https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLGR,Volume USDT
1663459200,2022-09-18 00:00:00,PLGR/USDT,0.0014499,0.00175,0.00109,0.0011494,430988114.397,602114.9420883801
1663372800,2022-09-17 00:00:00,PLGR/USDT,0.0004073,0.0014944,0.0003916,0.0014499,1158802626.49021008,992183.749227022727935
1663286400,2022-09-16 00:00:00,PLGR/USDT,0.000413,0.0004449,0.0004,0.0004073,25369720.8446,10743.49270947625
1663200000,2022-09-15 00:00:00,PLGR/USDT,0.0004102,0.0004212,0.000409,0.000413,7692627.9325,3188.61519215109
1663113600,2022-09-14 00:00:00,PLGR/USDT,0.00041,0.0004498,0.0003726,0.0004155,49542116.9177,20418.86336702567
1663027200,2022-09-13 00:00:00,PLGR/USDT,0.0004467,0.0004597,0.00041,0.00041,17407064.7721,7401.0598603962
1662940800,2022-09-12 00:00:00,PLGR/USDT,0.0004503,0.0005127,0.0004164,0.0004467,73376323.9051,33838.88766337363
1662854400,2022-09-11 00:00:00,PLGR/USDT,0.0004125,0.00054,0.000405,0.000455,131449017.5158,63755.68595350156
1662768000,2022-09-10 00:00:00,PLGR/USDT,0.0004309,0.000445,0.0004027,0.000413,20756899.7712,8683.13837247937
1662681600,2022-09-09 00:00:00,PLGR/USDT,0.0004395,0.0004503,0.00042,0.0004268,28363018.4852,12312.35993271762
1662595200,2022-09-08 00:00:00,PLGR/USDT,0.0004272,0.0004669,0.0004232,0.0004395,52233930.4124,23297.57575927634
1662508800,2022-09-07 00:00:00,PLGR/USDT,0.0003795,0.0004571,0.0003687,0.0004229,89355411.5428,36473.82318232501
1662422400,2022-09-06 00:00:00,PLGR/USDT,0.0004634,0.0004634,0.0003,0.0003754,77502366.3743,29346.69054364134
1662336000,2022-09-05 00:00:00,PLGR/USDT,0.000469,0.0004715,0.0004408,0.000459,15460345.2417,7076.74374431434
1662249600,2022-09-04 00:00:00,PLGR/USDT,0.0004799,0.0004829,0.0004565,0.0004686,10851641.1879,5063.52192869772
1662163200,2022-09-03 00:00:00,PLGR/USDT,0.0005224,0.0005498,0.0004702,0.0004799,49020876.6257,24814.29918276787
1662076800,2022-09-02 00:00:00,PLGR/USDT,0.0004399,0.000568,0.0004399,0.0005224,96687218.9028,48434.75768966728
1661990400,2022-09-01 00:00:00,PLGR/USDT,0.000466,0.0004711,0.0004311,0.0004397,18006767.2195,8174.40101567461
1661904000,2022-08-31 00:00:00,PLGR/USDT,0.0004859,0.0005001,0.0004552,0.000466,13810436.1832,6627.4677656639
