https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOV,Volume USDT
1663459200,2022-09-18 00:00:00,SOV/USDT,0.466,0.466,0.465,0.465,36.6515,17.0541471
1663372800,2022-09-17 00:00:00,SOV/USDT,0.462,0.475,0.458,0.465,11456.4796,5375.2644527
1663286400,2022-09-16 00:00:00,SOV/USDT,0.466,0.488,0.458,0.461,11148.254,5171.343246
1663200000,2022-09-15 00:00:00,SOV/USDT,0.499,0.499,0.466,0.466,18546.3376,8874.7345672
1663113600,2022-09-14 00:00:00,SOV/USDT,0.495,0.518,0.49,0.497,51792.472,25681.4545654
1663027200,2022-09-13 00:00:00,SOV/USDT,0.538,0.585,0.47,0.493,231953.0243,121693.577248
1662940800,2022-09-12 00:00:00,SOV/USDT,0.5,0.624,0.486,0.538,431244.4246,240727.239332
1662854400,2022-09-11 00:00:00,SOV/USDT,0.485,0.534,0.478,0.499,24848.0575,12551.551585
1662768000,2022-09-10 00:00:00,SOV/USDT,0.494,0.518,0.483,0.492,9062.6624,4499.6228836
1662681600,2022-09-09 00:00:00,SOV/USDT,0.497,0.538,0.483,0.495,34138.1495,17227.8611377
1662595200,2022-09-08 00:00:00,SOV/USDT,0.462,0.508,0.445,0.497,53488.2382,25515.8020315
1662508800,2022-09-07 00:00:00,SOV/USDT,0.449,0.7,0.427,0.463,361680.0019,183797.1175966
1662422400,2022-09-06 00:00:00,SOV/USDT,0.543,0.651,0.44,0.449,31637.2912,16065.9436635
1662336000,2022-09-05 00:00:00,SOV/USDT,0.49,0.627,0.486,0.54,15090.0636,8563.7254206
1662249600,2022-09-04 00:00:00,SOV/USDT,0.485,0.506,0.484,0.49,1061.9404,520.7518918
1662163200,2022-09-03 00:00:00,SOV/USDT,0.485,0.489,0.48,0.485,637.6698,308.3137444
1662076800,2022-09-02 00:00:00,SOV/USDT,0.476,0.491,0.473,0.489,3235.9752,1554.6846876
1661990400,2022-09-01 00:00:00,SOV/USDT,0.45,0.474,0.447,0.474,7823.3751,3611.7853671
1661904000,2022-08-31 00:00:00,SOV/USDT,0.493,0.498,0.45,0.45,6336.2462,2994.7452306
1661817600,2022-08-30 00:00:00,SOV/USDT,0.492,0.513,0.48,0.493,3278.0535,1598.4314266
1661731200,2022-08-29 00:00:00,SOV/USDT,0.492,0.495,0.48,0.492,1782.5688,865.7427831
1661644800,2022-08-28 00:00:00,SOV/USDT,0.493,0.52,0.485,0.492,7467.5554,3728.4968975
1661558400,2022-08-27 00:00:00,SOV/USDT,0.51,0.51,0.48,0.493,1952.1996,953.9000824
1661472000,2022-08-26 00:00:00,SOV/USDT,0.54,0.556,0.507,0.509,4465.3916,2343.946561
1661385600,2022-08-25 00:00:00,SOV/USDT,0.519,0.545,0.515,0.545,1476.1494,783.3947193
1661299200,2022-08-24 00:00:00,SOV/USDT,0.526,0.526,0.513,0.515,983.8867,511.3307107
1661212800,2022-08-23 00:00:00,SOV/USDT,0.513,0.532,0.505,0.521,9375.6226,4837.6224551
1661126400,2022-08-22 00:00:00,SOV/USDT,0.532,0.563,0.512,0.513,4592.0814,2483.9731173
1661040000,2022-08-21 00:00:00,SOV/USDT,0.522,0.533,0.508,0.533,1131.0445,578.2710193
1660953600,2022-08-20 00:00:00,SOV/USDT,0.524,0.531,0.506,0.522,5126.932,2643.4637421
